text,label
갈 때마다 매우 만족합니다. 화장실도 깨끗하고 TV도 크며 공기청정기도 있습니다. 카운터 직원분들도 매우 친절합니다. 다만 체크아웃 시마다 전화가 오는 점은 약간 불편하지만 그 외에는 모두 괜찮습니다. 쾌적하여 단골 모텔입니다.,1
환기가 잘 안 돼서 답답했어요.,0
매우 청결하고 좋았습니다. 고속버스터미널과도 가깝습니다.,1
여러가지로 문제가 많아요 수건에 먼지가 그대로묻어있고 객실에 에어컨이 너무 약해요 컴터는 완전 오래된 년전 컴터작동은 되더군요 다른 비품은 그냥저냥 아쉬운데로 쓴다고 합시다 여자사장님이신지 툭툭내뱉는말투친절한 부분은 찾아볼수없는 분이더군요 여직원도 불친절 일하기 싫어서 움직이기도 싫은 티가 팍팍나는데생수한병주세요 하니깐 대답도 안하고보통 주문하면 병주는데 달랑한병 갖다주길래 더 주세요 하니 말을 무시하네요 일하기 싫으면 집에있지왜 일을 하죠 어이가 없어서참말이 안나옵니다 그리고청결상태가 왜이런지 청소몇년안한 모텔같아요청소신경안쓰나봐요 다른건 넘어가도 불친절한건 용납이 안되네요 써비스업인 숙박업에서 이런 불친절이라니,0
언제가도 친절해용 청소하시는 할머니들도 친절하시구요 마니 애용하는 모텔이여용,1
숙소가 깨끗하고 좋습니다.,1
화가나서 처음으로 리뷰 남깁니다 처음 들어간 방에서 담배 냄새 너무 났음 룸클린이 부족했나보다 해서 별 불만 없었음 근데 주인댁께선 방 바꿔달라고 한 게 큰 불만이셨나봄 새로 배정 받은 객실은 사진과 같아서 큰 불만 없음 같은 가격선에서는 중하급 침구류에 뭐가 뭍어있음 사진 참조 변기가 막혀있어서 뚜러뻥 빌리러 갔는데 손님인 제가 컴플레인한것도 아닌데 되려 혼났네요 제가 방을 바꿔달랬나요 변기를 뚫어달랬나요 그저 뚜러뻥 빌려달라고 한건데 룸클린 안된게 제 잘못도 아니고 컴이랑 스타일러는 잘 썼습니다,0
두 번째 방문인데 같은 방이라 리뷰를 남깁니다. 침대 위 천장에 곰팡이인지 넓게 퍼져 있고 TV도 작동하지 않습니다. 고쳐주세요.,0
샤워기에서 물이 새었어요.,0
네 아침에 바퀴벌레 마리 봤어요정말 상쾌한 아침 이였네요,0
완전 새것에 가까운 시설들입니다. 아메리칸 스탠다드 변기와 세면대로 갖추어져 있고 침구류가 매우 깨끗합니다. 난방도 잘 되고 온수도 잘 나오며 수압도 세서 매우 좋았습니다. 다만 전자레인지가 없었다는 점과 계단으로 이동해야 한다는 점 그리고 객실은 깨끗해도 계단 등 복도가 불결하고 커튼으로 가려둔 창문이 깨끗하지 않다는 점은 아쉽습니다. 전체적으로 추천드리는 숙소입니다. 계단 이동은 어쩔 수 없는 것이니 전자레인지 하나 정도는 구비해주시면 좋겠습니다.,1
깨끗하고 좋습니다.,1
난방이 약해 너무 추웠습니다,0
어린이 전용 공간이 있어 가족 여행에 안성맞춤이었어요.,1
객실 조명이 아늑한 분위기를 줬어요.,1
초성수기에 숙소예약이 늦어져서 선택의 폭이 좁았지만 한옥의 로망이 있던터라 사진보고 기대하며 숙소를 정했다 최대 인까지 가능하다고 해서 방크기가 넉넉한줄 알았다 도착해서 문을 여는데 아이들 실망하는 눈빛이 역력하다 딸아이는 자기방 반밖에 안 된다고 투덜투덜 정말 나도 매우 당황했지만 아이들을 다독였다 이불깔면 캐리어 놓을 공간도 없었다 잘때 난 화장실 문 바로 옆에서 자야했고 더 힘들었던건 화장실벽 누수때문인지 자고 일어났더니 이불이 젖어있었다 덮는 이불도 인 기준 까는 이불 개 덮는 얇은 이불 개라 몸에 열이 많은 남편과 아들때문에 에어컨틀고 자니 나와 딸아이는 오들오들 떨며 잤다 아이들에게는 단칸방 체험한다고 씁쓸하게 얘기했지만 년에 한번 있는 여름휴가를 망친 기분이다,0
제발 청소좀 깨끗하게 했으면 좋겠습니다 사진에 보듯이 침대 머리 위에 창문에서 먼지 덩어리 떨어질까 겁니요 로션스킨 뚜껑은 왜 없는거죠 쓸수는 있는건지 때 국물 좔좔 정말 최악입니다,0
객지에서 관광왔다가 너무 피곤해서 대실했는데 가격대비 이용시간 가성비갑이네요 그리고 모텔 이미지 사진이랑 똑같은데 느낌적인 분위기가 홍보사진은 다르다고 느낄수있지만 가격이랑 사장님 친절로는 확실히 좋다고 할수있네요 날씨때문인지 몰라도 아쉬운점은 침구가 많이 눅눅하다는 습한느낌이 있어서 쉬는동안 차에서 개인 담요 가져와서 덥고잤다는거랑 바로앞전에 방에사람이 빠진건지 몰라도 환기가 안됫는지 담배냄새가 너무심했어요 환기랑 침구만 신경 조금더 쓰시면 정말 더좋은 숙박업체가 될꺼같네요,1
우선 안내해주신 직원분들 모두 친절하셨습니다 체크인하자마자 숙소로 들어갔는데 처음 맡아본 쩐내 같은것이 났어요 담배냄새는 아니었는데 냄새가 좀 심해서 환기를 시켰지만 냄새가 빠지진 않았어요 하지만 화장실하고 침대등 기타 공간의 위생상태는 좋았습니다화장실 수압과 배수상태도 만족스러웠어요 다만방음이 너무 안됩니다 이날 잠 거의 못잤어요옆방의 말소리와 코고는 소리까지 들리고 도로변에 나는 소리가 전부 들렸어요 귀가 밝으신 분들은 귀마개를 준비하시는게 좋을 듯 합니다 그외에 한옥마을에 도보로 갈 수있어서 좋았구요 주차시설도 편했습니다 방음과 방에서 나는 쩐내가 아니면 다 만족스러웠습니다,1
자주 방문하지만 사장님이 불친절하여 개선이 필요합니다. 스타일러 물을 채워두지 않아 매번 저희가 해야 하는 점도 불편합니다. 청소하시는 분들 고생 많으십니다,0
가격에 비해 가성비 좋았습니다 이근처에 출장 가실일이 계시면 한번 사용해보시는것도 괜찮을듯 합니다 바로 앞에 편의점도 있었구요 근처에 식사하실만한것도 있습니다주차장 당연히 있습니다그리고 사장님도 친절하시구요 인테리어나 시설쪽으로도 생각보다 괜찮습니다 가보시면 후회는 안하실듯 하네요 가격에 비해 좋습니다 그럼 다들 좋은하루 보내시구요 편안한 밤 되시기를 바랄께요 굿럭,1
깔끔하고 청결해서 정말 좋았습니다.,1
일요일임에도 가성비보다 좋은 시설을 원해 예약했습니다. 안마의자와 욕조 등 시설은 좋았고 주차도 편리했습니다. 그러나 욕실 청소 상태가 매우 불량하여 곰팡이가 많았습니다. 저렴하지 않은 가격에 이 점은 아쉽습니다.,0
장거리 커플이라 매번 만날 때 숙소를 예약하는데 마리에만 예약합니다. 시설이며 위치며 모두 만족스럽게 머물다 갑니다. 프런트 직원분들도 매우 친절합니다. 가끔 다른 곳을 이용해 보더라도 다시 돌아오게 되는 곳입니다.,1
위생이 별로예요 별로예요,0
불편한점 욕실 문 위로 뚫려 있어서 샤워할때 따뜻한물로 씻어도 금방 춥다는점 침대에서 느껴지는 먼지인지 뭔지 이물질이 있어 까끌까끌한 점 리모컨에는 넷플릭스 인데 넷플은 안나오고 지니만 나오는 점 빼면 인테리어도 깔끙하고 넓어서 그냥 저냥 만족하고 나왔습니다,0
와이파이가 아예 안 잡혔어요.,0
다른 것은 다 괜찮았으나 화장실에서 바퀴벌레를 마주쳤고 바닥에 먼지가 좀 있었습니다. 그래도 잘 쉬다 갑니다.,0
숙소 이미지에 완벽하게 속았습니다 주차장은 넓어서 주차하기는 좋았었는데 숙소 들어가자마자 느낀 점은 어 속았네 이런 느낌 침실은 보기에는 진짜 깔끔한 거 같았는데 그냥 평범 했고 침대가 정말 딱딱해서 몸이 찌뿌둥했고요 씻다가 알게 된 사실인데 방에 수건이 하나도 없어서 친구가 직접 받으러 내려갔더니 가져다주신다해서 계속 기다렸습니다 그리고 욕실 슬리퍼에서 자꾸 이상한 검은색이 나와서 씻는내내 찝찝한 기분이 들었습니다 다신 안 갈듯요,0
좋습니다. 추천합니다.,1
키를 받아 엘리베이터에 타자마자 내부에서 화장실 냄새가 심하게 났고 룸 내부 화장실 구조는 세면대 샤워부스 변기가 모두 분리되어 있었는데 변기 쪽에는 수도가 없어 제대로 청소할 수 없는 구조라 위생적으로 최악이었습니다. 벽에는 벌레를 때려죽인 자국이 그대로 남아있었고 여름인데도 에어컨이 전혀 청소되어 있지 않아 매우 불쾌했습니다. 숙박 중 수건이 부족하여 카운터에 여러 번 전화했지만 한 번도 받지 않아 결국 직접 내려가서 받아왔습니다. 직원은 귀찮아하는 표정과 말투로 응대하여 최악이었습니다. 야자가 이렇게 관리가 소홀한 곳인 줄 몰랐는데 실망이 크고 앞으로 어느 지역으로 여행 가더라도 야자에서는 묵지 않을 것입니다. 평소 리뷰를 잘 쓰지 않지만 이 숙소는 정말 심했습니다. 숙박하시려는 분들은 참고하세요.,0
좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다좋습니다 편하게 쉽니다,1
담배냄세 좀 났어요 아쉽,0
객실내부 및 에어컨 곰팡이 냄새가 심했으며 냉장고 소음 때문에 잠자는데 거슬림 또한 한옥체험한다 생각하고 이해하며 이용은 했지만 방음이 넘 안돼 담엔 한옥 이용은 안할거 같음,0
역시 좋네요 깨끗하기도 하고 따뜻하고,1
숙소가 생각보다 더 깨끗하고 청결해서 놀랐고 좋았습니다. 다른 사람들에게도 추천할 만한 숙소라는 생각이 들었습니다. 편안한 느낌도 있었고 다음번에도 방문할 의향이 있습니다.,1
숙소위치가 한옥마을까지 걸어서 한 분정도면 충분히 도착할 수 있어서 좋았고 한옥마을 내부에 있지 않아서 저녁에 관광객들 때문에 소음때문에 문제가 전혀 없었습니다 그리고 숙소내부는 혼자서 충분히 넓게 사용할 수 있고 티비는 넷플이나 유튜브가 되서 만족스러웠어요 화장실의 경우는 엄청깨끗해서 만족했습니다 사장님이 친절하시고 저녁에 숙소 밖에 나가면 고양이가 있는데 귀엽더라고요 근데 단점은 한옥숙소 특정상 옆방소리가 조금 나는건 감소를 해야하는것 말고는 없습니다 가성비도 좋아서 나중에 전주온다면 여기서 또 잘 것 같아요,1
넓고 깨끗하며 욕실에 창문이 넓어서 좋았습니다. 다만 수압이 약해 매우 아쉬웠습니다.,0
처음 방문했는데 재방문 의사는 없습니다. 객실 안내를 받고 갔는데 변기는 막혀 있었고 방은 매우 추웠습니다. 친절한지도 모르겠고 딱히 다시 방문하고 싶지는 않습니다. 그래도 이용 시간은 길어서 좋았습니다.,0
깨끗한편이였는데 건물이 오래된건지 담배냄새가 너무심하게 베어있어서 좀 당황했어요 다른곳보다 가격이 저렴해서 가격보고 가시는거면 괜찮고 혹시나 가족이 함께 묵으실곳을 찾으신다면 신중히 선택하세요 서비스는 괜찮았어요,0
전주 야시장을 가려고 예약했는데 한옥마을 객리단길 야시장과 가깝고 스타일러도 있어서 위치적으로는 마음에 들었습니다. 후기에 청결이 안 좋다는 글이 있어 걱정했는데 역시 체크인 후 방에 들어가니 전 손님의 머리카락 흔적이 있었습니다. 비가 와서 그런지 방에 환기도 안 되어 냄새가 났고 에어컨은 소리가 심하고 시끄러워서 끄면 더웠으며 에어컨 위치도 안 좋아서 틀면 얼굴로 바람이 와서 최악이었습니다. 넷플릭스는 된다고 했는데 좀 보다가 계속 끊겨서 결국 보지 못했습니다. 그리고 침구류도 다 찢어지고 자국이 많았으며 수건도 너무 오래되고 헤져서 발수건보다 못했습니다. 방음도 전혀 되지 않았고 모텔을 자주 이용하는데 샤워 타월도 없는 모텔은 처음입니다. 프랜차이즈를 믿고 예약했는데 최악 중의 최악입니다.,0
엘리베이터가 없습니다. 현관문 틈이 벌어져 덜컹거리는 소리가 나서 조금 무서웠습니다. TV는 매우 크지만 방은 좁습니다. TV가 커서 좋았고 중문이 있어 외부 소음이 덜 들어왔습니다. 화장실은 넓고 침구도 괜찮았습니다. 바닥 청소가 미흡하여 한 번 더 닦고 이용했습니다. TV가 큰 것이 가장 큰 장점입니다. 너무 커서 좋고 사고 싶습니다.,0
객실 사진보다 더 괜찮아서 나름 만족했어요 컴퓨터도 하나인즐 알았는데 두개더라구요 하나는 스피커가 아예 고장나서 소리가 안나왔지만 덕분이 여자친구랑 게임 잘 하다 가요 카운터 직원들은 전체적으로 불친절 하더라구요,0
프런트에 사람이 없고 전화해도 받지 않았습니다. 수건과 침구류 세탁이 제대로 안 되어 있었고 화장실 물도 내려져 있지 않아 불쾌했습니다. 투숙객 퇴실 후 확인을 제대로 안 하는 것 같습니다,0
숙소가 저렴하고 빠른 입실 시간이 장점인 곳입니다. TV도 다양하게 이용할 수 있어서 매우 좋습니다. 각 방에 물 2개 음료 2개가 구비되어 있습니다. 로비에 객실당 음료 1개 더 가져갈 수 있도록 되어 있으니 저처럼 물을 많이 마시는 분들은 따로 챙겨가셔도 될 듯합니다. 한 가지 아쉬운 점은 청소 상태입니다. 욕실 청소를 제대로 하는지 의문이며 물만 뿌리는 것인지 군데군데 곰팡이가 너무 많습니다. 곰팡이 제거가 필요해 보입니다. 침대 커버에도 오물이 그대로 묻어 있습니다. 위생 상태만 빼면 정말 완벽할 것 같습니다.,0
히터가 망가졌는지 키니까 엄청 시끄러워요 그냥 가성비괜찮은 숙소입니다,0
시설은 좋았으나 화장실에서 큰 바퀴벌레가 나와 놀랐습니다. 직원들은 불친절했습니다.,0
매우 좋습니다. 깔끔합니다,1
좋고 편합니다.,1
년지기 친구들과 처음으로 떠난 여행이라서 더 신경써서 찾아봤어요 그러다가 한옥 미쁨을 알게 되었고 전반적인 인테리어나 편의시설 조식 등이 마음에 들어 선택하게 되었어요 비록 조식은 먹지 못했지만 아주 푸짐하게 준비해 주셨고 사장님도 친절하셔서 진짜로 좋았어요 다음에 또 전주 오게 되면 여기서 묵을 예정이에요 뷰도 진짜로 예쁘니 꼭 한옥 미쁨에서 묵으시는 걸 추천드릴게요 명이서 묵었는데 화장실이 개나 있어서 더 좋았어요,1
첫번째론 너무 조용하구요방안도 깨끗합니다사장님도 너무 친절하시고요어디하나 흠잡을곳이 없는 곳이구요전주 올때마다 오는곳으로 너무 편안하고 좋습니다,1
리모컨이 고장 나 있었습니다.,0
출장 때문에 이둔호텔을 자주 이용합니다. 저는 아침 식사를 꼭 해야 하는데 혁신도시에는 아침 식사를 할 곳이 없어 곤란했습니다. 그러던 중 이 호텔을 알게 되어 조식을 챙겨 먹는 재미로 지인들에게도 많이 소개했습니다. 그러나 요즘 이둔호텔이 안 좋아지고 있다는 느낌이 듭니다. 프런트에서 전화를 받지 않고 사람이 없으며 방은 춥고 머리를 빗을 브러시도 치웠더군요. 스프레이 젤도 없어졌습니다. 점점 하나씩 없어집니다. 기본적인 물품은 제공해야 하지 않을까요?,0
인테리어 이쁘고 다 새거라 꺌끔하고 심플해서 더이쁨,1
베개가 너무 높아 목이 아팠지만 그 외에는 모두 최고였습니다.,1
시설은 깨끗하고 벌레가 없어서 괜찮았어요,1
인테리어가 깔끔하고 청결도가 우수하며 TV가 큽니다. 드라이기와 고데기가 있고 에어컨에서 이상한 냄새가 나지 않습니다. 카운터 직원도 친절하여 같은 돈이라면 이곳을 선택할 것입니다. 내 돈 주고 작성한 리뷰입니다.,1
컴퓨터가 몇 분마다 꺼져서 고사양인지 모르겠습니다. 양쪽 컴퓨터 모두 꺼져서 매우 짜증났습니다. 게임을 안 해도 켜 놓기만 해도 꺼집니다. 다른 곳을 추천합니다.,0
방이 좁고 답답함,0
사진보다 시설이 노후화되었네요 다음에 전주 올 때는 다시 묵을 지는 생각해봐야겠네요 모텔 근처에 저녁을 먹을 곳도 꽤 있어서 술 먹고 자는데도 문제가 없었네요 잘 먹고 쉬고 갑니다,0
숙소가 깔끔했고 출장 와서 기분 좋게 잠들었습니다. 이벤트로 받은 가방도 매우 마음에 듭니다,1
방은 넓고 깨끗했으며 바닥도 끈적이지 않아 만족스러웠습니다. 하지만 침구 청결도가 다소 떨어졌고 냉장고가 너무 작아 음식을 보관하기 어려웠습니다. 냉장 기능도 좋지 않아 음식을 버려야 했습니다. 데스크는 매우 친절하지는 않았지만 요구사항은 모두 들어주었습니다. 스파 가능한 넓은 욕조는 잘 작동하여 좋았습니다. 다른 모텔에 비해 입실 시간이 빨라 좋았고 한 시간 일찍 도착했음에도 입장을 허락해 주셔서 감사했습니다. 외관은 노후되었지만 실내는 깔끔하고 만족스러웠습니다. 테이블이 넓어 음식 먹기에도 편했습니다. 냉장고와 침구 청결도만 개선된다면 재이용 의사가 있습니다. 다만 퇴실 시간 10분 전부터 독촉 전화가 와서 퇴실 시간이 너무 빡빡하여 다음 이용은 없을 것입니다.,0
프론트 직원이 여행 코스도 추천해줘서 좋았어요.,1
잘 쉬다 갑니다. 친절하고 시설도 깨끗합니다.,1
주차 공간이나 외관은 괜찮은 편이나 방 컨디션은 약간 아쉬웠습니다. 스타일러에서 좋지 않은 냄새가 나는 것으로 보아 관리가 필요합니다. 후기에 윗층이 더 낫다는 의견이 있는데 아래층도 신경 써야 할 것 같습니다. 간식 코너도 제대로 운영되지 않아 개선이 필요합니다.,0
주차시설 잘되어있고 직원분 친절하지만 내부 숙소 청결상태가 매우 안좋았어요,0
좋았어옼토토토토톹토토토토토토토토토토토토토토토톹토토토토토토토토토토토토톹톹,1
자주 가는 곳입니다 인치 티비를 침대에 넷플릭스를 볼 수 있으니 정말 좋아요 굳이 극장 안가도 되고 치킨 배달시켜 편히 영화보며 호캉스를 즐겼네요 전주역 한옥마을 중간이여서 두곳다 분안에 갈 수 있어 교통도 좋아요 다음에 또 갈게요 방 업그레이드 감사합니다,1
정말 좋은곳입니다 몇번 가도 아주 좋은 곳입니다 시설도 깔끔하고 누구도 가기 좋은 곳으로써 쉬기도 괜찮고 하루씩 있다 가기에 아주 편합니다 누구 한번 쉬러 가보세요 후회안해여,1
편하게 잘쉬다가 갑다,1
최악이예요 한두번도 아니고 남친아이디까지 하면 몇번갔어요 갈때마다 흡연하냐고 물어서 한다고 했고 그러면 사진과 다른방주시고 다른방주는게 한두번이 아닙니다 남친이 따지려는거 제가 진정시켰어요 그리고 이불이 커버와 솜이 따로 놀아요 덮을때마다 불편함,0
트윈인데 가격도저렴하고 깨끗하고 매우만족합니다,1
화장실 수압이 약간 아쉬웠어요.,0
숙소 침실 내 화장실 출입문이 오래되어 미관상 매우 눈살을 찌푸리게 하는 부분이 아쉬웠습니다,0
숙소 외관은 예쁘고 시골에 놀러온것 같은 느낌이였어요 근데 내부가화장실이 당황스러울 정도로 작았구요 씻을 수 있는 공간이랄게 없네요 그리고 바닥에서 못 주무시는 분들 이불은 깔려있지만 그냥 없는거나 마찬가지에요 너무 딱딱해서 자면서 몇번이고 깼네요 후기가 다 좋아서 믿고 간건데 전 그냥 그랬어요,0
모기를 잡았는데 아침에도 발견했네요 어디에서 모기가 계속 들어오는건지 먼지가 많이 날리고 객실이 청결하지 않습니다 시트에 죽어있는 작은 벌레가 붙어있었어요 위층에서 쿵쿵 소리가 들리긴 했으나 소음은 크지 않았고 수건도 넉넉히 줘서 좋았으나 객실 청결에 신경쓸 필요가 있어 보입니다 여러 모로 아쉬움이 많이 남았습니다,0
역시 청결하고 친절하시고 루나 정말 좋아요,1
카운터에 가격표가 있던데 그것보다 비싸게 예약을 했더라구요 트윈베드방 왜 더 비쌌던걸까요 밤 시경 입실했는데 그 시간에 누가 사용을 한건지 욕실바닥에 물이 많이 뿌려져 있더라구요 욕실 청결 상태 마음에 들지 않았고였고특히 세면대 테이블도 더럽고 게이밍 는 원하는건 없고 깔리지도 않고 셋이 갔는데 생수 달랑 통 수건도 인분 화장지도 쓰다가 떨어지구 누가 밤새 안마의자를 쓰는건지 엄청 쿵쿵거리고 아침엔 다른방 티비소리에 깼네요 사진 댓글과는 다른 방 컨디션에 속상했습니다 다만 티비와 는 좋았습니다,0
잘쉬었다가 갑니당 좋은숙소라서 잘쉬었다가 갑니다 너무나 깔끔하구 기분좋게 잤습니다 그리구 바로앞에 편의점이 있어 더욱 좋았구요 다음엔 여기로오겠습니다,1
담배 냄새가 너무 심합니다. 그 외에는 괜찮습니다.,0
이전에 이용했던 다른 방은 괜찮았으나 이번 방은 드라이어를 꽂을 콘센트가 거울 근처에 없어 매우 불편했습니다.,0
저희 머리카락도 아닌데 시트에 있는게 찝찝하네요,0
여관방 느낌이에요 방문열쇠로 열어야해서 생각했던 호텔 느낌과 달라요 거미줄이 많아요 청소 하시는분들 천장까지 하시기는 힘드신가봐요 여기서 제일 마음에 드는건 외관디자인과 화장실 디자인입니다,0
프론트에 안계셔서 전화햇는데 어 밑이야 라고말하는 손님 응대에 당황햇구요 팝콘되어잇지도 않구 팝콘 없어요 있는 방도 따로있구요 화장실 곳곳에 세면대욕조 머리카락인지 붙어잇더라구요 방 형광등 메인등 깜빡깜빡하길래 눈 아파서 껐는데 나중엔 켜지지도 않더라구요 싼값을 한다고 하기엔 이정도 가격엔 다른데서 만족판곳이 있어서 애매하네요,0
가성비가 좋은 모텔입니다,1
편하게 잘 쉬다 갑니다 저렴한 가격으로 이불커버가 좀 해져서 찢어져있었지만 괜찮았어요 그리고 객실 셋탑박스 맛 간 듯해요 넷플릭스 들어가는데 계속 전원이 꺼졌다가 다시 켜지 리더라고요,0
좋습니다. 가격 대비 매우 만족합니다. 다음에 또 오겠습니다.,1
평범한 인테리어 평범한 욕실 엄청 친절한 응대,1
굿굿,1
담배 냄새가 너무 심해서 잠을 잘 못잤어요.,0
쏘쏘요 잠깐 왔다가는거 괜찮아요,1
위치가 매우 좋아서 자주 이용합니다.,1
스타일러가 있고 방 자체가 넓으며 욕실도 넓고 바닥도 깨끗해서 좋았습니다. 리모컨이 잘 작동하지 않아 건전지를 몇 번 넣었다 빼니 작동했는데 이 점 참고해주시면 좋겠습니다.,1
오픈한 지 얼마 안 되어 깨끗하고 낡은 부분도 없었으며 침대와 베개가 편안했습니다. 그러나 방 공기 중에 먼지가 많아 코가 계속 간지러웠습니다. 시트가 새것이어서 먼지가 날리는 것 같은데 이 점만 해결되면 좋겠습니다. 그 외에는 매우 깨끗하고 좋았습니다.,0
건물 외관부터 고급스러운 느낌이었어요.,1
전북대 방문 시마다 이용하는 숙소인데 청소는 깔끔하게 되어 있었지만 이번에는 방에서 심한 냄새가 나서 입실하자마자 불쾌했습니다. 그 외에는 여전히 편안하고 좋았습니다.,0
전주에 비싼 곳이 많은데 이곳은 깨끗하고 좋았습니다.,1
방 온도는 괜찮았어요 영화도 잘 봤습니당,1
쩐내가 나요.,0
친절했지만 TV가 저절로 꺼졌다 켜지고 컴퓨터는 켜지지 않아 잠만 잘 수 있었습니다.,0
사진에는 노화되어 보이지는 않는데 일단 층 로비 너무 좁고요 건물이 많이 노화된건지 시설자체가 전혀 좋아보이진 않았고 방문 열자마자 이상한 담배찌든 냄새가 역대급으로 심하게 나서 충격받았고 당혹스러웠어요 침대는 엉덩이만 걸터앉아도 삐그덕 거리면서 소리가 심하게 났어요 웬만해선 가격 생각해서 그럴 수 있다 생각하는데 방문 열자마자 이상한 담배찌든 냄새가 역대급으로 심하게 나서 충격받았고 당혹스러웠어요 침대는 엉덩이만 걸터앉아도 삐그덕 거리면서 소리가 심하게 났어요,0
오랜만에 전주를 찾아 숙소를 고민하다가 예약했는데 연박 시 추가 요금을 내야 한다고 해서 처음부터 기분이 상했습니다. 하루 묵고 외출했다가 돌아와서 다시 주차를 했는데 제가 주차한 자리 옆에 차를 대야 하는 곳이라며 지적까지 해서 짜증이 났습니다. 평일이라 이용객도 없고 자리도 많은데 굳이 그랬어야 했는지 의문입니다.,0
저렴하게 예약했어요 방안에 창문을 열어놓으셔서 온기가 없어서 처음에 좀 추운거 빼고는 괜찮았어요 나중에는 따뜻했어요 저렴하게 잘 이용 한거 같아요,1
