accommodation,긍정,부정,total,긍정_ratio,부정_ratio,중립,중립_ratio,긍정_예시,부정_예시,중립_예시
전주 브라운도트 덕진점,183,48,231,79.2,20.8,0,0.0,"['따뜻하고 좋아요 특히 사장님이 너무 친절해요', '시설 좋은 곳 사용하려면 무조건 여기로 오는 것 같아요 무한 대실도 다음에 이용 예정입니다']","['관리 잘 되어있는 숙소입니다', '구웃두웃구웃']",
전주 브라운도트 아중지구점,334,45,379,88.1,11.9,0,0.0,"['전주의 조용한 밤을 닮은 호텔 브라운도트 아중지구점 낯선 도시의 밤이 낯설지 않게 느껴질 때 그건 아마 숙소가 마음에 쏙 들었을 때다 전주 브라운도트 아중지구점에서의 하룻밤은 그런 느낌이었다 차로 진입하면 눈에 띄는 모던한 외관 많이 꾸미지 않아도 단정하고 정돈된 분위기 입구에서부터 묵직한 차분함이 느껴졌다 로비는 고요한 음악과 함께 따뜻한 조명이 반겨주고 체크인을 도와주던 직원의 말투는 마치 오래된 전주의 카페 사장님처럼 부드러웠다 커피 한 잔을 손에 들고 객실로 향했다 객실은 편안하게 그리고 조용하게 방에 들어서자마자 아 오늘 잠 잘 자겠다 라는 말이 절로 나왔다 이불은 폭신했고 조명은 부드러웠으며 무엇보다 외부 소음 하나 없이 조용했다 바닥 가구 침구까지 깔끔하게 정돈된 룸 컨디션은 누군가가 정성껏 준비해둔 작은 쉼터 같았다 욕조가 있는 방을 선택한 덕분에 저녁엔 따뜻한 물에 몸을 담그고 넷플릭스 한 편을 틀어 두었다 여행이라는 말이 꼭 바쁘게 움직여야 한다면 나는 이제 그 정의를 바꾸고 싶다 가정의 달 전주 그리고 작은 쉼 가정의 달에 가족여행을 계획한다면 이런 조용한 호텔에서의 하루는 어쩌면 가장 큰 선물이 될지도 모른다 너무 유명하지도 너무 평범하지도 않은 딱 지금 이 순간에 필요한 균형감 있는 공간 나는 여기어때 앱에서 이곳을 발견했고 예약을 마치고 나서야 괜찮은 선택이었기를 하고 혼잣말을 했다 결과는 트립홀릭 리뷰에 남길 만큼 만족스러웠다 여행정보 스티커북 교통수단 전주역 로 도착 후 택시 약 분 시외버스터미널 대중교통도 이용 가능 자차 주차공간 넉넉하고 접근성 좋아요 숙소 꿀팁 욕조 있는 방 선택 하루가 다르게 회복됨 고층 객실 요청 밤 풍경 은근히 예쁨 조식은 없지만 근처 베이커리 천국 브런치 투어 추천 한줄 정리 전주 여행에서 하루쯤은 말없이 위로해주는 숙소가 필요하다면 이곳이 딱이다', '위치 전북 전주시 아중지구 덕진공원 인근 주차장 대 이상 로비 매우 친절 객실 청결 상태 매우 청결 넷플릭스 유튜브 티빙 냉장고 물 음료 커피 방 크기 매우 넓음 뷰 씨티뷰 먹을거리 분 내 많음 아쉬운 점 없음 재방문 의사 무조건 방문 조식 간편 조식 총평 출장 고객입니다 좋은 가격에 좋은 숙소 감사합니다 위생적으로 우수하여 매우 만족합니다 항상 지금처럼 유지할 수 있도록 관리 부탁드립니다 감사합니다']","['년째 출장 중입니다 출장하면서 안성맞춤입니다 다음에도 방문할 것 같습니다 주차시설 주차장 충분합니다 차량 주차 걱정 없습니다 맞은편 무료 공영주차장도 있습니다 친절 서비스 친절 합니다 청결 및 기타 시설 수압 잘 나오고 뜨거운 물 잘 나옵니다 냄새 없고 깨끗합니다 점호해도 됩니다 넷플릭스 되고 공기 청정기 됩니다 대형 있습니다 밤에 잘 때 모기가 없습니다 침대 깨끗하고 이불 깨끗합니다 베개 개 있습니다 일반 숙박시설 가서 침대에 누우면 간지러운데 여기는 그렇지 않습니다 위생이 청결된 느낌입니다 주위 먹거리 많이 있습니다 아구 뚝배기 식당이 있는데 속풀이 최고입니다 운동 및 산책 아중 호수가 있는데 산책로 하기 좋습니다 주위에 볼거리 있습니다 노트북 사용 가능합니다 콘센트 잘되어 있습니다 커피포트 있습니다 생수 개 있습니다 방음 소음 아주 조용합니다 창문 열면 차 소리 조금 납니다 조식 식빵 라면 등 있습니다', '이곳은정말 직원분때문에 간다고해도 과언이아닐정도로 인포에계신 친절하신 정장비슷하게 입으시는 야간에주로계시는 좀 슬림해보이시는 남자분 때문에 자주찾는곳이예요 솔직히예약하기정말힘들거든요 인기가아주많은곳이예요 왜냐면 저같이 직원분때문일수도 시설이일단 참좋고 위치가 아중리 번화가중심에있어요 솔가밑라인 조개꽃천지 맞은편이라서 어디든쉽게 다닐수있는 아주좋은 위치에 뷰자체가 답답하지않아서 창문으로보이는하늘이 참 모텔촌같은 느낌이없어 너무만족스러워요 총 박이상 이곳에서 숙박을 했었구요 따지고보면 일이상 이곳을애용했겠네요 객실청결도는 솔직히 예전만하진못해요 객실먼지가날리고 공청기주변에쓰레기도안치워지거나 화장실부분에머리카락도그대로있기도하고 그럼에도불구하고 인테리어적인부분이나 가격적인부분 위치적인요소들이 다른곳들대비뒤지지않기에 항상찾고애용하고 직원분이 너무친절하셔서 찾게됩니다 이렇게길게리뷰를쓰는일자체가없어요 근데꼭 이브라운도트는 그직원분한테 잘해주셔야할것같습니다 저같이느끼시는분이 정말많으실것같아요 항상웃는낯으로 고객응대한다는것이 쉬운일도아니고 고객한분한분지나가는객을 기억해준다는것도 쉬운일이아닐텐데 참 기억에남습니다 호텔급도있지만 굳이이곳을애용하는이유기도하고 시설적인부분 위치적인부분 가격적인부분 모두뒤지지않으니 더자주찾아야겠네요 이번주도얼른예약해야겠어요 저희는업무상주말에무조건내려오는데 이곳은꼭 저희주말집같으네요 객실컨디션만 더개선되면 점만점에 점줄것같아요 달걀감사히잘먹었습니다너무고마웠어요']",
전주 브라운도트 중화산동점,433,56,489,88.5,11.5,0,0.0,"['브라운 도트 호텔은 가장 선호하는 프랜차이즈 호텔 중 하나로 침대 매트리스가 매우 푹신해서 좋고 방이 넓은데 담배 냄새가 일절 나지 않은 게 너무 좋았습니다 냄새를 잡는데 신경을 많쓰는것 같고 직원들이 매우 친절했습니다 주차장도 넓고 번화가임에도 방음이 매우 잘 돼서 편히 쉴 수 있었습니다 가격도 출장 숙박 마지노선인 만원 언더로 형성해 주셔서 저렴한 가격에 좋은 호텔에서 편안한 밤이 되었는데 저렴한 방이어서 욕조가 없는 건 조금 아쉬웠습니다 일단 냄새가 안 나는 것만으로도 가격대만 맞으면 다시 방문할 생각입니다', '전주 출장으로 묵은 곳입니다 브라운 도트 호텔은 전국 체인점이라서 전국 어디를 가나 크게 나쁜 곳이 없었던 거 같네요 특히나 전주 중화산점 브라운 도트 호텔은 주차장이 제 주차장까지 넓게 잘 되어 있습니다 바로 앞에 편의점도 있고 주변에 식당이 많아서 저녁 아침 먹을 곳이 많습니다 그리고 조식도 간단하게 제공이 되고요 인근의 거래처 약속 잡기도 편리하고 좋습니다 룸 상태는 거의 전국에서 최고라고 할만하네요 출장을 자주 다녀서 숙소 청결도에 신경을 많이 쓰는 편인데 한 번도 불편했던 적이 없습니다']","['숙소가 맘에 들어 연박으로 예약했습니다 청소상태 양호함 먼지 없음 인테리어 깔끔한 편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 주차공간 무난합니다 주변 먹거리 바로 앞은 아니고 조금만 걸어 나가면 맛집 많은듯해요 조식 직원 친절합니다 방음 주변 소음 무난합니다 기타 화장실도 깨끗하고 전체적으로 만족합니다 요즘 화재 이슈로 완강기 설치 상태도 확인했네요 전체적으로 아주 만족합니다', '주변 여러 곳 중 비교해 보고 예약했습니다 청소상태 양호함 먼지 없음 인테리어 깔끔한 편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 주차공간 무난합니다 주변 먹거리 바로 앞은 아니고 조금만 걸어 나가면 맛집 많은듯해요 조식 직원 친절합니다 방음 주변 소음 무난합니다 기타 화장실도 깨끗하고 전체적으로 만족합니다 요즘 화재 이슈로 완강기 설치 상태도 확인했네요 전체적으로 아주 만족합니다']",
전주 브라이튼 호텔,428,58,486,88.1,11.9,0,0.0,"['전주 장기 출장 중이어서 전주 시내 여러 숙소를 이용 중인데 브라이턴이 깨끗하고 시설이 좋은 것 같습니다 주차장이 좁은 게 아쉽지만 사장님께서 친절하게 안내해 주셔서 어려움 없이 이용 가능했습니다 리뷰가 높은 이유가 있네요 화장실 침구 등 객실 청결 전혀 문제없었고 방음 빵 온도 등도 전혀 문제없어 잘 쉬었다 갑니다 아침 간단한 조식도 좋았습니다 다음 주에도 출장 예정인데 다시 이용할 생각입니다 주변에 편의점이나 식당도 가까이 있어 식사하기에도 문제없었습니다', '침대는 포근하면서도 탄탄한 매트리스로 구성되어 있어 하루의 피로를 말끔히 풀어줍니다 뽀송뽀송하고 부드러운 침구류는 마치 구름 위에 누운 듯한 편안함을 선사하며 청결하게 관리된 시트와 이불 덕분에 아늑하고 따뜻한 숙면을 도와줍니다 다양한 높이와 경도의 베개도 마련되어 있어 개인의 취향에 맞는 편안한 잠자리를 제공합니다 스타일러도 구비되어 있어 출장객들에게 특히 인기가 높습니다 냄새 제거와 주름 펴기에 탁월해 출장 중에도 깔끔한 옷차림을 유지할 수 있습니다 실제로 사용해 본 결과 다음날에도 상쾌한 옷을 입을 수 있어 매우 만족스러웠습니다']","['전주 출장 시 항상 잘 이용하고 있습니다 숙소 정할 때 화장실 침실 청결을 제일 중요하게 생각하는 편인데 리뷰가 좋은 이유가 있네요 전체적인 룸 컨디션이 좋았습니다 청결 방음 방 온도 등 잘 관리가 되고 있는 것 같아서 다음 출장 시에도 이용할 생각입니다 화장실 청결 상태 나쁘지 않았고 온수 변기 사용 등에도 문제없었습니다 특히 침구류와 화장실 청결이 가장 마음에 듭니다 주변 식당 편의점도 가까이 있어 식사나 야식 먹기에도 좋은 위치라고 생각됩니다', '전에도 반려동물 데리고 방문 이력 있고 이번이 예약하기 전에 혹시 몰라서 반려동물 동반 확인하고 확실하게 대답 듣고 간 거였는데 서비스가 좀 누가 봐도 해주기 싫은 사람들처럼 응대해서 아쉬웠습니다 당일에 방 업그레이드 여부도 마찬가지']",
전주 비지트 호텔,273,49,322,84.8,15.2,0,0.0,"['전주 덕진구에 위치한 비지트 호텔은 깔끔한 시설과 친절한 서비스로 호평받는 숙소입니다 객실은 청결하며 침구 상태도 우수하여 편안한 숙면을 제공합니다 특히 프리미엄 더블룸의 매트리스는 많은 이용객들이 만족감을 표현했습니다 호텔 직원들의 친절한 응대도 인상적이며 체크인부터 체크아웃까지 세심한 배려를 느낄 수 있습니다 위치는 전주 한옥마을에서 차량으로 약 분 거리에 있어 관광지 접근성이 좋습니다 다만 일부 객실의 방음이 완벽하지 않아 민감한 분들은 참고하시는 것이 좋겠습니다 전반적으로 가성비와 서비스 측면에서 만족스러운 숙소로 추천할 만합니다', '위치는 한옥마을에서 차로 약 분 정도 소요되었다 주차 공간이 넓지 않은데 사장님께 차 열쇠를 맡기니 알아서 주차하셨다 사장님이 참 친절하셔서 체크인부터 기분이 좋았어요 로비 엘리베이터 복도 모두 깔끔했어요 복도는 매우 잘 꾸며져 있었다 방이랑 화장실 모두 깔끔하고 처음 들어갔을 때 냄새도 좋았어요 화장실 샤워실 싱크대가 따로 있어서 외출 준비를 하기 좋았다 창문도 크고 앞에도 트여있어서 환기시키기 좋았어요 넷플릭스는 이미 로그인이 되어 있어서 로그인할 필요가 없었습니다']","['모텔보다 비지니스 호텔급이고 내국인 보다 외국인을 대상으로 숙박업을 하시는거 같다고 느꼈어요 대부분 콘센트 모습이 로 구성되어 있지만 이곳은 다양한 구성에 콘센트로 되어있어요 전반적인 분위기는 깔끔하고 잘 정리되어 있으면 요소에 차별화 통하여 고급화를 볼수있었어요 침대는 요즘 유행하는 중 매트리스에 토퍼를 추가한 형식으로 매우 푹신하고 부드러운 면시트를 사용하고 있었고 흰색에 깨끗하고 팽팽하게 유지되어 있었습니다 는 다양한 가 가능했고 적당한 크기에 매우 만족스러운 가전이 였고 화장실에 비대 역시 최신에 재품을 사용하고 있어 매우 만족 했습니다 화장지도 호텔 경우 비상에 경우를 위해서 개씩 비치하고 있고 세면대 샤워호스 역시 깔끔하고 심플하며 고급스러운 재품을 사용했습니다 전반적인 재품 기구 용품 냄새 조명 등 매우 만족스러운 숙박이였고 단점 한가지를 꼭 찾아야 한다면 샤워기를 사용중에 따뜻한 물이 미지근한 물을 왔다갔다 했는데 옆방에서 물을 사용하면 영향시 있는거 같은데 이부분이 조금 불편했습니다 개선해주세요', '호 묵었는데 샤워기 물이 새요 그리고 침대에서 샤워실이 보여서 친밀하지 않은 사람과 방문은 비추 그 외에는 전기장판도 있어서 추위타는 저에게도 좋아욥']",
전주 스마일,1766,482,2248,78.6,21.4,0,0.0,"['숙소가가 매우 깔끔하고 쾌적했습니다 담배 냄새 없이 상쾌한 공기가 느껴져서 더욱 만족스러웠어요 침구류도 청결했고 스타일러가 구비되어 있어 여행 중 옷 관리에 정말 유용했어요 어메니티도 다양하게 준비되어 있었고 직원분들도 친절했습니다 다음에도 재방문 의사 있어요 전체적으로 가격 대비 훌륭한 숙소였습니다 북대 근처라 놀 거리도 많고 위치도 좋아서 이동이 편리했어요 숙소 근처 편의점도 가까워서 필요한 물건을 쉽게 구할 수 있었고 조용한 분위기 덕분에 편안히 쉴 수 있었습니다', '테이블도 있어서 간단하게 저녁식사 겸 한잔하기 좋고 스타일러도 있고 화장실도 매우 크고 욕조도 엄청 크고 좋아요 필요한 것만 딱 있어서 아주 좋습니다 드라이기 고데기 있어서 머리하기 편하고 세면도구도 다 주셔서 아주 편리해요 자주 이용하는데 갈 때마다 쾌적하고 좋아요 침구도 편안하고 주차장도 매우 넓어서 주차 걱정 없습니다 저렴한 가격에 편히 쉬다 오기 좋아요 아 배터리 충전기는 없어서 챙겨야 해요 아니면 카운터에서 빌려주시는 것 같았어요 수건도 개 주십니다 감사합니다']","['이용객실호 위치 인근 먹거리가 없으며 도보거리 전북대 쪽 이동하면 먹거리 많음 시설 각종 자동 로그인돼서 무료 시청 가능하고 기타 시설 사용하는데 아무 문제 없음 하지만 좀 노후되어 보이는 감이 있음 청결 시설이 좀 노후된 부분이 없지 않아서 잘 안 보임 주차 주차장이 넓고 바로 옆 이면 도로 주차 가능해서 주차에 어려움 없을 것으로 판단 개선이 필요한 점 전체적으로 만족할 수준 총점점', '오늘은 이불 상태가 별로였어요 모르겠어요 화장실은 깨끗했는데 이불 상태가 별로였어요 가자마자 바로 보여서 오늘은 이불 상태가 별로였어요 모르겠어요 화장실은 깨끗했는데 이불 상태가 별로였어요 가자마자 바로 보여서 오늘은 이불 상태가 별로였어요 모르겠어요 화장실은 깨끗했는데 이불 상태가 별로였어요 가자마자 바로 보여서 오늘은 이불 상태가 별로였어요 모르겠어요 화장실은 깨끗했는데 이불 상태가 별로였어요 가자마자 바로 보여서']",
전주 스타 호텔,190,37,227,83.7,16.3,0,0.0,"['김제나 군산 부안 쪽 출장 시 항상 이용하고 있습니다 일 단 객실이 넓어서 좋고 텔레비전도 잘 나오고 욕조도 있어 서 피로 풀고 편하게 숙박하기에 좋습니다 객실 청소상태 도 훌륭한 편이며 침구류 또한 깔끔하고 포근해서 만족 시 럽습니다 사장님께서도 친절하시고 무엇보다 주변이 조 용해서 소음공해 없이 편히 자기에 좋습니다 택시 타고 번 화가 가기에도 좋습니다 주차장도 드라이비에 텔은 실 주 차라 편하게 주차 가능합니다 전반적으로 가격 대비 훌륭하며 만족스럽습니다', '출장 와서 어제도 이용하고 오늘도 이용 중입니다 일찍 예약해서 쿠폰으로 저렴한 가격으로 이용 중입니다 청소상태도 양호하고 시설도 만족합니다 주변에 식당도 않고 편의점 마트도 가까이 있어서 이용하기 편리하고 좋습니다 방에 조명도 밝은 편이라서 지내기 좋고 컴퓨터도 작동이 잘되고 게임도 할 수 있어서 좋고 방에 작은 테이블도 있어서 편리하고 티브이도 크기가 적당합니다 온수도 수압이 좋게 잘 나오고 단 불편한 점은 넷플릭스가 컴퓨터와 연동된 점과 화장실 비데가 없는 점 정도예요']","['다시 방문해도 여전히 깔끔해서 좋았지만 이번엔 담배 냄새 같은 게 온전히 다 빠지지 못한 그런 냄새가 나서 아쉬웠어요 담배 냄새가 아닐 수도 있겠다는 생각에 그냥 이용하긴 했지만 하룻밤 자는 거라면 호실 변경을 요청했을 것 같아요', '숙소가 따뜻하고 깔끔한 인테리어라 좋아요 다만 화장실 샤워기 벽면에 코딱지인지 정체 모를 게 튀어있어서 아쉬웠어요']",
전주 시그니처 호텔,83,25,108,76.9,23.1,0,0.0,"['가성비가 좋은 전주역 앞의 호텔입니다 골프존 스크린 골프도 건물에 있으며 전주에 출장 오면 자주 이용하고 있습니다 방도 문제없이 이용 가능하며 직원들의 친절하신 대응이 성급 호텔 못지않은 대응이 불편함이 없으니 모두들에게 가성비 좋은 이 호텔을 강추 드립니다 주변도 조용하고 주차장은 입구는 다소 좁아 조심해야 하나 넉넉한 주차공간은 주차를 신경 쓰시는 분들에게 최적입니다 입구는 조심해서 들어오세요 방에 전자레인지 가 있으니 너무너무 편합니다 전주역 앞이라 열차 이용도 특화되어있습니다 앞으로도 잘 부탁드립니다 감사드립니다', '위치 전북 전주시 전주역 인근 주차장 대 이상 로비 매우 친절 객실 청결 상태 매우 청결 넷플릭스 유튜브 등 냉장고 물 음료 커피 방 크기 매우 넓음 뷰 씨티뷰 먹을거리 분 내 많음 아쉬운 점 없음 재방문 의사 무조건 방문 조식 한식 총평 출장 고객입니다 좋은 가격에 좋은 숙소 감사합니다 위생적으로 우수하여 매우 만족합니다 항상 지금처럼 유지할 수 있도록 관리 부탁드립니다 감사합니다']","['큰 옷장 스타일러 전자레인지 미니 냉장고 싱크대 하이라이트 세탁기 있어요 그러나 종이컵 두 개 외 그릇이나 어떠한 집기류는 없고 보디워시 샴푸린스 작은 비누 있어요 치약 칫솔만 있으면 됩니다 침대 시트 포함 청결상태는 깨끗한 편이나 바닥은 만족스럽지 못했어요 베게 네 개 중 한 개 커버는 가운데가 찢어지고 지나치게 노래요 콘셉트가 콘도인지 비즈니스텔인지 좀 헷갈려요 침대 옆 협탁이 없어 불편했고 샤워부스가 지나치게 좁아요 헤어드라이어는 바람이 세서 만족입니다 침대 쿠션은 만족해요 조식 메뉴는 좋았는데 천장 에어컨이 너무 강해서 음식이 금방 식었어요 메뉴는 나쁘지 않았는데 따뜻한 음식을 못 먹어서 아쉬웠습니다 평일 가격이 적당하다면 이 호텔을 추천합니다', '두 번째 방문이며 이 번에는 온돌방에 묶었습니다 여전히 먼지 하나 안 보이며 깨끗한 청결상태에 만족했습니다 온돌방이 베드 룸 보다 작다는 느낌이 들었으며 욕실에 욕조가 없어 살짝 아쉬웠습니다 객실 내 전자레인지 전기포트 등 편의 시설이 구비되어 있어 햇반이나 컵라면 등 간단하게 조리해 먹기 편리합니다 세탁기도 있지만 세탁세제 주방 세제는 없더라고요 스타일러는 외식 후 냄새 제거뿐만 아니라 뽀송한 느낌이 좋아 머무는 내내 애용했습니다 바로 뒤편에 당산이라고 한 시간 정도 산책하기 적당한 장소가 있으며 요즘같이 좋은 날씨에 딱입니다 단점을 꼽자면 턱없이 부족한 주차공간입니다 저녁 이후에는 경사로까지 주차되어 있으며 바로 옆 웨딩홀 주차타워에 주차 가능하지만 퇴실 후 짐이 많은 경우 불편하겠더라고요']",
전주 씨투,129,60,189,68.3,31.7,0,0.0,"['최근에 이용한 모텔인데 생각보다 훨씬 깔끔하고 편했어요 방에 들어가자마자 냄새도 안 나고 청소도 잘 되어 있어서 기분이 엄청 좋더라고요 카펫도 깔려있고 침대도 푹신하고 이불도 포근해서 푹 잘 잤습니다 욕실이 넓고 물도 따뜻하게 잘 나와서 샤워하는 데 불편함 없었고 웬만한 필요한 건 다 준비돼 있었어요 그리고 주변이 생각보다 조용해서 쉬기 좋았고 위치도 좋아서 이동하기 편했어요 엄청 가깝고 정말 가성비도 좋아서 다음에 또 이용할 의향 있어요 완전 만족 대만족입니다', '여기 어때 앱을 통해 잠시 쉬어갈 곳을 찾다가 전주 세투 호텔을 발견하여 예약 후 시간에 맞춰 입실하였습니다 입실 과정에서 친절하게 안내를 해주셔서 기분 좋게 입실을 할 수 있었고 입실하니 방 안 온도도 적절하게 설정되어 있었고 룸 컨디션도 좋아 예약한 시간 동안 편안한 시간을 보낸 후 퇴실할 수 있었습니다 갑작스럽게 예약한 후 방문한 숙소였는데 쾌적하고 편안한 환경 속에서 아주 만족스러운 시간을 보내고 나온 것 같다는 생각이 들어서 추후에도 재방문 의사가 있습니다']","['위치와 편의성은 만족 욕조 위생은 개선 필요 층 객실에 숙박했습니다 숙소는 신시가지 중심에 위치해 있어 주변에 즐길 거리와 먹거리가 다양해 이동이 매우 편리했습니다 특히 넓은 주차장이 마련되어 있어 차량 이용 시에도 불편함이 없었습니다 객실 내에는 넷플릭스 시청이 가능했고 에어컨도 시원하게 잘 작동하여 쾌적한 환경에서 지낼 수 있었습니다 생수 두 병이 비치되어 있었고 로비에는 자유롭게 이용 가능한 생수도 제공되어 세심한 배려가 느껴졌습니다 다만 욕조 위생 상태는 아쉬움이 컸습니다 욕조에 눈에 띄는 이물질이 다수 부착되어 있어 사용이 어려울 정도였고 전반적으로 청소가 제대로 이루어지지 않은 것으로 보였습니다 욕조 사용을 고려하신다면 참고하시는 것이 좋겠습니다', '스탠더드 선택했어요 주차장은 넓어서 좋았어요 급하게 그나마 싼 곳 잡은 건데 밑에 클럽이 있어서 좀 시끄러웠지만 많이 피곤해서 잠드는데 방해되진 안 있지만 새벽에 한번 깼었고 화장실에 문이 없네요 싼 맛에 출장 오는 사람들은 괜찮지만 쉬러 가시는 분들은 아쉬울 거 같아요 급하게 그나마 싼 곳 잡은 건데 밑에 클럽이 있어서 좀 시끄러웠지만 많이 피곤해서 잠드는데 방해되진 안 있지만 새벽에 한번 깼었고 화장실에 문이 없네요 싼 맛에 출장 오는 사람들은 괜찮지만 쉬러 가시는 분들은 아쉬울 거 같아요']",
전주 아늑료칸호텔 전주점,23,4,27,85.2,14.8,0,0.0,"['비가 오는 전주 여행이라 도보여행으로 예약해서 문의하니 자체적인 주차장 이외에 코너만 돌면 유료주차장으로 안내를 해주셨습니다 차량번호 알려드리고 이용객은 무료로 이용 가능한 넓은 주차장이 있다는 게 큰 장점이었어요 들어가자마자 스타일러가 있어서 너무 좋았고 무엇보다 침대 배게 다른 종류 가지는 정말 세심하다고 느꼈습니다 욕조 앞 빔 프로젝터로 분위기도 좋아지고 아늑해서 방 이름 그대로 화기애애한 것 같습니다 조금 아쉬운 점은 화장실 하수구에서 점점 냄새가 올라와서 아침에도 지속되었다는 점 제외하면 너무 완벽한 숙소였습니다', '사우나 호 예약했어요 퇴실도 전에 리뷰를 남기네요 마이산 가는 겸 전주 다시 와볼 겸 겸사 겸사해서 급 검색하고 예약해서 와 본 숙소네요 첫인상은 일단 깔끔 정갈한 느낌이라 좋았습니다 주차장 넓고 깔끔하게 보유중이더라구요 어메니티는 별도로 원에 판매중이에요 객실 내부 들어서면 좋은 맘이 편해지는 은은한 향이 나서 더 좋았어요 객실 전체 금연이고 이용하는 분들은 다른 분들 위해서도 지켜주시는 게 좋겠죠 도착해서 지쳐서 침대에 누웠는데 베개가 메모리폼 경추 베개라니요신선하고 사장님 센스 보통 아니시다 싶었어요 다앙한 숙소를 접해봤지만 샤워기에 대한 아쉬움 수압에 대한 아쉬움이 있었는데 여긴 수압도 좋고 샤워기 너무 야무지고 튼튼해서 맘에 들더라구요 건식 사우나도 신박하면서 가볍게 즐기기 좋았습니다 겨울에는 더 괜찮을 거 같더라구요 샴푸 린스 바디워시 토너 로션은 비치되어 있었어요 내부가 아담한데 좌식 테이블이 준비되어 있는 센스도 좋았어요 리뷰 적으려고 이리저리 보다가 월에 오픈한 신상 숙소인 것도 지금 알았어요 결론 생각보다 만족스러워요 사우나 내부 화로 부분도 한번씩 청결을 위해 신경써주시면 좋겠다 정도 이구요 숙소 머물면서 사장님의 센스와 야무짐을 느꼈습니다 다른 이용하시는 분들도 매너 있게 잘 이용하길 바라며 오래도록 좋은 컨디션 유지하는 전주의 숙소가 되길 바라는 맘으로 리뷰적어봐요 담에 전주오면 예약하고 싶어지는 숙소가 생겨서 좋아요']","['료칸에서 힐링 제대로 하고 갑니다 일단 객실이 보통 모텔은 바닥이 찝찝해서 슬리퍼를 신고 돌아다니고 뭔가 외부 바닥 같아서 편한 느낌이 덜한데 여긴 아주 뽀송하고 부드러운 장판에 적정온도를 맞춰 놓으셔서 진짜 집 같은 편안함이 있어요 그리고 침대에도 신경을 많이 쓰신 것 같은 게 베개가 약간 딱딱한 목을 받쳐주는 그런 종류가 있고 또 부드러운 베개도 있어서 원하는 베개로 이용하면 되는 게 너무 센스 있는 부분이었던 것 같아요 잠도 완전 꿀잠 잤어요 진짜 침구류 좋은 거 쓰시는 듯 오설록 차도 녹차 진짜 맛있던데요 찻잔에 담아 호로록 마시니 피로가 싹 풀리는 느낌 아주 약간 아쉬운 점이라면 수건에서 나는 락스 냄새 정도 그래도 막 뻣뻣한 재질은 아니라 괜찮았어요 밖의 소음도 차단이 잘 안되긴 합니다', '방이 정말 일본에 온 것 같은 기분이 들게 했습니다 가본 적은 없지만요 다른 모텔보다 침대 정말 아주 마음에 들었습니다 너무 편안하고 베개도 어떤 베게인지는 모르지만 다른 곳과 다르고요 서비스도 아주 친절하셨고요 또 지하에는 따러 금액을 내서 스파를 즐길 수도 있더군요 가장 중요한 방음도 아주 좋았습니다 다만 조금 아쉬운 건 먼지들이 조금씩 날아다닌다는 점이 아쉬웠습니다 그 외에는 굳입니다']",
