text,label,predicted_label,labels
모기장이 고장 나 덜렁거려 여름에는 모기가 들어올 것 같습니다.,0,0,0
화장실 샤워기를 고정하는 곳이 없어 불편했습니다.,0,0,0
사진은 못 찍었지만 숙소가 정말 깔끔하고 예쁩니다.,1,1,1
여자친구가 오랜만에 마음에 드는 숙소라며 매우 좋아합니다.,1,1,0
퇴실 30분 전부터 전화가 안 된다며 계속 연락이 와서 기분이 좋지 않았습니다.,0,0,0
빨리 고치시길 바랍니다.,0,0,0
이 방은 유독 방음이 안 되는 것 같습니다.,0,0,0
"옆방 TV 소리, 음악 소리, 샤워 소리에 잠을 청하기 힘들었습니다.",0,0,0
스타일러가 고장 나서 사용하지 못한 점이 아쉽습니다.,0,0,0
"방을 바꾸기 번거로워 그냥 지냈는데, 방 배정 전에 미리 확인해주면 좋겠습니다.",0,0,0
"원래 후기 같은 것은 안 쓰는데, 오래된 것은 다 괜찮습니다.",0,0,0
하지만 방음이 전혀 안 됩니다.,0,0,0
"바로 옆에 노래홀이 있어서 밤새 쿵짝쿵짝 소음이 있었고, 린넨실 옆이라 그런지 아침 일찍부터 쿵쾅쿵쾅 발자국 소리와 문 여닫는 소리에 잠을 잘 수가 없었습니다.",0,0,0
넷플릭스도 있고 깔끔해서 좋습니다.,1,1,1
편하게 영화 보면서 휴식하다 갑니다.,1,1,1
만족했습니다.,1,1,1
침구류도 그렇고 예뻤습니다.,1,1,1
전기장판이 고장 나 잠잘 때 추웠습니다.,0,0,0
빌려주신 고데기는 너무 작아 사용하기 불편했습니다.,0,0,0
"시설, 위치, 가격 모두 최고입니다.",1,1,1
"이 가격에 이 위치, 이 컨디션은 가성비 최고의 숙소입니다.",1,1,1
"침구류에서 벌레에 물린 흔적이 있었고, 샤워기를 걸 수 있는 공간이 없었습니다.",0,0,0
방음이 정말 심각합니다.,0,0,0
다른 점은 모두 좋습니다.,0,1,1
좋았습니다.,1,1,1
가격도 저렴하고 룸 컨디션도 매우 좋아서 재방문하고 싶습니다.,1,1,1
숙소는 깨끗하고 고데기와 드라이기도 있으며 조식도 있어서 좋았습니다.,1,1,1
"토스트가 맛있다는 리뷰가 많아 기대했는데, 길거리 토스트처럼 달콤한 맛이 없어 조금 아쉬웠습니다.",1,0,0
"잠잘 때 소음은 없었고, 오전에 다른 방 소음은 들립니다.",1,0,0
"자주 이용하는 곳인데, 컴퓨터가 있어도 작동하지 않습니다.",0,0,0
"처음 배정받은 방에서 담배 냄새가 심하여 방을 옮겼는데, 옮긴 방은 쾌적하고 좋았습니다.",1,1,1
잘 이용하고 갑니다.,1,1,1
"사진은 못 찍었지만, 여태 가봤던 곳 중에 최고였습니다.",1,1,1
가격도 저렴하고 깨끗하며 인테리어도 예뻤습니다.,1,1,1
그중 최고는 침대 쿠션감이 정말 좋았습니다.,1,1,1
상표를 찍어왔습니다.,1,0,0
다음에 전주 가게 되면 꼭 다시 이곳으로 예약하자고 남편과 약속했습니다.,1,1,1
신시가지 근처에서 저렴하게 지내기 좋습니다.,1,1,1
"외관에 비해 내부는 깔끔했으나, 샤워 타월이나 수건 등 비품이 청결하지 못했습니다.",0,0,0
직원분이 매우 친절합니다.,1,1,1
"매우 좋았지만, 아쉬운 점은 침대 전기 매트가 고장 나서 부모님 방이 추웠습니다.",0,0,0
다음번에 다시 재방문하겠습니다.,0,0,1
"자주 이용하는 곳인데, 단골이 될수록 서비스가 변하고 말도 바뀌는 점이 아쉽습니다.",0,0,0
무인 체크인과 시설이 좋았습니다.,1,1,1
칫솔모 불량으로 인해 불편함이 있었습니다.,1,0,0
최고의 호텔에서 잘 이용했습니다.,1,1,1
다만 리모델링 후 방문할 때마다 같은 방을 주셔서 다른 방도 이용해보고 싶습니다.,1,1,1
시내에 위치하여 매우 좋았습니다.,1,1,1
"다만, TV가 고장나서 나오지 않았습니다.",1,0,0
이 점을 제외하면 매우 만족합니다.,1,1,1
모든 면에서 좋았습니다.,1,1,1
충전소가 있어서 좋습니다.,1,1,1
와이프와 전주 야시장을 구경하기 위해 미리 예약하고 11시쯤 방문했는데 생각보다는 별로였습니다.,0,0,0
전주 갈 때마다 이용하는 숙소입니다.,1,1,1
갈 때마다 비피더스도 꼭 챙겨주시고 무엇보다 숙소가 깔끔해서 너무 좋습니다.,1,1,1
또 이용하겠습니다.,1,1,1
"피곤해서 컴퓨터는 사용하지 못했지만, 깔끔하고 향기도 좋아서 편안히 쉬다 갑니다.",1,1,1
고데기와 충전기도 있어서 좋았습니다.,1,1,1
"외관은 깔끔했으나, 내부는 다소 아쉬웠습니다.",0,0,0
청소해야 한다며 이용 시간을 충분히 즐기지 못하고 쫓겨났습니다.,0,0,1
다시는 가지 않을 것입니다.,0,0,0
깨끗하고 편하게 쉬었습니다.,1,1,1
넓은 방을 주셔서 감사합니다.,1,1,1
전주에서 잘 쉬었습니다.,1,1,1
"리모델링 전 개인적으로 좋은 기억이 있어서 기대했지만, 아쉬운 경험이 됐습니다.",0,0,0
사실 시설 자체는 넓고 청결해서 좋습니다.,0,1,1
직원분도 매우 친절하셨습니다.,0,1,1
"그래서 제가 전에도 좋아했고, 이번에도 멀리서 온 애인과 투숙했습니다.",0,0,0
다만 아쉬웠던 점은 이용 중 몇몇 비품 파손에 관한 미흡한 대처입니다.,0,0,0
숙소를 이용하기도 전에 파손된 비품들에 관해 확인 절차도 없이 제게 일방적으로 손해배상을 요구하고 신고까지 하시겠다고 통보하시더군요.,0,0,0
물론 비품 파손에 관해 사장님도 곤란하실 거라는 점은 이해가 갑니다.,0,0,0
하지만 확인 관리 절차도 없이 의심받고 통보받는 것은 소비자 입장에서 썩 기분 좋은 대처가 아닙니다.,0,0,0
일반인들 입장에서는 모르는 번호가 전화를 하면 받기를 싫어하니 문자로 확인부터 하는 것이 더 적절하지 않을까 생각됩니다.,0,0,0
심지어 파손된 비품에 더해 숙소 이용 중에 부실한 본드질로 인해 비데 리모컨이 바닥에 떨어지기도 했습니다.,0,0,0
그리고 깔끔하긴 하지만 시설에 흠이 없는 것도 아닙니다.,0,0,0
이렇게 잔고장에 대한 관리나 사전 확인 없이 숙박객들에게 책임을 돌리신다면 투숙하기 불안하고 부담스럽다는 생각밖에 안 듭니다.,0,0,0
바람이 많이 불어 주차장 칸막이 부딪히는 소리가 너무 컸습니다.,0,0,0
나머지는 만족스럽습니다.,0,1,1
사장님이 친절하시고 인테리어 등 분위기가 좋습니다.,1,1,1
카운터 직원분도 친절하십니다.,1,1,1
새벽에 옆방에서 계속 물소리가 들려 잠을 설쳤습니다.,0,0,0
방음이 잘 안 되는 것 같습니다.,0,0,0
직원이 매우 불친절하고 방 상태도 엉망이었습니다.,0,0,0
"다시는 방문하고 싶지 않으며, 전주 여행이 엉망이 되었습니다.",0,0,0
지인 추천으로 1박 했는데 매우 좋았습니다.,1,1,1
사장님과 사모님이 친절합니다.,1,1,1
최악의 모텔이니 절대 가지 마세요.,0,0,0
"주인분은 친절하셨고, 클럽 때문에 시끄러운데 괜찮겠냐고 물으셨을 때 얼마나 시끄럽겠냐고 생각했습니다.",0,0,0
하지만 5층 방임에도 클럽 노래가 방 안에서 트는 것처럼 엄청 크게 들렸습니다.,0,0,0
너무 시끄러워 집에 가서 잘까,0,0,0
"생각도 했고, 아예 TV를 켜고 자려고도 했습니다.",0,0,0
너무 시끄러워 차에서 귀마개와 안대를 가져와 억지로 잠들었습니다.,0,0,0
이 정도면 숙박 영업을 하지 말아야 하는 것 아닌가요?,0,0,0
"아예 잠을 잘 수 없을 정도였고, 거의 밤을 새웠습니다.",0,0,0
주인분이 친절한 이유를 알 것 같았습니다.,0,1,1
숙박하려면 이곳은 추천하지 않습니다.,0,0,0
"아니, 그냥 가지 마세요.",0,0,0
하룻밤 잘 묵고 갑니다.,1,1,1
"침구에서 냄새가 났지만, 시설은 매우 좋았고 조식도 훌륭했습니다.",0,1,1
방금 청소했다고 하셨는데 시간이 지나도 바닥이 끈적거렸습니다.,0,0,0
"비품 중 바디워시는 일회용인데 비누는 공용이었고, 침대 헤드 쪽에 오염된 부분도 있었습니다.",0,0,0
특가 할인으로 예약하면 넷플릭스가 안 되는 방이 배정되는 것 같습니다.,0,0,0
후기들도 대부분 그렇습니다.,0,0,0
객사와 위치가 가까워서 좋습니다.,1,1,1
"마이룸 쿠폰으로 저렴하게 이용했으나, 화장실 세면대에 먼지가 있었습니다.",0,0,0
연박하기 매우 좋습니다.,1,1,1
한옥 호텔을 기대했으나 일반 모텔과 큰 차이가 없습니다.,0,0,0
매우 친절하시고 전주 한옥마을 접근성도 좋으며 조식까지 나와서 정말 좋았습니다.,1,1,1
"오늘인가 어제인가 급하게 다시 예약했는데, 드디어 내일이면 정들었던 501호 한실 생활도 안녕이네요.",1,0,0
"리뷰를 보면 무료 숙박권을 받는 분들이 있던데, 저도 그런 이벤트가 나중에 있다면 당첨되고 싶습니다.",1,1,1
어쨌든 2주 동안 감사했습니다.,1,1,1
매우 좋고 서비스도 훌륭합니다.,1,1,1
사장님이 친절하시고 전기장판이 있어 매우 따뜻하게 잘 쉬다 갔습니다.,1,1,1
바디워셔를 눌러도 조금씩밖에 나오지 않았습니다.,0,0,0
그 외에는 종업원이 친절하고 청소가 깨끗하며 조용했습니다.,0,1,1
이번 객실에서는 침구에서 냄새가 나서 불편했습니다.,0,0,0
가격이 저렴하여 자주 이용합니다.,1,1,1
다음에 전주를 다시 방문하게 되면 또 이용할 것 같습니다.,1,1,1
저는 좀 추웠습니다.,0,0,0
온도 조절을 요청드렸는데 올라가지 않는지 추웠습니다.,0,0,0
후기가 좋아서 방문했는데 생각보다 별로였습니다.,0,0,0
담배 냄새 때문에 답답하고 침대 포함 전체적으로 꿉꿉했습니다.,0,0,0
"세면대에서 물이 새 발이 젖었고, 의자 하나는 겉면이 찢어져 있었으며, 위치가 답답하고 노란색 인테리어가 뜬금없었습니다.",0,0,0
직원분들은 친절했습니다.,0,0,0
항상 편하게 쉬고 갑니다.,1,1,1
비가 와서 테라스의 묘미를 즐기지 못해 아쉬웠습니다.,0,0,0
"아이들과 잘 자고 잘 놀았지만, 월풀 욕조의 월풀 기능이 작동하지 않아 아쉬웠습니다.",0,0,0
깨끗하고 사장님이 친절하여 좋습니다.,1,1,1
자주 이용하겠습니다.,1,1,1
헤드셋이 없어 아쉬웠습니다.,0,0,0
"매우 깔끔하고 사장님도 친절하셔서, 이곳은 여행 시 재방문 의사가 있습니다.",1,1,1
전에 좋아서 다시 방문했는데 방에서 담배 냄새가 나고 책상도 이미지와 달라서 불편했습니다.,0,0,0
그래도 이전 기억이 좋아서 리뷰 남깁니다.,0,0,0
담배 냄새가 많이 나서 힘들었습니다.,0,0,0
"사장님, 환기 좀 부탁드립니다.",0,0,0
전주는 무조건 여기입니다.,1,1,1
항상 만족하고 행복하게 돌아갑니다.,1,1,1
1층에서 고데기를 빌릴 수 있어 편리했습니다.,1,1,1
"마이룸을 이용했는데, 방이 좁다는 후기가 많아 걱정했지만 전혀 그렇지 않았습니다.",1,0,0
"좁긴 했지만 불편해서 방을 바꿀 정도는 아니었고, 화장실도 넓고 깨끗해서 좋았습니다.",1,1,1
"친절하게 좋은 방으로 옮겨주셨지만, 이불에서 먼지가 많이 날렸고 아침에 보니 검은 바지에 먼지가 가득했습니다.",0,0,0
단골인데 퇴실 시간이 짧아져서 아쉽습니다.,0,0,0
잘 놀다 왔습니다.,1,1,1
불친절합니다.,0,0,0
항상 청결했던 젠이었는데 오늘은 방 위생 상태가 좋지 않았습니다.,0,0,0
"방도 업그레이드해주시고 넓으며, 이동하기 좋은 위치입니다.",1,1,1
전주에 오면 이곳만 이용할 예정입니다.,1,1,1
비품이 사용된 흔적이 있습니다.,0,0,0
자주 왔던 곳입니다.,1,1,1
다음에 또 오겠습니다.,1,1,1
깔끔하고 좋았지만 문이 뒤틀렸는지 잘 열리지 않고 열고 닫을 때마다 소음이 발생하여 수리가 필요해 보입니다.,0,0,0
오픈한 지 얼마 안 되어 시설이 매우 깨끗하고 깔끔합니다.,1,1,1
직원분들도 친절합니다.,1,1,1
객실은 전반적으로 세련되고 필요한 모든 것이 갖춰져 있어 좋았습니다.,0,1,1
"그러나 더워서 에어컨을 켰을 때, 에어컨 내부와 날개 겉면에 검은 곰팡이가 심하게 끼어 있었습니다.",0,0,0
물티슈로 닦아보려 했으나 굳어서 제거되지 않았습니다.,0,0,0
"더위 때문에 에어컨을 켰지만, 곰팡이 냄새가 나서 마스크를 쓰고 잠들어야 했습니다.",0,0,0
"가격 대비 좋았으나, 욕조 청소 상태와 실내 담배 냄새가 아쉬웠습니다.",0,0,0
전주 출장이나 모임 때마다 묵는 숙소입니다.,1,1,1
사장님도 친절하고 시설도 깔끔합니다.,1,1,1
"주차장이 협소한 것이 단점이지만, 신시가지와 가까워 편리하고 좋습니다.",1,1,1
"깔끔한 분위기는 좋지만, 불이 켜지지 않는 곳이 많았고 욕조에 머리카락이 있어 찝찝했습니다.",0,0,0
항상 만족하고 묵습니다.,1,1,1
"아침 라면도 직접 끓여주시고, 출장 가는 분들께 적극 추천합니다.",1,1,1
연박으로 아주 편안하게 쉬었습니다.,1,1,1
전주역에서 가깝습니다.,0,0,1
"남자 사장님이 키를 주셨고, 운동복 차림이라 그런지 친절함을 느끼지 못했습니다.",0,0,0
"마이룸 객실이라 그런지 냉장고에 생수 두 병만 있었고, 생수병 마개 부분이 재활용인지 의아했습니다.",0,0,0
"양치, 손 씻기, 커피 마시는 용도로만 사용했습니다.",0,0,0
컴퓨터가 없었고 와이파이 연결이 불안정하여 불편했습니다.,0,0,0
개선이 필요해 보입니다.,0,0,0
청결도는 오래된 건물치고는 깔끔한 편이었고 수압도 좋았습니다.,0,1,1
씻고 잠만 잘 분들에게 적합한 모텔입니다.,0,1,1
사진과 많이 다릅니다.,0,0,0
"신축 건물인 줄 알았으나, 옛날 여관 같았습니다.",0,0,0
실물과 일치하도록 사진을 변경해 주세요.,0,0,0
그저 그랬습니다.,0,0,0
깨끗하고 객실 상태가 매우 좋았습니다.,1,1,1
청결 상태가 매우 안 좋습니다.,0,1,1
"베개 밑과 이불 위에 벌레 시체가 있었고, 욕실에도 벌레 시체와 머리카락이 많았으며, 욕조 물도 막혀 잘 내려가지 않았습니다.",0,0,0
"일회용품도 적고 최소한만 있었으며, 가운 같은 것도 없어 아쉬웠습니다.",0,0,0
청결 상태가 매우 실망스러웠습니다.,0,0,0
"웬만해선 후기를 남기지 않는데, 여기는 사장님인지 직원인지 상당히 불친절했습니다.",0,0,0
충전기를 달라고 하니 기분 나쁜 듯 툭 던졌습니다.,0,0,1
다시는 오고 싶지 않습니다.,0,0,0
대체로 만족했습니다.,0,1,1
"영화를 보고 싶어 컴퓨터를 켰으나, 다른 프로그램은 소리가 나도 영화 프로그램은 소리가 나지 않았습니다.",0,0,0
"매우 깨끗하고 따뜻하며, 무인텔이라 주차가 편리하고 주변에 식당과 카페가 많습니다.",1,1,1
청결도 깨끗하고 남자 사장님도 매우 친절하셔서 좋았습니다.,0,1,1
그런데 저희가 마지막 날에 청소를 부탁하지도 않았는데 마음대로 청소를 해주셨습니다.,0,0,0
"그래서 저희 물건들을 쓰레기인 줄 알고 버리신 것 같은데, 이 점이 가장 아쉬웠습니다.",0,0,0
그 점 외에는 깨끗하고 좋았습니다.,0,1,1
물 수압이 너무 약해서 조금 아쉽습니다.,0,0,0
옥상 뷰가 매우 좋습니다.,1,1,1
숙소가 깔끔하여 즐겁게 놀다 갑니다.,1,1,1
마리는 항상 깔끔하고 좋습니다.,1,1,1
언제 가도 기분 좋고 접근성 좋으며 시설 깨끗하고 편안하게 지낼 수 있는 곳입니다.,1,1,1
"화장실 변기 수압이 약해 대변을 보기가 어렵고, 잘 내려가지 않습니다.",0,0,0
매우 좋습니다.,1,1,1
"프런트에 계신 분들이 매우 친절하시고, 특히 고양이가 아주 친절하고 귀엽습니다.",1,1,1
야놀자 케어 숙소는 믿고 이용할 수 있습니다.,1,1,1
모든 면에서 완벽하여 편안하게 쉬다 갑니다.,1,1,1
좋습니다.,1,1,1
방도 매우 큽니다.,1,1,1
501호에 숙박했습니다.,0,1,1
"침구류와 수건은 깨끗하고 푹신했으며, 방도 넓고 에어컨도 잘 작동했습니다.",0,1,1
조명과 수온은 괜찮았으나 수압이 약했습니다.,0,0,0
"스타일러, 공기청정기, 안마의자, 비데가 있었고 소파와 테이블이 있어 식사하기 편했습니다.",0,1,1
그러나 객실에 들어섰을 때 담배 냄새가 심하여 환기해도 창문과 커튼에서 계속 냄새가 났습니다.,0,0,0
화장실에서도 냄새가 올라왔고 공기청정기에서도 담배 냄새가 나서 바로 껐습니다.,0,0,0
방음도 약하여 윗층 소음이 잘 들렸습니다.,0,0,0
"가장 불만족스러웠던 점은 예약 당시 77,000원에 결제했으나 현재는 50,000원(할인 시 48,000원)으로 가격이 내려가 있었습니다.",0,0,0
"안마의자가 있는 로얄 스위트 방을 받았다고 하지만, 안마의자를 사용하지 않았기에 미리 연락을 주셨다면 취소 후 재예약하거나 대실로 변경하여 더 일찍 체크인할 수도 있었을 것입니다.",0,0,0
이러한 안내 부족이 매우 아쉽습니다.,0,0,0
"침대가 매우 크고 편안하며, 방도 쾌적하고 깨끗하여 편안하게 쉬다 갑니다.",1,1,1
다음에 전주에 오면 다시 방문할 것 같습니다.,1,1,1
사장님도 친절하셔서 좋았습니다.,1,1,1
"방이 깨끗하고 따뜻했으며, 사장님의 응대가 빨라 좋았습니다.",1,1,1
"셀프 조식이 있었는데, 더 다양한 메뉴가 있었으면 좋겠습니다.",1,0,1
깔끔하고 생각보다 넓은 방이었습니다.,1,1,1
잘 묵으며 잘 쉬다 왔습니다.,1,1,1
다음에 전주에서 묵을 기회가 생기면 다시 이용하고 싶습니다.,1,1,1
위치는 좋았으나 위생과 청결은 좋지 않았습니다.,0,0,0
시설 괜찮았습니다.,1,1,1
모기가 많아 자는 데 힘들었습니다.,0,0,0
깔끔하고 좋았습니다.,1,1,1
다음 전주 여행 때도 이용하려고 합니다.,1,0,0
주차 공간이 불편하고 세월의 흔적이 보입니다.,0,0,1
객실 컨디션이 좋지 않았습니다.,0,0,0
모기가 많고 먼지가 너무 많이 날려 공기 질이 최악이었습니다.,0,0,0
다시는 오고 싶지 않습니다.,0,0,0
"처음에 객실 키를 잘못 주셔서 당황했지만, 바로 오셔서 키를 바꿔주셔서 기분 좋게 쉬다 갑니다.",1,1,1
매우 조용하고 가격 대비 방도 깔끔하여 전주에 올 때마다 방문하는 편입니다.,1,1,1
항상 애용하는 호텔입니다.,0,1,1
5호방 라인 복도 불빛이 방으로 다 들어와서 잘 때 불편한 점은 꼭 개선해 주시길 바랍니다.,0,0,0
커튼을 꼭 달아주세요.,0,0,0
매우 좋습니다.,1,1,1
얼마 전에 친구와 방문하고 좋아서 다른 친구와 바로 방문했습니다.,1,1,1
"난방이 잘 되고 전기장판도 있으며, 리모델링한 지 얼마 안 돼서 깨끗하고 좋습니다.",1,1,1
급작스럽게 방문하게 되어 예약했는데 방도 깨끗하고 좋았습니다.,1,1,1
객실은 정말 예뻤지만 와이파이가 너무 자주 끊겼습니다.,0,0,0
"공유기를 여러 번 껐다 켜도 동일했으며, 하루 더 예약할 때 중간 시간 추가 요금이 발생했습니다.",0,0,0
디럭스 더블룸은 가성비 대비 만족스러웠습니다.,1,1,1
"청결하고 방음이 잘되며, 주차장이 넓고 조용해서 좋았습니다.",1,1,1
익산 출장 시 계속 이용할 생각입니다.,1,1,1
"출장 시 들렀는데, 객실 상태 등 매우 만족스러웠습니다.",1,1,1
"미리 예약하여 높은 층에 배정받았는데, 객실에서 보이는 한옥마을 뷰가 매우 좋습니다.",1,1,1
덕분에 잘 쉬고 갑니다.,1,1,1
"주인장님이 친절하여 좋았으나, 욕실 문에 걸려 있던 사용한 수건 한 장은 아쉬웠습니다.",1,0,0
"리모델링된 숙소라 외관상으로도 고급스럽고, 특히 침구류나 침대가 정말 좋아 잘 쉬다 갑니다.",1,1,1
커플 PC룸으로 예약하고 갔는데 객실에 담배 냄새가 났습니다.,0,0,0
"게이밍 컴퓨터라고 해서 기대했는데 컴퓨터 한 대는 롤, 카트 등 아예 시작도 안 돼서 한 판도 못 하고 나왔습니다.",0,0,0
다시는 가지 않을 것입니다.,0,0,0
편안히 잘 쉬었습니다.,1,1,1
깔끔하고 좋습니다.,1,1,1
카운터에서 언급했지만 새벽 5시에는 클럽 소리가 절정이었습니다.,0,0,0
"가성비가 매우 뛰어나며, 특히 침대가 아주 좋습니다.",1,1,1
늘 이용하는 곳으로 깔끔하고 좋습니다.,1,1,1
잘 쉬다 갑니다.,0,1,1
"다만, 청소 상태가 아쉽습니다.",0,0,0
자주 이용하지만 환기가 아쉽습니다.,0,0,0
프런트 직원이 불친절했지만 입실했습니다.,0,0,0
청소가 제대로 되지 않았는지 베개 밑에서 머리카락이 나왔습니다.,0,0,0
"에어드레서는 소음이 심해 사용할 수 없었고, 침구류가 누렇고 더러웠습니다.",0,0,0
"이 가격에 이런 숙소는 처음이며, 사진과 달랐습니다.",0,0,0
욕실만 깨끗했습니다.,0,1,1
"나쁘지 않았으나, 자고 있는데 청소하시는 분들이 갑자기 문을 열고 신발을 보고 나갔습니다.",0,0,0
자다가 깜짝 놀랐습니다.,0,0,0
좀 추웠습니다.,0,0,0
"모든 것이 좋지만, 비데 노즐 청소 및 관리가 필요합니다.",0,0,0
매우 불결합니다.,0,1,1
"사장님께서 고객 응대를 정말 친절하게 해주시고, 객실 상태 또한 깔끔하고 매우 좋습니다.",1,1,1
담배 냄새도 전혀 없어 쾌적하게 쉬다 왔습니다.,1,1,1
감사합니다.,1,1,1
"사장님, 또 왔습니다.",1,1,1
위치가 매우 좋고 객실도 깨끗하며 넓습니다.,1,1,1
저렴하고 가성비가 좋습니다.,1,1,1
"사장님께서 매우 친절하셨고, 맛집도 하나하나 알려주셨습니다.",1,1,0
"숙소 서비스도 매우 좋고, 전주 한옥마을까지 걸어서 10분 거리입니다.",1,1,1
전주 숙소로 추천합니다.,1,1,1
깔끔하고 좋지만 전기장판이 고장 난 것 같습니다.,0,0,0
안마의자도 좋고 깨끗하며 사장님도 친절합니다.,1,1,1
"급하게 잡은 숙소라 걱정했지만, 전체적으로 매우 쾌적하고 직원분들도 매우 친절했습니다.",1,1,1
다음에 전주에 온다면 다시 방문할 것 같습니다.,1,1,1
잘 쉬다 갑니다.,1,1,1
방이 따뜻하고 좋았습니다.,1,1,1
후기가 왜 좋은지 모르겠습니다.,0,0,0
"가성비 때문에 가격은 저렴하지만, 거미줄이 있고 화장실 물이 잘 내려가지 않으며 세면대 물도 내려가지 않습니다.",0,0,0
샤워기 물은 찔찔거리고 환풍기도 작동하는 곳과 안 되는 곳이 있습니다.,0,0,0
다시는 방문하지 않을 것입니다.,0,0,0
컴퓨터가 매우 아쉽습니다.,0,0,0
그냥저냥입니다.,0,0,0
TV는 켜면 2분 후에 계속 꺼져서 시청을 포기했습니다.,0,0,0
대리기사님이 시끄럽다고 하셨는데 전혀 시끄럽지 않았습니다.,0,0,0
한 가지 아쉬운 점은 욕실입니다.,0,0,0
"수압도 딱히 좋지는 않았지만 무난하게 쓸 만했는데, 하수도가 말썽이라 물이 안 빠졌습니다.",0,0,0
샤워하고 나오려니 입구까지 물이 차서 매우 곤란했습니다.,0,0,0
사장님께서 이 글을 보시고 하수도 관리를 좀 해주셨으면 좋겠습니다.,0,0,1
그것만 빼면 가격 대비 나쁘지 않았습니다.,0,1,1
다시는 방문하지 않을 것입니다.,0,0,0
"방 컨디션은 좋지만, 샤워 시 물이 졸졸 나와 아침에 샤워하는 데 매우 힘들었습니다.",0,0,0
좋지만 아침에 공사를 해서 오늘은 잠을 자는 데 많이 불편했습니다.,0,0,0
좋았습니다.,1,1,1
"다만 바깥 소음이 좀 있었고, 냉장고에서 갑자기 소리가 나서 자다가 조금 놀랐습니다.",1,0,0
그래도 좋습니다.,1,1,1
만족합니다.,1,1,1
다음에 또 방문하고 싶습니다.,1,1,1
사장님도 친절하고 좋았습니다.,1,1,1
"방은 깨끗하고 깔끔했으나, 엘리베이터 없는 4층 객실은 힘들었고 철길 옆이라 밤새 기차 소리가 시끄러워 잠을 설치며 피곤하게 아침을 맞았습니다.",0,0,0
위치도 좋고 조용하며 객실도 매우 쾌적하고 직원분들도 매우 친절했습니다.,1,1,1
매우 깨끗합니다.,1,1,1
침대가 많이 불편합니다.,0,0,0
편히 잘 쉬다 갑니다.,1,1,1
이불에서 담배 쩐 냄새가 납니다.,0,0,0
이불을 덮고 다음 날이 되니 몸에서 담배 냄새가 심하게 납니다.,0,0,0
이불을 빨아주세요.,0,0,0
컴퓨터 사양이 좋지 않습니다.,0,0,0
"한 대는 괜찮지만, 서브 컴퓨터 사양이 많이 부족합니다.",0,0,0
사람들이 자주 찾는 곳은 이유가 있다는 것을 이해할 정도로 매우 편안합니다.,1,1,1
담배 냄새가 덜 난다고 해도 머리에 냄새가 배었습니다.,0,0,0
