name,rating,write_date,source,sentence,label
전주 제이즈호텔,3,2018-07,y,방음이 잘 안되네요 담부턴 대실만 이용하려고요,0
전주 관광호텔,3,2021-07,y,이불 바로 위 머리카락이 있는 점이 아쉬워요 점검하실 때 그 점은 바로 확인되는 부분인데 말이에요,0
전주 제이즈호텔,5,2021-07,y,여기는 정말 안 오려야 안 올스가 없어요 매일 한주에 이틀은 여기에 있네요 감사합니다,1
전주 히든호텔,0,2025-05,y,부실한지 확인 더 잘 안 하는 숙소,0
전주 호텔 늘,0,2025-05,y,자주 가던 곳인데 갈 때마다 인포에 사장님 안 계셔서 입실시간도 늦어지고 한 번씩 바닥도 물기도 안 말라서 못 들어갈 정도일다 있어요,0
전주 제이즈호텔,0,2024-07,y,세면기 곰팡이에 더럽고 최악에 숙소 가지 마세요,0
전주 호텔 늘,2,2025-06,y,사진상 보기에 깔끔하고 청결해 보여서 예약을 했는데요 일단 입실하자마자 담배 냄새가 너무 많이 났고요 입실하고부터 공기청정기 풀가동했는데 퇴실 때까지도 냄새가 났어요 그리고 화장실에선 사용하기 전부터 똥 냄새가 올라오더라고요 환기가 잘 안되는 건지 다른 데서 냄새가 넘어오는 건지 아무튼 후각에 민감하신 분은 많이 불편하실 것 같아요 그리고 욕실 사용 중인데 불은 왜 자꾸 꺼지는지 나머진 뭐 그럭저럭 괜찮았는데 냄새 때문에 재방문하지는 않을 것 같네요,0
전주 큐,2,2023-07,y,왜 이렇게 좋은 평점인지 이해가 안 되네요 그냥 가격이 저렴해서인가요 들어가자마자 담배 냄새 장난 아니고 안에 비품도 년은 넘어 보이고 베개에는 파운데이션 자국이 그냥 다른 숙소 잡을까 고민하다 그냥 자긴 했는데 가져간 향초 아니었으면 못 버텼을 거예요,0
전주 마리 터미널점,5,2020-07,y,나쁘지 않았습니다 잘 쉬다 갑니다,1
전주 호텔아지트 신시가지점,5,2025-04,y,깨끗하고 좋아요,1
전주 전주한옥마을점,3,2025-05,y,수건이랑 이불이 전체적으로 오래된 거 같았어요 그 부분만 개선되면 괜찮은 숙소인 것 같습니다,0
전주 화이트호텔,1,2023-07,y,겉으로 봤을 때는 정리가 잘 되어있었고 깔끔한 것 같았습니다 피곤하고 몸이 좀 안 좋아서 빠른 입실을 하고 일찍 잠들었는데 자다가보니 몸이 좀 가려워서 일어나서 침구류를 이리저리 실 펴봤습니다 침구 및 주변에서 제 것이 아닌 머리카락이 여러 종류 발견되었고 매트리스 커버도 등과 엉덩이 위칭에 땀자국 같은 얼룩들이 잔뜩 있었습니다 입실한지 오래되었고 짐도 많았기에 방은 바꾸지 않았지만 자는 내내 덮는 이불 깔고 타월을 덮고 잤습니다 그나마 에어컨이 약한 바람에 춥지 않게 온도조절 적절히 하고 잤습니다 충전이 잘 안되고 다른 개인 충전기로 끄려고 했지만 전기가 약한지 그마저도 안되어 멀리 있는 드라이기 쪽 콘센트를 사용해야 했습니다 침구류의 위생이 정말 별로이고 안타깝습니다,0
전주 호텔 늘,2,2023-07,y,자주 가는데 오늘은 정말 실망이요 카펫에는 치킨 뼈랑 부스러기가 그대로 잇고 욕실에는 누가 쓴 건지 수건이 그대로 자주 가는데 그려려니햇지만 충격이 쉽게 안 없어지네요 신경 써야 할 거 같아요,0
전주 전주한옥마을점,2,2025-05,y,일단 뜨거운 물이 나오기까지 인고의 시간이,0
전주 호텔 늘,5,2023-07,y,아주 깔끔해서 자주 이용합니다,1
전주 화이트호텔,3,2023-07,y,화장실에서 담배 냄새 같은 불쾌한 냄새가 많이 납니다,0
전주 호텔 늘,0,2024-07,y,원래 좋은 글 남길 때만 리뷰 남기는데 귀찮아도 꼭 남겨야겠어요 템퍼 매트리스 확인 후 렌덤박예약청결도 별로이었지만 트윈방 배정에 사장님께 감사 인사도 드리고 이용 다음날 박 예약 방문 미니멀 디럭스 배정 담배 냄새 절고 벽지 똥 같은 얼룩 베개에 머리카락만 박수준의 방최악이였으나 어제 트윈 이용했고 템퍼 매트리스만 필요사항 알아서 그냥 이용하기로 했음 그러나 허리 작살나는 스프링 매트 사장님 응대 미니멀방은 템퍼 아님 여기 어때 잘못 표기됐고 다른 곳 이용하라며 예약 취소시켜버림이 동 귀찮아 금액 추가하고 이용하려고 했더니 여기는 손님이 없는 숙소가 아니며 스프링 매트 객실만 남았으니 다른 곳 이용하라 함어 플레 디럭스 이상 방 예약 가능확인 사장님 왈 주인이 손님 받기 싫으니까 다른 곳 가세요 가장 기분 따라 이용 여부 결정되는 곳 절대 이용하지 맙시다 객실 더럽고 냄새나면 친절하시던지요 모텔 주인 유세가 참 대단,0
전주 호텔아지트 서신롯데점,5,2025-06,y,위치도 괜찮고 전체적으로 좋은 숙소였습니다,1
전주 관광호텔,2,2025-04,y,호텔 들어가니 낡은 느낌은 있지만 깨끗하게 보여서 괜찮나 생각했는데 방에 가보니 실망스럽네요 낡기도 낡았고 천정은 습기 찬 흔적이 보이고 매트리스는 정말 오랜만에 보는 오래된 여관의 꺼진 매트리스네요 직원 마인드도 싼 곳이니 조금은 불편은 감수해라는 식이던데 돈에 비해서는 가성비가 아주 나쁜 것 곳이네요 내부 정비를 좀 하고 고객을 대하는 생각이 바뀌면 괜찮을 것 같으나 지금 같아서는 영 아닌 곳이네요 지금 생각으로는 여기는 앞으로 오지 않을 것 같네요,0
전주 윈져,5,2019-07,y,깔끔하고 대실 시간도 길고 좋아요,1
라한호텔 전주,2,2025-06,y,만 원을 지불하기엔 시설이 너무 노후화되어 있고 청결 상태도 별로이었습니다 추후 이용할 계획은 없습니다,0
전주 제이즈호텔,5,2017-07,y,전반적으로 굉장히 맘에 들었습니다 인기가 많은 곳인지 바 시쯤 가니까 이미 예약이 다 차서 손님을 안 받더라고요 사장님도 너무 친절하시고 차 안 들고 걸어서 여기까지 왔다고 일반 예약했는데 더블룸으로 주셨어요 더블룸이 생각보다 좀 작긴 했지만 깨끗하고 조용하고 따뜻한 물 잘 나오고 카운터에 팝콘도 맛있고 하루 잘 놀다 왔습니다,1
전주 제이즈호텔,5,2019-07,y,출장 때마다 믿고 예약하는 곳 경추 드립니다,1
전주 브라운도트 아중지구점,3,2024-07,y,전주 가면 매번 방문하는 숙소고 여기 오픈했을 때부터 수없이 방문했는데 어제는 진짜 최악이었네요 새벽 시부터 시반까지 복도에서 떠들고 방에서 떠들고 문도 쾅쾅 닫길래 참다 참다 프런트 전화해서 조용히 좀 부탁드린다 했더니 확인한다고 하시고 확인한 건지 안 한 건지 계속 떠들고 시끄럽게 하더군요 뭐 젊은이들이 노는 건 이해하겠는데 프런트 응대가 너무 안 일했던 부분 아닌가 너무 실망이네요 어차피 전라도 출장도 마지막이라 당분간 방문할 일은 없겠지만 다음 방문에는 이런 일이 없었으면 해요,0
전주 큐,5,2019-07,y,깨끗하고 좋았어요 인터넷 잘 안 된 것 만 빼면 가격 대비 정말 좋아요,1
전주 큐,5,2020-07,y,전주여행 가서 저녁으로 곱창 먹어서 옷에 냄새 배었었는데 스타일러가 있어서 다음날 입을 때 새 옷으로 입을 수 있어서 좋았습니다,1
전주 호텔아지트 신시가지점,5,2024-07,y,매번 전주에 올 때마다 들려서 숙박하는 곳입니다 신시가지 메인에 위치해있고 무엇보다 주차장이 너무 넓고 쾌적해서 차량 이용 시 너무 편합니다 다음 출장 때에도 들리겠습니다 감사합니다,1
전주 전주한옥마을점,2,2025-06,y,오래된 느낌이 있어요 인테리어 한 야자만 다녀봐서 그런지 두 번은 못 가요,0
전주 윈져,5,2019-07,y,가성비 좋아요,1
전주 아늑호텔,2,2024-07,y,잃어버린 물건 찾아보고 연락 주신다 했는데 연락도 안 해주셔서 다시 연락하니까 없다고 하시고 분명 침대 옆에 둔 게 생각이 나는데 없다고 하시네요 청소하신 이 가져가셨는지는 모르지만 다른 분들은 주의이세요 놓고 가면 다시 찾으실 수 없습니다,0
전주 테라호텔,2,2024-07,y,컴퓨터는 계속 모니터 신호 없음 뜨고 고쳐달라 해도 모른다 하고 그럼 컴퓨터 안에 그래픽 카드 선이나 램 접촉 불량 같아서 봐도 되냐고 하니까 안된다 하고 새벽에 남자 사장님은 진짜 말투 하나하나 퉁명스럽고 불친절하시네요 새벽에 잠 깨워서 미안해요 많이 주무셨으면 해요,0
전주 호텔 늘,3,2023-07,y,가격이 주변 모텔에 비해 저렴한 편 요청사항이 있을 때 사장님의 응대가 빨랐음 객실의 청결도가 괜찮았음 에어컨에서 물이 튐 에어컨에서 습한 냄새가 남 냄새에 예민한 편이라 힘들었음 수압이 약함 샤워기 변기 둘 다 해당 방음이 약함을 틀어뒀음에도 옆방 소리가 조금 들림,0
전주 화이트호텔,2,2025-07,y,욕실 문 안 열립니다 밖에서 꺼내줘야 됩니다 칫솔이라도 바꿔주세요 어휴,0
전주 아늑호텔,5,2024-07,y,매번 이용하지만 집처럼 넓고 아주 좋아요 티브이도 크고 공간도 크고 사장님 도착하시고 방도 깨끗하고 요샌 추워서 방에서 간식시키는 재미로 살아요 다른 데는 못 가겠어요 드라마 하나 집어서 보면 개꿀 잼,1
전주 호텔레이나구 전주 소풍,5,2024-07,y,룸 컨디션이 매우 좋습니다 방이 엄청 깔끔하고 청소도 잘되어 있네요 지하층에는 놀 거리도 많고 주차장 자리가 많아요 근처엔 식당이 많고 배달음식 시켜 먹을 곳도 많이 있네요 출장이 잦은 편이라 숙소 고민이 많았는데 강추 합니다 지하층엔 헬스장도 있어서 운동도 할 수 있습니다 침구류나 수건도 세탁이 잘되어 있어 냄새도 안 납니다 방음도 잘되어 있고 난방도 잘되어 있네요 추가로 장판도 있어서 매우 좋습니다 욕조도 있고 뜨거운 물도 잘 나옵니다 사잠님도 매우 친절 강추,1
전주 호텔아지트 서신롯데점,5,2025-05,y,잘 자고 나왔어요,1
전주 히든호텔,1,2024-07,y,에어컨도 안되고 티브이도 안되고 사전에 공지도 안 해주시며 냉장고에 물도 없네요,0
전주 프린스,2,2024-07,y,욕실 문 열고 닫을 때마다 끼익 끼익 소리 남 침대 이불보 걷어보니 청소가 덜 됐는지 여자 머리카락이 휙 보임 두 번 다시 가고 싶지 않음,0
전주 윈져,0,2018-07,y,와 다시는 안 가고 싶을 듯요 직원분들 인사 한마디도 없고요 객실 청결도 제로 침대는 자꾸 삐거덕거려서 신경 쓰이고 최악인 듯,0
전주 큐,5,2025-07,y,요즘 이 가격에 이런 깔끔한 곳이 있어 최고입니다,1
전주 호텔아지트 서신롯데점,5,2021-07,y,시설이 아주 깔끔해서 너무 좋습니다 매우 청결하고요 온수도 잘 나오고 수압도 좋아요 특히 보디워시 향이 좋아서 기분이 더 좋습니다 넷플릭스 돼서 너무 좋고 컴퓨터 있어서 더욱 만족,1
전주 윈져,5,2018-07,y,좋았습디 담에 또 올게요,1
전주 마리 덕진공원점,5,2024-07,y,좋아요 좋아요 좋아요 좋,1
전주 전주한옥마을점,0,2024-07,y,화장실이 개방형이고 야식 드실 거라면 비추천 변기와 같이 야식 괜찮으면 추천 문 닫아도 복도 소음 다 들립니다 수건 얇은 수건 장 있습니다 보면 놀랍습니다 카운터로 수건 가지러 갈 때 가운도 가지러 가시고 제발 카운터에서 열어보세요 객실 올라가서 열어보면 빨래 덜 마른 냄새에 연타 옵니다 샤워하시면 족욕 물에서 샤워하는 것처럼 샤워하실 수 있습니다 굉장히 하수구 물이 안 빠져요 굉장한 데스크 직원의 뻔뻔함 늦은 입실 잡고 입실했습니다 화장실 개방형 가운 가지러 가면서 방 바꿔줄 수 없냐니까 빈방 없다고 함 넷플릭스 보려다가 안되어서 전 카운터 직원이랑 전화하면서 문자로 사진 보내고 했는데도 안되니까 갑자기 방 옮겨준다 함 야식 삼거 다시 다 포장 방 옮기면서 분 동안 야식 다 식어버리고 연타 옴 전주 여행 평생 안감,0
솔 호텔,3,2025-05,y,신규 건물은 아닙니다 모텔 시설을 리모델링 한 숙소입니다 사진과 좀 다릅니다 기대를 하고 가기에는 실망할 수 있습니다 호텔이라는 이름 변경으로 숙박비만 올려진 느낌입니다 업체에 피해를 주려는 건 아닙니다 너무 기대를 하고 가는 고객들에게 선택을 할 수 있도록 최소한의 의견을 남겨봅니다,0
솔 호텔,5,2025-06,y,깔끔하고 편안했습니다 어메니티는 칫솔치약 샴푸 컨디셔너 보디워시 비누 차 커피 정도 잘 갖추어져있었어요 드라이기 티포트 충전기핀 타입같이 있는 거 미니 냉장고 냉동기능 등도 잘 관리되어 있었습니다 물과 수건은 인당 개씩 비치되어 있었습니다 수건은 종이 띠지로 감싸져있어서 혹시 사용됐던 거이려나 하는 걱정 없이 믿고 쓸 수 있게 되어있었습니다 프런트 직원분들도 매우 친절하셨습니다 층에 커피 머신도 있고 제빙기가 있어서 아침에 나갈 때 아이스 아메리카노 한잔 타서 나가면 시원하니 좋을 것 같아요 믹스커피랑 차도 있었어요,1
전주 호텔 늘,5,2018-07,y,번째 방문인데 방 들어서자마자 너무 따뜻했고요 침구도 좋고 바디우 시드 향도 좋고 사장님도 친절하세요,1
전주 라베 호텔,5,2024-07,y,이 금액에 이 정도 시설이면 이건 무조건 에이스 일단 금연 시설이라 특유의 숙박시설 냄새가 전혀 없었고 내겐 가장 우선 조건인 침구류 완벽한 호텔식 침구류와 엄청 포근하게 받쳐주는 침대는 만족도 업 전체적으로 적당한 사이즈와 스타일러에 공기청정기 보통 욕실 수전들의 상태도 좋지 어딘가 뮤제들이 많은 편이지만 완벽했고 수압 또한 굿굿 확실히 호텔 느낌을 느낄 수 있는 완벽한 시설 별점 개 주고 싶을 정도 완전 강추,1
전주 브라이튼 호텔,3,2024-07,y,아마도 욕실 환풍기 돌아가는 소리인듯한데 다른 방의 소리가 지속적으로 신경이 쓰일 정도로 들려서 좀 불편했습니다 특히 잘 때 잘 쉬다 갑니다,0
전주 제이즈호텔,5,2024-07,y,너무 좋았습니다 온수도 잘 나오고 모든 시설들이 다 기준 이상이라 맘에 들었어요 근처에 공용주차장도 있고 사장님도 친절하셔서 굳굳굳 그리고 티브이도 최신형으로 최신화되어 있고 넷플도 나오고 고데기도 비치되어 있어서 그냥 몸만 갔는데도 너무 편했습니다 이 정도 가격에 이 정도 가성비면 전주 넘버원이고 다음에 또 방문할 예정이에요 다음번엔 대실 말고 숙박할 생각입니다 그리고 무엇보다도 공용주차장은 정말 좋은 장점인 것 같습니다 방문하실 분들은 참고해 주세요,1
베스트웨스턴 플러스 전주 호텔,1,2023-07,y,사진과 달리 비좁고 히터가 침대를 향하고 있어서 건조하고 답답했어요 직원들 대응도 미흡했어요,0
전주 시그니처 호텔,5,2024-07,y,항상 잘 묵고 있습니다 친절하시고 깨끗해요 다만 미용티슈 정도는 객실에 있으면 좋겠어요,1
전주 마리 터미널점,5,2023-07,y,요즘 자주 이용하고 있는 곳 중 하나입니다 만족스러워서 자주 다니는데 근데 저녁에 밥을 시켜 먹는데 테이블이 생각보다 낮아서 불편하네요 그것 빼고는 비품도 잘돼있고 이 정도며 청결한 편이어서 잘 이용하고 있습니다,1
전주 관광호텔,3,2023-07,y,처음 입구 들어 갈때는 괜찮았어요 뭔가 많이 꾸며 놓고 해서 관리를 질하고 있는 곳인줄 알았죠 그런데 방에 들어가서 창문 위 에 곰팡이가 잔뜩있었어요 그리고 천정 곳곳에도 곰팡이가 그때까지만 해도 그래 뭐 곰팡이 오래된 건물에 외벽공사가 잘 안되서 곰팡이가 있나보다 그래도 좀 닦아두지 코가 시큰거리것 같았지만 안보면 그만 이지 했어요 그리고 핸드폰 충전 하려고 봤더니 헐 충전기는 있는데 이게 코드가 없네 여기 투숙객이 이래놨나그래도 여기 청소하면서 이걸 못봤나 에이 몰랐나 보지 하고 그냥 피곤도 하고 해서 그냥 잤습니다 그리고 다음날 아침에 일어나서 씻으려고 했는데 물이따뜻한 물이 너무너무 오래 기다렸어요 너무 너무 오래 있다가 물이 따뜻해 지더라구요 샴프하고 린스하려고 봤더니 린스도 없네요 그래도 좀 나오려나하고 계속 눌러봤는데 안나오더라구요 그래서 그때 부터는 짜증이 나기 시작했습니다 이런건 청소 할때 보충 해 놓을수 있는거 아닌가요 이정도 쯤 되면 관리 안하는 곳이라고 생각 됩니다 방은 윗풍이 있어서 춥고 침대 속에서도 춥고 밤새 춥게 잤는데 아침에 일어나서 따뜻한 물도 잘 안나오고 린스도 없어그래서 나갈때 직원한테 꼭 말해야 겠다 싶었는데 프런트에 직원도 없고 제가 왠만하면 불만이 있어도 리뷰같은거 잘 올리지 않는데 이곳은 좀 관리가 필요한것 같아서 올립니다,0
전주 호텔루고,5,2025-05,y,새로 생긴 만큼 너무너무 깔끔하고 좋아요,1
전주 호텔 늘,5,2019-07,y,항상 청결하고 친절해서 자주 찾게 되네요,1
전주 전주한옥마을점,5,2024-07,y,들어가는 시설부터 깨끗하고 청결해서 마음이 편안하였고 시설도 깔끔하고 숙박비도 저렴해서 자주 애용합니다 편안하게 머물다가 가기 좋은 곳 같아요 재이용하기 좋은 곳 같아요,1
전주 관광호텔,1,2021-07,y,매일 모기 두 마리씩 잡은 문도 안 열었는데 어디서 들온 건지,0
전주 화이트호텔,5,2023-07,y,매번 걱정 없이 찾는 숙소입니다 딱 한 가지 아쉬운 게 있다면 비데 커버가 변기와 크기가 달라서 비데 커버 안쪽으로 변기가 있어요 방 컨디션 굿 담배 냄새 안 남 친절도 굿 주차공간 굿,1
전주 전주한옥마을점,2,2025-06,y,스타일러에 누가 입었던 옷 그대로 있었고 샤워기 걸 수 있는 게 망가져있고 화장실이 개방형이라 너무 별로였어요,0
전주 관광호텔,5,2022-07,y,자주 이용하는데 후기는 처음 남기네요 주차장 앞뒤로 있어서 이용이 편리하고 번화가 한가운데 위치해 있고 한옥마을 객리 단결하고 가까워요 가격 대비 정말 괜찮습니다 잠만 자고 나오는데 몇십만 원 쓰는 건 너무 아깝더라고요 사장님 힘내세요,1
전주 호텔레이나구 전주 소풍,3,2024-07,y,금연 객실에서는 금연을 실천하자고요 비흡연자는 매우 힘들어요 사장님도 얼마나 힘드시겠어요 방에 들어가서 잡지도 못하고 금연 실천,0
전주 아늑호텔,5,2024-07,y,처음 들어오자마자 방이 너무 예뻐서 감탄했어요 화장실 인테리어도 너무 이쁜 것 같아요 저흰 극장방이었는데 빔 스크린 정말 최고였습니다 넷플릭스 유튜브 디즈니 등등 큰 화면으로 보는데 진짜 티브이랑 다른 느낌 너무 신기했어요 유튜브도 계속 시청했는데 화질이 너무너무 좋아서 눈이 행복했습니다 좌석도 리클라이너였는데 엄청 편했고 누울 수도 있어서 좋았어요 극장방 너무 추천합니다 그리고 침대도 너무 푹신해서 잠도 잘 왔어요 침구류도 깨끗해서 좋았고요 무엇보다 프런트 직원분이 정말 친절하십니다 참 감사했습니다 서쪽 오면 여기만 이용할 것 같아요 좋은 방과 서비스 감사합니다 또 오겠습니다,1
전주 스마일,3,2018-07,y,숙박이 아닌 대실이었고 인이라고 더 서비스 받거나 추가된 것도 없으며 예약 화면에도 전혀 공지되어 있지 않음에도 불구하고 예약하실 때 낸 금액은 이 기준이라며 만 원을 더 내라고 하더군요 날도 춥고 따지기 싫어서 그냥 내고 들어갔습니다 그리고 공지되어 있기는 분명 시간대실인데 시간 반 후에 나오라고 하더군요 이건 무슨 경우인지 굉장히 불쾌했습니다 안마의자와 스타일러 때문에 예약하고 온 거여서 시설은 만족했습니다만 이건 아니라고 봅니다,0
전주 이둔호텔,5,2025-05,y,시설 좋고 주변에 먹거리 식당이 많아서 좋습니다 잘 쉬다 갑니다 적극 추천합니다,1
전주 호텔레이나구 전주 소풍,5,2024-07,y,새로 리모델링해서 그런지 시설이 아주 깔끔합니다 비품들도 신경 써서 구비해 놓으신 거 같아요 주차장도 호텔 건물 외에도 바로 옆에 크게 있어서 주차 걱정도 없을 거 같아요 직원분들도 친절하시고 만족스러운 호텔입니다,1
전주 호텔 늘,3,2024-07,y,너무 늦은 시간에 들어가서 확인도 제대로 못한 제 탓이겠지만 저는 숙소를 고를 때 무조건 안마의자가 있는 곳을 고르는데요 이번에 긴 늘 모텔은 안마의자도 고장 나있고 남은 시간 쓰여있는 곳에이라 에러코드가 나오네요 화장실에는 쓰다만 비누가 샤워기 옆에 고대로 방치되어 있었네요 너무너무너무 아쉬운 날이었습니다 화장실 문은 자꾸 혼자 열리고,0
전주 관광호텔,0,2025-06,y,할인이 많아 예약하였으나 최악의 숙소였음 돈값 하네요 춥고 변기는 막히고 수압 약하고 더 이상 평 안 하겠음,0
전주 큐,3,2025-05,y,객실 내 날파리들이 있어서 깜짝 놀랐네요 그 외엔 나쁘지 않았습니다,0
전주 제이즈호텔,5,2017-07,y,전주 한옥마을 놀러 갔다가 데이즈 호텔에서 머물다 왔습니다 일단 사장님이 정말 친절하시고요 셀프 바가 있는데 팝콘 과자 차 토스트 커피 등등 공짜로 이용할 수 있어서 기분이 너무 좋았고요 객실이 진짜 넓고 깨끗하고 너무너무너무 좋아요 가격 대비 이만한 곳이 있을까 생각이 드네요 정말 강추합니다,1
전주 테라호텔,5,2024-07,y,준비 없이 와서 드라이기를 안 챙겨 와 머리카락 다 못 말리고 귀가했지만 잘 쉬다 갑니다,1
전주 이둔호텔,0,2022-07,y,물도 먹던 물 냉장고에 넣어주고 샤워기는 다 터져서 하 호텔 맞나 싶네요,0
전주 호텔아지트 서신롯데점,5,2025-05,y,아늑하고 정말 깔끔해요 고데기 충전기까지 있고 보디워시 샴푸 향기가 너무 좋아요 사장님도 친절하시고 아늑한 곳에서 맘 편하게 잘 쉬다 갑니다,1
전주 호텔아이,5,2025-05,y,주차장도 널찍하고 아주 좋습니다,1
베스트웨스턴 플러스 전주 호텔,3,2025-05,y,결론 가성비나 서비스 시설 이용도 모두 애매 화장실까지 포함하여 패밀리 객실인데도 서울보다 좁음 인포데스크 카운터 직원들이 교대된 인원까지 다 봤는데 친절한 사람이 명도 없음 엘리베이터 대 밖에 없어 가뜩이나 전체 수용하기 느린데 대는 늦은 시간까지 점검해서 불편했음 객실 카드 키가 갑자기 먹통 돼서 귀찮은 일 있었음 침대나 수건 등 전반적으로 청결함 주변에 맛집이나 산책 쇼핑할 공간들이 있음 바로 앞에 편의점 있음 서비스로 주는 커피는 맛있었음 지리적으로는 호텔이 여러모로 괜찮은데 이번 이용 경험을 보면 그 옆에 있는 글로스터를 갈 정도로 만족도가 떨어짐,0
전주 마리 터미널점,5,2022-07,y,친절하시고 깔끔하고 시설도 좋아요,1
전주 호텔아지트 서신롯데점,5,2025-05,y,전주에서 모텔 호텔 중에 롯데백화점 근처에 있는 숙소들이 가장 깔끔한 편인 거 같아요 편안하고 조용합니다,1
전주 이둔호텔,3,2023-07,y,별로예요 생각보다 허접해요,0
전주 큐,1,2018-07,y,다른 때는 괜찮았던 거 같은데 청결문제가 좀 침대에 누워있을 때도 엄청 찝찝했어요 청소를 안 하신 건지 첨에 들어갔을 때 머리카락도 있고 이불도 더럽고 많이 찝찝했네요 어휴,0
전주 관광호텔,3,2018-07,y,서비스가 너무 짜네요,0
전주 아늑호텔,5,2024-07,y,오늘은 오랜만에 대실을 이용했는데 스탠더드룸으로 주셨어요 스탠더드룸에는 스타일러가 있어서 좋았어요 아늑 호텔은 먼지를 찾아볼 수 없을 정도로 청결하고 부담 없는 인테리어 덕분에 항상 이용하게 되는 것 같아요 이번에는 급하게 한 시간 전에 예약했는데 다섯 시간으로 이용 시간도 넉넉해서 만족스러워요 비누도 일회용에서 펌프식으로 변경되었더라고요 환경적인 부분도 신경 써주시고 피드백을 바로 반영해 주시는 점도 마음에 들어요 그리고 프런트에 가까운 음식점이 모여있는 먹자골목 지도도 붙여놓은 게 편하고 좋은 것 같아요,1
전주 관광호텔,0,2023-07,y,리얼 후기입니다 객실 쓰레기 안 치워져 있고 침대커버 얼룩도 있고 핏자국도 있고 들어가자마자 벌레도 나오고 핸드폰 충전기는 다 고장 나있고 잠만 자러 갈 거면 그냥 싼 곳이세요 전주 처음 왔지만 관광지라 그런지 위생청결 다 불만족이네요,0
전주 마리 터미널점,5,2025-04,y,출장 시 들린 곳인데 숙소꺌끔하고좋네요,1
전주 라베 호텔,5,2025-04,y,전주에 출장 와서 여기 어때 앱을 통해 예약하였습니다 출장 중 일째 이용 중입니다 전주 라베 호텔 티맵 검색하면 라베 호텔로 나옵니다 신주소는 전북특별자치도 전주시 완산구 한두 평 길입니다 층에 주차장이 준비되어 있습니다 야외가 아니라서 더운 여름 그리고 비가 내려도 주차 후 개인 소지품을 챙겨 입실하기에 편리해요 널찍한 방 크기에 냉장고에는 생수가 들어 있고 스타일러가 있어서 요즘같이 더운 날 옷을 쾌적하게 할 수 있어서 좋아요 층에 생수 냉장고와 간편 조식이 있어서 이용하면 좋아요 다음에 출장을 온다면 또 방문할게요 감사합니다,1
전주 비지트 호텔,5,2024-07,y,안중리 비지트 호텔 깨끗하고 조용합니다 객실 분위기도 럭셔리하게 잘 해 놓으셨고 주차도 편하게 하고 쉴 수 있었습니다 객실 욕실 청소 상태 청결했고 물도 잘 나와요 드라이기 고데기 준비되어 있고 에어컨도 시원합니다 넷플릭스 시청 가능합니다 편히 쉬다 갑니다,1
전주 화이트호텔,5,2023-07,y,전주에 가면 들리는 숙소입니다 아침에 라면을 끓여서 주는 곳인데 진짜 맛있게 먹게 됩니다 계란 탁 파 송송 자는 곳도 편하게 잘 수 있습니다 방도 깨끗한 곳입니다,1
전주 마리 덕진공원점,3,2019-07,y,이쁘고 방음이 안돼서 옆방에서 누가 우는소리 들렸어요 많이 슬프셨나 봐요,0
