name,nickname,text,rating,label
전주 중화산동 투썸스테이,동글동**********,스타일러 고장으로 사용하지 못한게 아쉽네요 방을 바꿔달라 하려다 번거로울 것 같아 그냥 지냈습니다 체크해서 방 배정을 해주시면 좋을 것 같습니다,4,0
전주 우아동 호텔 야,ddd*****,원래 후기 같은거 안 쓰는데 오래된 거 뭐 다 괜찮습니다만 방음이 1도 안 됩니다 바로 옆에 노래홀이 있어서 그런지 밤새 쿵짝쿵짝 소음에 린낸실 옆이라 그런지 어쩐지 아침일찍부터 쿵쾅쿵쾅 발자국 소리에 문 여닫을 때마다 문소리 쾅쾅에 잠을 잘 수가 없었네요,1,0
전주 금암동 윈져,하니좋니0***,넷플릭스도 있고 깔끔하고 좋아요,5,1
전주 산정동 넘버25 전주산정점,osk28**,편하게 영화보면서 휴식하다 갑니당,5,1
전주 금암동 칼튼힐호텔,파란매********,만족했어요 침구류도 그렇고 이뻤어요,5,1
전주 덕진동 핀앤핏하우스,REH**,전기장판 고장났어요잘 때 춥더라구요 빌려주시는 고데기는 너무 작아서 쓰기 불편해요,3,0
전주 우아동 한옥 HOTEL,마미맘***,시설 최고 위치 최고 가격 최고 이가격에 이위치 이컨디션 가성비 짱짱 숙소입니다,5,1
전주 우아동 호텔 젠,시기식*,침구류에 벌레가 있는거 같아요 한 세방 물린듯 샤워기도 걸데가 없어요,4,0
전주 중화산동 호텔 인트로(HOTEL INTRO),반짝반*******,아방음이 진짜심각하네요 다좋은데,2,0
전주 덕진동 호텔 마리(덕진공원점),푸릇푸********,저앗다저아,5,1
전주 서신동 투썸스테이,3대5****,가격도 저렴하고 룸 컨디션도 되게 좋아서 재방문 하고싶습니다,4,1
전주 우아동 호텔 라임(HOTEL LIME),프랑크푸르******,숙소는 깨끗하고 고데기와 드라이기도있고 조식도있어서 좋았어요토스트가 맛나다는 리뷰가많아서 기대했었는데 길거리토스트처럼 달달한맛이없어서 좀 아쉽네요잠잘때 소음은없었고 오전에 다른방소음은 들려요,4,1
전주 금암동 토마토,잘자고***,자주 이용하는곳인데 컴퓨터는 있어도 작동이 안됨,5,0
전주 금암동 호텔 마리(터미널점),야좀만***,처음 배정받은 곳이 담배냄새가 심해서 방을 옮겼어요 옮긴 방은 쾌적하고 좋았어요 잘 이용하고 갑니다,4,1
전주 우아동 Hotel The VIZIT,fox*****,사진은 못찍었네요 근데 여태 가봤던 곳중에 최고였던거 같습니다 가격도 착하고 깨끗하고 인테리어도 예쁘고 그중 최고는 침대 쿠션감이 정말 좋았습니다 상표찍어왔네요 다음에 전주가게 되면 꼭 다시 이곳으로 예약하자고 신랑과 약속했네요,4,1
전주 신시가지 데이나이스,퐁당퐁*********,신시가지 근처에 저렴하게 지내기에 좋아요,4,1
전주 우아동 이츠 호텔,dkd******,외관에 비해서 안에는 깔끔했어요 근데 샤워타월이나 수건등 비품이 청결하지못했어요,3,0
전주 금암동 블루원,shj****,이모가 너무 친절하네요,4,1
전주 금암동 호텔 바라한(HOTEL BARAHAN),산그늘*******,너무 좋았어요 다만 아쉬운 점은 침대 전기 매트가 고장나서 부모님방이 추웠어요 다시 또 나중에 재방문할게요,5,0
전주 우아동 호텔 캐슬,아라떠***,진짜 자주 이용하는곳인데 점점 당골이 되어갈수록 변함 말도 바꾸고,3,0
전주 신시가지 호텔 아지트,최명후****,무인체크인도 좋고 시설도 좋았습니다 칫솔모가 빠져서 이빨에 다 끼긴 했는데 불량이였나 봐요,5,1
전주 금암동 호텔 바라한(HOTEL BARAHAN),방랑자******,최고의호텔 잘이용했습니다 다만 리모델링후 갈때마다 같은방을 주셔서 다른방도 이용해보고싶어요,5,1
전주 고사동 YAJA 전주한옥마을점,재밌게**,시내 안에 있어서 완전 좋았어요 근데 티비가 고장났는지 안나오더라구요 이 점만 빼면 완전 만족입니당,5,1
전주 중화산동 투썸호텔,독도여행책**,모두모두 좋았어요,5,1
전주 중화산동 브라운도트 전주중화산점,doodo*******,충전소도 잇어서 좋아요,5,1
전주 우아동 이츠 호텔,ss사**,와이프랑 전주 야시장 구경하기위해 미리 예약하고 11시쯤 방문함생각보단 별로네요,2,0
전주 우아동 호텔 자우리,리지니**,전주 갈 때마다 이용하는 숙소입니다 갈 때마다 비피더스도 꼭 챙겨주시고 무엇보다 숙소가 깔끔해서 너무 좋아요 또 이용할게요,5,1
전주 중화산동 호텔 인트로(HOTEL INTRO),키힝*,겉에는 깔끔 속은 음,3,0
전주 덕진동 호텔 스마일(HOTEL SMILE),완이*,창소해야한다면서 내돈주고 이용시간도 충분히 즐기지 못하고 쫓겨났네요 다신않가요,3,0
전주 금암동 브라운도트 전주터미널점,너의기억놀*******,깨끗하고 편히 쉬었습니다,5,1
전주 우아동 호텔 캐슬,새록새*******,넓은 방 주셔서 감사합니다 전주 놀러와서 잘 쉬었습니다,5,1
완주 칸 드라이브인 무인텔(KAN),데릭지*,바람이 많이 부니 주차장 칸막이 부딪치는 소리가 너무 컸습니다 나머지는 만족스럽네요,4,0
전주 중화산동 투썸호텔,김성*,사장님이 친절하시고 인테리어등 분위기가좋네요 카운터이모도친절하시고,5,1
전주 고사동 YAJA 전주한옥마을점,하이하*****,새벽에 계속 옆방에서 물소리가 들려서 잠을 설쳤어요 방음이 잘 안되는 거 같아요,2,0
전주 신시가지 호텔 아지트,얼음꽃너라*****,직원은 매우불친절 방 상태도 엉망 다시는 방문하고 싶지 않습니다 전주여행 엉망이 되버렸네요,1,0
전주 덕진동 호텔 쏘울(Hotel Soul),강아지********,안녕하십니까 지인추천으로 1박 했습니다 매우 좋았습니다 사장님 사모님 친절합니당,5,1
전주 신시가지 씨투,김부*,최악의 모텔 절대 가지마세요 주인분 친절하셨는데 클럽때문에 시끄러운데 괜찮냐 시간있으면 가봐라 하셨을때 시끄러우면 얼마나 시끄럽겠어라고 생각했습니다 근데 5층 방이여도 클럽노래가 방 안에서 튼 것 처럼 엄청 크게 들리더라구요 너무 시끄러워서 집에 가서 잘까 생각도 했고 아예 티비를 키고 자려고도 했습니다 너무 시끄러워서 차에서 귀마개랑 안대 가져와서 어거지로 잤네요 근데 이정도면 숙박 영업을 안하셔야 하는거 아닌가요 아예 잠을 잘 수 없을정도에요 거의 밤 샜어요 주인분이 친절한 이유를 알 것 같았어요 숙박하려면 여긴 안가시는걸 추천합니다 아니 그냥 가지마세요,2,0
전주 산정동 짬,바스락**********,하룻밤 잘 묵고 갑니다,5,1
전주 금암동 YAJA 전주터미널점,팔딱팔*******,침구에 냄새가 났어요 그외 시설은 넘 좋았고 조식이 잘되어 있어요,3,0
전주 우아동 호텔 자우리,콜록콜******,방금 청소했다고 하셨는데 시간이 지나도 바닥이 끈적거렸어요 비품도 바디워시랑은 일회용인데 비누는 공용이더라구요 침대 헤드쪽에 오염된 부분도 있었고 특가할인으로 예약하면 넷플릭스 안되는 방이 배정되나봐요 후기들도 거의 그러하네요,3,0
전주 고사동 YAJA 전주한옥마을점,kkk**,객사랑 위치도 가까워서 좋아요,5,1
전주 우아동 이츠 호텔,어브*,마이룸 쿠폰으로 저렴하게 이용하고 갑니다 근데 화장실 세면대에 먼지가,4,0
전주 중화산동 호텔 시그니처 (Signature),뉴헤달*****,연박하기 너무 좋아요,5,1
전주 한옥호텔 궁,웃음장********,한옥호텔 기대했는데 일반 모텔이랑 큰차이는 엄네요,3,0
전주 한옥마을 늘품호텔,골목길********,너무 친절하시고 전주한옥마을 접근성도 좋고 조식까지 나와서 정말 좋았습니다,5,1
전주 산정동 호텔 메이드(HOTEL MADE),아기악**,오늘인가 어제인가 급하게 예약다시했는데 드디어 내일이면 정들었던 501호 한실 이 곳 생활도 안녕이네요 리뷰들보면 무료숙박권 받는분들있으시던데 저도 그런 이벤트가 나중에 있다면 당첨되고 싶어요 어쨌든 2주동안 감사했습니다,5,1
전주 우아동 이츠 호텔,재구*,너무 좋고 서비스도 좋아요,5,1
전주 금암동 블루원,634*,사장님 친절하고 전기장판도 있어서 엄청 따뜻하게 잘 쉬다 갔어요,5,1
전주 우아동 브라운도트 전주아중지구점,로마의휴일**,바디와셔 눌러도 찔끔 찔끔 없어요 그외엔 종업원 친절하고 청소 깨끗하고 조용하고,4,0
전주 덕진동 브라운도트 전주덕진점,jin****,이번객실에서는 침구에서 냄새가 나서 불편했어요,4,0
전주 산정동 코자자,냐옹냐*******,가격도 저렴해서 자주 가요,1,1
전주 산정동 호텔 감스테이,치킨친*,다음에 전주를 다시 오게 된다면 또 이용할 것 같아요,5,1
전주 중화산동 스타 호텔(star hotel),가랑비개쩔****,저는 좀 추웠습니다 온도조절 요청드렸는데 안올라가는지 추웠습니다,4,0
전주 산정동 칸,귀여운*******,후기가 너무 좋아서 갔는데 생각보다 별로였어요 담배냄새 때문에 갑갑하고 침대도 그렇고 전체적으로 꿉꿉해요 세면대는 물 세서 발 다 젖고 의자 하나는 겉면이 찢어져 있고 위치가 좀 답답하고 노란색 인테리어가 뜬금없는 느낌 직원분들은 친절하세요,3,0
전주 금암동 블루원,zns***,항상 편하게쉬고갑니다,5,1
전주 우아동 호텔 젠,애기엄*,비가와서 테라스를 묘미를 즐기지못한게 아쉬웠어요 아이들과 잠잘자고 잘놀다가요 월풀욕조에 월풀은 안되드라고요 그것도 아쉬웠어요,5,0
전주 금암동 YAJA 전주터미널점,노을향기춤******,깨끗하고 사장님 친절해서 좋아요 자주 이용할게요,5,1
전주 산정동 호텔토랑,놀아본*******,헤드셋이 없어서 아쉬웟습니다,5,0
전주 금암동 칼튼힐호텔,설레는***,너무 깔끔하고 사장님도 친절하셔서 여긴 여행오면 재방문의사 있습니다,5,1
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),세네갈****,저번에 좋아서 다시 방문했는데 방에서 담배냄새가 나고 책상도 이미지랑 달라서 불편했어요 그래도 전에 머물렀던 기억이 좋아서 리뷰남깁니다,3,0
전주 산정동 코자자,블링블***,담배 냄새가 많이 나 힘들었어요 사장님 환기 좀 부탁 드려요,4,0
전주 시그니처 호텔,충주의기쁨**,진짜 전주는 무조건 여기,5,1
전주 산정동 제이즈 호텔,대*,음 좋은곳으로 옮겨주시고 너무 친절해서 좋았는데요 방에 이불 만질때마다 먼지가 풀풀나고 아침에 보니까 검정바지에 먼지 한가득이네요,4,0
전주 산정동 아리아,야놀쟈***,너무나 단골인데 퇴실시간이 짧아졌네요 좀 아쉽습니당,5,0
전주 마리호텔 터미널점,정득*,잘 놀다왔습니다,5,1
전주 송천동 호텔 더 그레이(THE GRAY),teill**,불친절합니다,1,0
전주 우아동 호텔 젠,asd**********,원래 항상 청결하던 젠이었는데 오늘은 방 위생상태가 좀 좋지 않았었던,3,0
전주 한옥호텔 궁,요정너******,방도 업글해주시고 넓고 이동하기 너무좋은 위치입니다 전주오면 이곳만이용하려구용굿굿굿,5,1
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),원효로달리***,비품이 사용된 게 있어요,3,0
전주 중화산동 투썸스테이,아가아**,좋아옹,5,1
전주 우아동 소울,몰랑몰*********,자주 왔던 곳 다음에 또 올게요,5,1
전주 산정동 제이즈 호텔,분홍분**********,깔끔하고 좋은데 문이 뒤틀렸는지 잘 안열리고 열고 닫을때마다 소음이 수리 해야 할 것 같네요,5,0
전주 한옥마을 늘품호텔,여유로*******,오픈한지 얼마 안돼서 시설이 너무 깨끗하고 깔끔합니다 직원분들도 친절하세요,5,1
전주 금암동 칼튼힐호텔,가랑비*******,전체적으로 객실 세련되있고 갖춰질거 다 되어 있습니다 너무 좋았던 와중에 더워서 에어컨 틀려고 켰는데 에어컨 속안과 날개 겉면까지 곰팡이껴서 시커멓더군요 손한번도 안보신게 티가나는게 물티슈로 슥 밀어봤는데 굳어서 안닦입니다 빡빡밀어도 안되요 그래도 더우니까 켜놨는데 썩은 곰팡이 냄새가 나면서 시원해지는데 참고 마스크 쓰고 잤습니다,4,0
전주 덕진동 호텔 워너비(HOTEL WANNABE),놀멍시*,가격대비 좋았는데 욕조 청소 실내 담배냄새 많이 난게 아쉬움,4,0
전주 산정동 제이즈 호텔,mol**,깔끔한 분위기는 좋아요 불이 안켜지는게 많았고 욕조에 머리카락 찝찝했네요,3,0
전주 덕진동 브라운도트 전주덕진점,자몽에*****,항상 만독하고 묵어요,5,1
전주 금암동 호텔 화이트(HOTEL WHITE),책향기축하******,아침라면도 직접 끊여주시고 출장가시는분 적극추천,5,1
전주 우아동 호텔단아,jwo****,조아요 연박 아주 편히 쉬었습니다,5,1
전주 우아동 센트,짤랑짤*******,있는 그대로 리뷰 남깁니다 전주역에서 가깝더라구요 남자사장님이 키주셨고 운동하다가 모자쓰고 꾀죄죄하고 가서인지 사장님이 친절한것두 잘 모르겠고 마이룸 당첨 객실이여서 그런지 몰라도 냉장고에 생수두병 달랑 있었고 생수도 마개따는곳이 재활용이 아닌지 좀 그랬는데 이빨닦고 손씻고 커피타마시는데만사용 했고 또 불편한게 컴퓨터가 없었다는 와이파이도 연결이 되었다가 안되었다가 열통 터지는줄 알았네요 개선하셔야 할거같네요 청결도는 옛날건물치곤 깔끔한편이고 수압도 좋고 기본적인 건 완벽 그냥 여행오셔서 피곤하신분들 즉 씻고 잠만자고 가실분들에게 해당되는 모텔입니다,2,0
전주 산정동 제이즈 호텔,소곤소********,사진과 너무 다릅니다 깔끔한 신축인줄 알았는데 옛날 여관 생각나네요 사진좀 바꾸세요 실물본으로,1,0
전주 덕진동 MOMENT 708,iui****,그저그랫음,3,0
전주 엔브릿지호텔,광*,깨끗하고 객실 상태가 매우 좋았어요,5,1
전주 태평동 케이비호텔,로마전시회**,청결상태가 너무 안좋아요 베개 밑에도 이불 위에도 벌레 시체 있었고요 욕실에도 벌레시체랑 머리카락 잔뜩 있었고 욕조 물도 막혀서 잘 안내려가요 그리고 일회용품도 적고 최소한만 있었고 가운같은 것도 없어서 아쉬웠습니다 청결 상태가 너무 실망스러웠습니다,2,0
전주 우아동 한옥 HOTEL,체리쥬**,왠만해선 후기 안남기는데 여기는 사장님인지 직원인지 상당히 전투적이네요 충전기 달라는것도 뭐가 기분 나쁜지 툭 던지고 다신 오고 싶지 않네요,1,0
전주 산정동 제이즈 호텔,반짝반*******,대체로 만족했습니다 영화가 보고 싶어 컴퓨터를 켰는데 다른건 소리가 나도 영화 프로그램은 소리가 안나네요,4,0
전주 산정동 달빛소리,떠돌이독서*,아주 깨끗하고 따뜻해요 무인텔이라 주차도 편하고 주변에 식당도 카페도 많아요,5,1
전주 중화산동 브라운도트 전주중화산점,옹기종*********,물 수압이 너무 약해서 조금 아쉽네요,4,0
전주 정가한옥스테이,과테말*******,옥상 쥑이네예 숙소 너무 깔끔하고 아주 잘 놀다 갑니다,5,1
전주 금암동 호텔 마리(터미널점),범*,마리는 항상 깔끔하고 좋아요,5,1
전주 고사동 전주관광호텔,광이다*,언제가도 기분좋고 접근성좋고 시설깨끗하고 편안하게 지낼수있는곳입니다,5,1
전주 금암동 비지니스 호텔 궁,애월리***,화장실 변기 수압이 약한지 큰일을 보기가 어려워요 잘 안내려가더라고요,5,0
전주 금암동 비스트,흑인*,무지조아요 프론트 계신 분들 너무 친절하시구 특히 고양이가 아주 친절하니 귀여워요,5,1
전주 우아동 센트,반짝반*******,역시 야놀자캐어 받는 곳은 믿고 숙박할 수 있네요 모든게 다 완벽했고 잘 쉬다 갑니다,5,1
전주 산정동 호텔 감스테이,미친까불*,좋아요 방도 엄청 커요,5,1
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),아리사8*,501호에서 숙박했습니다 침구류와 수건은 깨끗했구요 침구류가 푹신하고 촉감이 너무 좋았어요 방도 넓고 에어컨도 깨끗하고 잘 나왔습니다 조명 수온은 괜찮았스나 수압이 좀 약했어요 스타일러 공기청정기 안마의자 비데가 있었고 쇼파와 테이블도 있어서 음식먹기는 편했어요 제가 별점 2점을 드린 이유는 처음 객실에 들어갔을때 담배냄새가 많이 나서 환기를 했는데도 창문쪽하고 커텐에서 계속 나더라구요 저희가 가지고 있던 섬유탈취제를 다 뿌렸네요 방을 바꿔달라고 요청드리려다가 화장실에서도 담배냄새가 나고 계속 올라오는것같아서 다른방도 비슷할거같더라구요 공기청정기도 켜보니 청정기에서도 담배 냄새가 많이 나서 바로 껐구요 방음도 좀 약한지 윗층에서 쿵쿵거리는 소리랑 의자끄는 소리가 잘 들렸어요 그리고 가장 마음에 안든 부분은 제가 숙소를 7월23일에 예약했는데 그때당시 디럭스더블객실을 할인 받인서 77000원에 결재했어요평일 근데 8월6일 화요일 체크인 하는데 제가 예약할때 오픈한지 얼마 안됐을때가 가격책정이 정확히 안되있어서 성수기 요금으로 되어 있었다고 지금보다 비싸게 예약하셨다면 방을 업그레이드 해주신다고 하셔서 우선 알겠다고하고 객실에 와서 확인해보니 현재 50000원으로 되어있더라구요할인 받으면48000원까지 되겠네요 안마의자가 있었으니 로얄스위트 방을 주신것같은데 저희는 안마의자도 사용을 안해서 차라리 미리 연락을 주셨으면 숙박날까지 시간도 많았는데 취소하고 다시 예약하거나 대실로 돌려서 좀더 일찍 체크인 했을수도 있었겠죠 이런 안내가 부족했던 부분이 많이 아쉽네요,2,0
전주 우아동 프린스,tog*******,침대가 너무 크고 편하고 방도 쾌적하고 깨끗해서 너무 편안히 있다가 가요 담에 또 전주 놀러오면 꼭 다시 방문할것같은 곳이네요 사장님도 친절하시고 해서 좋았습니다,5,1
전주 사랑가득 한옥스테이,또박또*********,방도 깨끗하고 따뜻하고 사장님도 응대가 빠르고 참 좋았던것 같아여 셀프로 조식이 있었던것 같은데 여러가지로 셀프 조식이 있었으면 합니다,4,1
전주 우아동 아미르,믱눙*,깔끔하고 생각보다 넓은 방이였습니다 잘 묵으며 잘 쉬다 왔습니다 감사합니다 다음에 또 전주에서 묵을 기회가 생기면 이용하고 싶네요,4,1
전주한옥마을 황실관광호텔,놀고싶*******,그냥 딱 위치만 좋았어요 위생청결 놉,1,0
전주 산정동 첫번째 호텔,수원화******,시설괜찮았습니다,4,1
전주 덕진동 호텔 쏘울(Hotel Soul),언제나*******,모기가 많아서 자는데 힘들었어요,3,0
전주 금암동 호텔 마리(터미널점),김말숙*,깔끔하고 좋았어요 다음 전주 여행때도 이용하려구요,5,1
전주 덕진동 핀앤핏하우스,풍덩풍덩우*******,주차공간 불편 세월의 흔적이 보임,2,0
베스트웨스턴플러스 전주호텔,뽀오얀*********,객실 컨디션은 모기도 많고 먼지가 너무 나요 공기 질이 최악이였음 별로 입니다 다시는 오고 싶지 않네요,3,0
전주 금암동 호텔 바라한(HOTEL BARAHAN),방랑자******,항상 애용하는호텔입니다 5호방 라인 복도불이 방으로 다들어와서 잘때 불편한점은 꼭 개선해주시길바래요 커튼꼭다시길,5,0
전주 금암동 YAJA 전주터미널점,샤랄라******,너무좋아요우,5,1
전주 우아동 에이치호텔,파나마주짓***,얼마전에 친구와 방문하고 좋아서 다른 친구와 바로 방문했어요 난방 빵빵하고 전기장판도 있고 리모델링한지 얼마 안돼서 깨끗하고 좋아요,5,1
전주 정가한옥스테이,경주재발견**,급작스럽게 가게되서 예약하게 되었는데 방도 깨끗하고 좋았어요,5,1
전주 금암동 호텔 바라한(HOTEL BARAHAN),우와아****,객실은 진짜 예쁜데 와이파이가 너무 잘끊겼어요 공유기 몇번 껐다켜도 똑같고 하루 더 예약할 때 중간시간 추가금있어요,3,0
웨스턴라이프호텔,마라도빵가***,디럭스더블룸 가성비대비 만족함 청결하고 방음 잘되고 주차장 넓고 조용해서 좋음 익산 출장시 계속 이용하겠다는 마음,4,1
전주 우아동 호텔 투나잇(HOTEL 2NIGHT),홍대의계절**,출장시 들렀는데 객실 상태 등 매우 만족스럽습니다,5,1
전주 다온호텔,소쩍새울*,미리 예약을 하고 와서 높은 층에 배정을 받았는데 객실에서 보이는 한옥마을 뷰가 너무 좋아요 덕분에 잘쉬고 가요,5,1
전주 우아동 호텔 캐슬,sun*****,주인장님 친절하셔서 좋았네요 욕실 문에 걸어진 쓴 수건 한 장만 빼놓고요,5,1
전주 중화산동 브라이튼 호텔(BRIGHTEN HOTEL),깜짝깜*******,리모델링 된 숙소라서 외관상으로도 고급지고 특히 침구류나 침대가 정말 좋아서 잘 쉬다갑니다,5,1
전주 덕진동 호텔 히든(HOTEL HIDDEN),쥬짱쥬*,커플피시로 예약하고 갔는데 객실에 담배냄새 났구요 게이밍 컴퓨터라고 해서 기대했는데 컴퓨터 한대는 롤 카트 등 아예 시작도 안되서 한판도 못하고 나왔어요 다신 안가요,2,0
전주 덕진동 호텔 히든(HOTEL HIDDEN),201****,편안히 잘 쉬었습니당 깔끔하고 좋아요,5,1
전주 고사동 전주관광호텔,o잠팅**,가성비 갑 진짜 침대하나는 끝내주게 좋습니다,5,1
전주 중화산동 투썸스테이,고냥이********,늘 이용하는 곳 깔꼼하니 조하여,5,1
전주 덕진동 호텔 마리(덕진공원점),덩실덩********,잘쉬다갑니다 청소상태가 아쉽습니다,3,0
전주 금암동 토마토,핵인싸*,자주이용하는데 환기가 좀 아쉽습니다,5,0
전주 금암동 윈져,펀쿨ㅅ*,좀 추웠음,5,0
전주 산정동 플렉스호텔,가랑비********,다 좋은데 비데 노즐 청소랑 관리 좀 하셔야겠습니다 많이 불청결해요,5,0
전주 산정동 돈키호테 드라이브인,오케에에*,먼저 사장님께서 고객 대응을 정말 친절하게 해주시고 객실 상태 또한 깔끔하이 너무 좋습니다 담배 냄새도 일절 없어서 쾌적하게 쉬다 왔습니다 감사합니다,4,1
전주 중화산동 로데오,느림보*******,사장님 하이요 또왔어요,5,1
전주 덕진동 호텔 와이케이(HOTEL WAIKEI),달콤슈*****,위치 너무 좋아요 객실도 깨끗하고 넓습니다,5,1
전주 산정동 첫번째 호텔,스쳐간********,져렴하고 가성비 좋으네요,5,1
전주 갤러리스테이,cu2*****,사장님께서 너무 친절하셨어요 맛집도 하나하나 알려주시고 숙소 서비스도 너무 좋습니다 전주 한옥마을도 걸어서 10분 거리에요 전주 숙소로 추천합니당,5,1
전주 산정동 호텔 에비뉴(HOTEL AVENUE),진주순**,깔끔하구 조아요 근데 전기장판이 고장난거같아여,5,0
전주 우아동 호텔 젠,그냥저*****,안마의자도 좋고 깨끗하고 사장님도 친절합니다,4,1
전주혁신도시 호텔원,가랑비********,정말 최고였습니다 급하게 잡은 숙소라 걱정을 많이 했는데 전체적으로 너무 쾌적하고 직원분들도 너무 친절 하셨습니다 다음에 전주에 온다면 또 올것 같습니다 잘 쉬다 가요 감사합니다,5,1
전주 금암동 뷰티 호텔,zn0*,방이 따뜻하고 좋았어요,4,1
전주 우아동 프린스,짤랑짤********,후기 왜 좋은지 모르겠네 가성비 때문에 가격은 싸구요 거미줄도 있고 화장실 물도 잘 안내려가고 세면대 물도 안내려가고 샤워기 물은 찔찔거리고 환풍기도 되는데 있고 안 되는데 있고 다시는 안 가요,2,0
전주 덕진동 호텔 워너비(HOTEL WANNABE),계란국20**,컴퓨터 매우 아쉬움,3,0
전주 우아동 쉐르빌,나는남*,그냥저냥 그렇네요 티비는 계속 키면 2분있다꺼지고 그래서 보는거포기,2,0
전주 금암동 로즈마리,쏘울사*******,내생에는 다시안감,1,0
전주 우아동 한옥 HOTEL,네오텍***,방 컨디션은 좋은데 샤워하기엔 물이 졸졸 아침에 일어나서 샤워 하는데 너무 힘들었습니다,3,0
전주 금암동 후,귀여운****,좋아요 근데 아침에 공사를 해서 오늘은 잘때 많이 불편했네여,5,0
위너 호텔,가랑비********,좋았어요굳 근데 바깥 소리가 좀 나규 냉장고에서 갑자기 우웅 소리도 나서 자다가 조금 놀랐어용그래도 좋아용,4,1
전주 서신동 호텔 아지트,바람빛********,조앗어여엉,5,1
전주 경원동 경원,kik***,다음에 또 방문하고 싶어여 사장님도 친절하고 좋았습니다,5,1
전주 우아동 큐브 505 (CUBE 505),아티*,방은 깨끗하고 깔끔했는데 엘베없는 4층객실 힘들고 철길 옆이라 밤새 기차소리 시끄러워서 자다 깨다 반복 개피곤하게 아침에 일어나서 터덜터덜 했음,3,0
전주 한옥마을 늘품호텔,시절스며들*****,위치도 좋고 조용하고 객실도 너무 쾌적하고 직원분들도 너무 친절 하셨습니다,5,1
전주 덕진동 호텔 마리(덕진공원점),철붕*,너무까끗해요,5,1
