review_content,rating,label
아침 일찍 문 앞에서 시끌시끌해서 일어났는데 아니나 다를까 문을 그냥 여시네요 요즘 세상이 무서운데 너무 당황스러워서 안쪽 문을 잠그고 불안에 떨었습니다 그리고 프런트에 항의했고 다른층 호수를 착각해서 청소를 할려고 햇다고 하네요 같은층도 아니고 다른층을 착각하고 그것도 이른 아침에 문을 여는 시도를 계속 하고 결국엔 문을 여십니까 신발 있는거 보고 나가시는거 같은데 당사자는 미안하다는말도 안하고 항의하니깐 전화너머로만 미안하다 하고 이런 경험 처음이네요 앞으로 호수 잘 확인하고 청소해주세요 다른 손님방 막 여시지 마시고요,1,0
금연 객실에서는 금연을 실천하자고요 비흡연자는 매우 힘들어요 사장님도 얼마나 힘드시겠어요 방에 들어가서 잡지도 못하고 금연 실천,3,0
객실상태 최악 화장실 곰팡이 드라이기 손잡이에조차 시꺼먼곰팡이 침구류는 너무더러워 한번 교처요청했음에도불구하고 더러움그리고 가장최악은 이불이 오리털이라는데 먼지가먼지가 한나절이용에 방안가득 먼지 관리힘들면 오리털이불 솜이불로바꾸세요 스트레스받고 병옮아가는듯 그래도 가실분은 가세요 이틀 연박하기로했는데 하루만묵고 갑니다 주인장 돈 많이버시겠어요,0,0
깨끗하고 매우 친절합니다,5,1
일단 년 전통이란 사실을 알고 가셔야 합니다 년 전통 답게 시설이 많이 노후화 되어있고 특히 화장실에서 오래된 느낌을 많이 느낄 수 있습니다 조명이 어두운 편이고 밝기 조절이 불가능 합니다 가장 비추하는 이유는 방음이 하나도 안돼서 옆방 소리가 다 들립니다 엘베에서 내리면 가장 멀리 있는 방 소리도 다 들립니다 침대 크고 접근성 좋은거 빼면 좋은점이 없습니다,2,0
빔프로젝트 있어서 너무 좋았고 화장실욕실 청결하고 방상태도 좋습니다 침대 매트리스도 편해서 저렴한 가격에 잘 즐기다가 갑니다,5,1
서비스 청결은 괜찮음 직원이 불친절,2,0
사람들 시부터 시끄럽고 복도 초인종소리 왓다갓다 문 쌔게닫고 여는소리 방문 다닫아도 들리고 사장은 전화도 안받음 시부터 시 시까지 시끄러워서 잠못잠 다시는안감 최악,0,0
인테리어도괜찮고 가격도저렴해서 괜찮은거같더라구요 서울은 비싸기만하던데 여기는 참괜찮은거같습니다,5,1
숙소가 아늑하고 너무 좋아요 베스트 입니다,5,1
너무 좋아요그냥 다좋습니다 일단 금연방 너무좋구 침구류도 깨끗하고 응대해주시는분들도 너무친절하게 해주시고 아기자기한 느낌도 나면서 모든게 좋았습니다 뷰도 좋고 코로나때매 숙소콕하면서 넷플릭스 잘 이용했습니다 갑자기 비가 엄청 쏟아졌는데 누수안되는지 누수되는곳있으면 방바꿔주신다고 먼저 연락도 주시고 친절왕 다음에 전주 다시오면 여기로 다시 올거에요 감사히 잘 머물다갑니다,5,1
좋아요 방 컨디션 좋고 가성비 좋고 사장님이 직접 파킹도 해주셔서 감사합니다 또올게여 번창하세요 좋아요 방 컨디션 좋고 가성비 좋고 사장님이 직접 파킹도 해주셔서 감사합니다 또올게여 번창하세요,5,1
사진을 찍은건 없지만 출장시 이용하기 좋은 숙소입니다,5,1
넷플릭스도있고 편하고 좋았어요 조금 일찍왔는데도 들어가게 해주셨어요,5,1
편안한 쇼파에사 빔 쏴서 예능봤어요 편하게 잘 쉬다갑니다,5,1
여기만한곳이 없어요 스킨로션 샘플도있고 진짜 편함,5,1
최악의 숙소 다신 가고싶지 않네요 첫번째 방은 변기 수압이 안좋아서 물도 안내려가고 위생도 나무 별로고 벽에 곰팡이도 너무 많았어요 방 바꿔달라 했는데 하나남았다고 하셔서 변경 해주신건 감사했지만 변경한 두번째 방 위생도 너무 별루였습니다 일단 수건 같은곳 오염이 있고 배게는 누렇고 벽도 동일하게 지져분하고 욕조가 있었는데 욕조도 좀 더러웠어요 담배냄새도 화장실인지 계속 나서 창문 화장실문 다 닫고 있었고 방음이 하나도 안되서 잘때는 위인지 옆인지 말하는 소리까지 들렸어요 중요한 침대가 정말 딱딱한 돌침대인줄 알았어요 템퍼 침대라고 해서 예약한건데 그냥 사기 템퍼침대 방이라고 기재 하지 마세요 일부로 한옥마을하고 멀어도 한옥마을은 다 땅바닥 숙소라 멀어도 침대있는 숙소 구한건데 이럴바엔 그냥 한옥마을 땅바닥 숙소 예매 할껄 그랬어요 일회용품에는 사용했던 굳어있는 치약까지 들어가있고 정말 묵었던 숙소중 최악입니다,0,0
히든은 그냥 최고인것같아요 자주자주 이용하는 곳 인데요 진쯔 좋아요 객실 안이 춥다고 하면 온도도 올려주시고 렌즈리뉴 굿 서비스짱,5,1
화장실에서 살찍 오래된냄세가나긴하는데 크게 불편하진않아요,3,0
샤워하는데 수압이 너무 약해요별로예오,1,0
사장님 업글해주신건 감사했습니다 화장실쪽부분인테리어하신것 같더라구요조명 달려있던곳 뜯은 천장실리콘 외관상으로도 안좋지만 그래서인지 너무어둡습니다티비도 크고 좋았지만 티비연결이 약한지 혼자먹통 되는 경우가 계속있었고 욕조물막이노후로 물다빠져서 안받아져서 사용못한점 에어컨 시간을틀어놔도 시원하질않았어요침대옆 구석에 전자담배꽁초머리카락스타일러 놓으신건 옵션제공하시려는 뜻은 알겠지만너무비좁아요다른건 다 그렇다쳐도 제일 불편했던거 층 샤워수압 너무약해서 졸졸물에 억지로씻었습니다 개선된다면 방문할듯해요,3,0
룸 더럽고 티비 안 나옴,2,0
잘 쉬다 갑니다 안마의자 고장 나있습니다 호,3,0
대실 시간 연장시 시간 만 호 와이파이 고장 따라서 넷플릭스도 고장 스낵바 아이스크림 음료 커피 팝콘 매트리스가 완전스프링이아닌 메모리폼인듯 편안 욕조가 미끌거렸다 핫산명이서 청소를 하긴 해도 부족한 부분이 있다,3,0
들어오자마자 담배냄새 나깅래 보니까 담배꽁초 담긴 종이컵 있었음 다음날 아침에 일어나서 드라이기 쓰는데 코드 터짐 프론트에 전화해서 드라이기가 터졌다 일행이 다친것 같다도 하니 정적이 흐르다가 그럼 드라이기 새거 필요하세요 라고 물어보길래 일단 그럴 것 같다고 하니 교환하러 내려오라고 함 전등 하나 무너져있고 빨간동그라미 조명 계속 켜졌다 꺼졌다 깜빡거렸다 난리임 담배꽁초도 전등도 그러려니 하겠지만 드라이기가 터져서 다친 것 같다고 하면 괜찮냐고 먼저 물어보는게 맞지 않나 싶습니다,0,0
머리카락이랑이불에 붙어있어서 교체했는데 교체한이불에 밑쪽에또 머리카락있었는데좀 그랬음,3,0
브라운도트호텔 갠적으로 좋아해서 자주 이용하는데 서비스면에서 최악이었음 우선 여사장님 프론트에 가기도전에 체크인전부터 자동차키달라고 하는것하며 초면임에도 반말하는거하며 체크아웃하기전에 신발신고 청소원이 들어오지를 않나 일반 모텔도 이정도 무례하지는 않음 그중에 가장 최악은 활짝 웃어가며 사과랍시고 하는 얼굴여사장님 무례해서 사과를 하는거면 얼굴에도 진정성을 담아야지요 브라운도트호텔 브랜드가 아깝습니다,1,0
너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다너무너무너무좋습니다 사장님도 너무너무 친덜하시고 박 대만족입니다,5,1
주차된 차가 많아서 주차하는데 조금 힘들었지만 룸 컨디션은 좋았습니다 프론트 직원분도 친절하세요 주차된 차가 많아서 주차하는데 조금 힘들었지만 룸 컨디션은 좋았습니다 프론트 직원분도 친절하세요 주차된 차가 많아서 주차하는데 조금 힘들었지만 룸 컨디션은 좋았습니다 프론트 직원분도 친절하세요 주차된 차가 많아서 주차하는데 조금 힘들었지만 룸 컨디션은 좋았습니다 프론트 직원분도 친절하세요,5,1
깔끔하고 위치좋고가성비 있는 숙소입니다,5,1
수건 네장주시는데 수건 장 다 그냥 발걸레 수준이구요 까맣고 찢어지고 이불도 구겨지고 눅눅하고 무엇보다 에어컨 작동이 완전 약해서 혹시 고장인가해서 프론트에 문의 드렸더니 저렴한 숙소라서 에어컨이 온도가 정해져있다고 하더라구요 만원이었는데 엄청 저렴한것도 아니면서 굳이 저렴한방이라 그렇다라는 말로 대처를 했어야했는지 정해진 온도가 있어서 모든방이 그렇다고 했어도 이해했을텐데참 근데 프론트는 에어컨 완전빵빵해서 창문에 김서리고있고 웃기더라구여 다신 안갈거고 진지하게 비추합니다 수건상태만 봐도,0,0
방도 깔끔하고 넓찍해서 좋았습니다 혁신에 흡연 가능한 숙소도 있고 손님 모시기엔 좀 그런 숙소도 있는데 정말 쾌적했어요 주차장도 지하만이 아니라 지상주차장도 있어 좋았습니다 특히 조식 라면 최고입니다,5,1
방은 깨끗한데 생각보다 조금 추웠어요,3,0
시설 좋고 깨끗하고 좋아요다음에 전주 오면 또 숙박할거예요,5,1
담배냄새가 많이 나더라고요 다른 나쁜점은 없었어요,3,0
항상친절하셔서좋습니다 발렛도해주시고 아무쪼록 잘쉬다갑니다,5,1
프리미엄으로 방을 잡았는데 제가 비흡연자인데 들어가자마자 담배냄새가 너무 많이 나고 바닥은 끈적끈적하고 양말이 시컴해 지고 화장실은 물때랑 곰팡이가 너무 많이 피여있고 너무 비위생적이여서 중간에 짐챙겨서 나와서 다른곳 다시 숙박잡고 잤습니다,1,0
가격도 저렴하지만 무엇보다시설이 너무좋습니다 사장님 너무 친절하시구 요청사항도 너무 잘들어주십니다 스타일러도있구 내 집 같이 너무 편하네요 전주 사람이 아니더라도 한번 와 보면 올 때마다 찾는 곳이 될 거예요 너무 좋습니다,5,1
각실 추움 욕실용품 바닥이었음 직원에게 전화해서 채워 넣었음 수영장 겨울이라 운행 안 함 하는 줄 알고 수영용품 챙겨 갔는데 허탕쳤음,3,0
가장 큰 장점은 시내 한 가운데 있어서 접근성이 좋다는 점 침대는 작은거 두개 붙여서 큰 편이고 가운데가 벌어져요 바디워시나 린스 샴푸 통 위생적으로 안보이긴 함 이불이나 시트 상태는 뽀송하고 부드러움 티비도 화질 괜찮고 크기 적당함 충전기 없어서 아쉬움,3,0
깨끗하고 갸성비 좋아요 남자친구랑 왔는데 편하게 묵다가여 헬스장이 생각보다 쪼꼬만해서 아쉬웟지만 편하게 쉬다 갑니다 가성비 전주호텔로 추천해요,5,1
옛날 건물이어서 그런지 시설이 너무 노후되어 있어요 객사 안에 있어서 지리적으로는 너무 좋은데 그 외 장점은 없는 것 같아요 엘리베이터도 소리가 나서 고장날 것 같아 타기가 무섭습니다 그렇다고 계단으로 이동하기에는 계단도 너무 더러워요거미줄도 있습니다 리모델링이 필요할 것 같아요 숙소 안에서도 에어컨을 틀기 전에는 꿉꿉한 냄새가 나는데 환기가 어려워서 냄새가 계속 신경 쓰이더라구요 시설을 신경쓰지 않으시는 분들은 괜찮을 것 같지만 저는 재방문의사는 없습니다,2,0
결론 가성비나 서비스 시설 이용도 모두 애매 화장실까지 포함하여 패밀리 객실인데도 서울보다 좁음 인포데스크 카운터 직원들이 교대된 인원까지 다 봤는데 친절한 사람이 명도 없음 엘리베이터 대 밖에 없어 가뜩이나 전체 수용하기 느린데 대는 늦은 시간까지 점검해서 불편했음 객실 카드키가 갑자기 먹통되서 귀찮은 일 있었음 침대나 수건 등 전반적으로 청결함 주변에 맛집이나 산책 쇼핑할 공간들이 있음 바로 앞에 편의점있음 서비스로 주는 커피는 맛있었음 지리적으로는 호텔이 여러모로 괜찮은데 이번 이용 경험을 보면 그 옆에 있는 글로스터를 갈 정도로 만족도가 떨어짐,3,0
특가 호 숙박 후기 사장님 객실 수리 후에 손님받으심이 좋을 것 같네요 주차장 객실구조는 나쁘지 않고 인치 티비는 맘에 듭니다 하지만 아래에 개선사항 적습니다사진 확인 객실 세면대 물이 잘 안빠져요 화장실샤워실 문이 상당히 벌어지고 안닫혀요 샤워기 홀더가 고장났어요 변기 물내리는 손잡이가 없어요 비대 전원도 안들어와요 침대 상단에 달린 테이블 비추는 등의 램프가 없어요독서 어려움 찾아보신다더니 소식 없음 창문에서 찬바람이 들어오는지 실내가 썰렁해요 그래서 특가방이라고 천원 더 내고 업그레이드 하라고 하지 마시고 고쳐서 특가 행운을 주심이 맞을 듯하네요 나중에 파손 배상 요구하실까봐 전화로 말씀드렸던 사항입니다 디스 아니고 팩트만 올렸습니다 별점이 엄청 높아서 기대하고 특가 떴길래 예약했는데 호만 그러리라 생각하기로 했습니다 다시 가기는 망설여집니다,1,0
담배냄새가 많이 나더라고요 다른 나쁜점은 없었어요,3,0
객실이 드럽고 이불은 담배빵에 찢어저있으며벽에 구멍들은 와이리 많은지 커튼은 왜 창문위에 시공이 안되서 단열 소음 분리도안되고 문열면 주차장보이고 방음도 와이리안되는지 새벽에 계속 깨고 넘나 아쉽네요,0,0
사장님 친절 하시고 청결 상태 굿입니다 자주 이용 하지만 매번 만족 합니다 출장 오실때 묵으시면 좋을듯 합니다 항상 지금 처럼만 유지해 주세요 시설도 좋고 편합니다,5,1
객실 자체는 사진에서 보는거와 같아서 만족 했어요 살짝 청소가 안 된 부분도 있었지만 다른곳보다 깨끗했고 방 냄새도 좋았어요 한 가지 아쉬운 점은 방음이 너무 안 되서 옆방 소리가 다 들리고 불면증이 있어 잠은 잘 못 자고 왔어요,3,0
청결하고 시설이 좋았어요,5,1
대실로 이용했습니다 쿠폰덕분에 조금 더 싸게 이용했으며 다른 곳보다 시간이 길어 만족스러웠습니다 가격대비 시설도 좋고 다음번에는 숙박으로 이용해봐야겠습니다 감사합니다,5,1
가장 큰 장점은 시내 한 가운데 있어서 접근성이 좋다는 점 침대는 작은거 두개 붙여서 큰 편이고 가운데가 벌어져요 바디워시나 린스 샴푸 통 위생적으로 안보이긴 함 이불이나 시트 상태는 뽀송하고 부드러움 티비도 화질 괜찮고 크기 적당함 충전기 없어서 아쉬움,3,0
객실이 사진처럼 아주아주 똑같아요 깨긋하고 화장실도 넓고 깨끗하고 일하시는 분들도 친절하시고 하루더 전주에 있게 되어서 여기서 하루 더 숙박하였습니다 잠자리를 가리는 편이라 걱정했는데 아주 좋았구요 덕분에 재미있는 전주여행이 되었습니다 다음에도 전주에 가게되면 묵을 예정입니다 아 침대 이불다 뽀송하고 좋은데 베개는 조금 빵빵 해서 낮게 베고 자는 저는 베개 안베고 잤습니다 베개만 조금 푹신푹신 했으면 좋겠네용,5,1
내일로타고 전주 갔을때 이용했는대 요기어때에 올라왔길래 후기남깁니다 가격 서비스 시설 다 보통입니다 특별함 기대하지마시고 여느 모텔과 비슷해요,3,0
가격대비 괜찮아요 침대도 넓어요 이불은 좀 얇은편 방음이 안됨 밤시 넘었는데도 청소하는 소리들림,3,0
전주 한옥마을 갔다가 분 일찍 입실할수 있나 물어보러 갔는데 아직 점검이 다 안끝나서 제시간에 오라고 하셨어요 분 전에도 점검이 안끝나서 입실 안되는건 원래 입실시간이 있으니까 그렇다고 치는데 응대해준 아주머니가 너무 기분 나빴네요 문의 드리러 간건데 본인일 아니라는 식으로 네 그런데요 만 반복하는게 서비스직은 하시면 안되겠어요 만원 주고 예약했는데 당일에 만 천원으로 가격도 내려가있고 입실해보니까 문도 잘 안닫히는건 기본에 방음이 안되서 문열려있는지 자다가 일어나서 수시로 확인해야했어요 가실분들은 참고하세요 리뷰 답 달린거 보고 수정합니다 그 내용 말씀하고 싶어서 이렇게 예의없이 통이나 부재중전화를 남기셨나봐요 처음 응대할때 인사드리고 예약자이름 말씀드리면서 예약했다고 하니까 네 그런데요 한번하시고 시입실인건 아는데요 물어보니까 네 그런데요 두번 하셨습니다 그런 응대 처음이라 충격적이어서 기억나는데요 하신분은 항상 그렇게 응대하시니까 기억못하는게 아닐까싶네요 점검이 안되 시 맞춰서 오라며 안된다해서 주차는 가능한지 물어보고 가능하다고 들어서 주차만 해놓고 다른데 돌다가 왔어요 악의적 사실이요 제가 개같이 빌어달라고 앞에서 진상을 부렸나요 뭔가요 아마 서비스직 종사하시면서 피해의식이 있는건지는 잘 모르겠는데요 이렇게 공유하라고 있는게 이 시스템이에요 제가 겪고 느낀걸 당연히 참고하시라고 리뷰에 남긴게 어떻게 해서 키보드 워리어가 되는진 잘 모르겠구요 앞에서 얼굴보고 말하라고 하셨는데 어떻게 살아오신건지 잘 모르겠지만 거기서 하룻밤 자고 이래야하는데 굳이 얼굴붉힐필요 없다고 생각했어요 아무래도 사장님은 진상 좋아하시나 보네요 다른거는 일언반구 말씀없으시고 계속 전화하시네요 악담 들은걸로 마무리지으려고 생각 안하고있었는데 또 전화하셔서 한번더 수정할게요 일단 첫번째로 예약한 번호로 무작정 전화하시는거 굉장히 무례하시구요 악담 잘 새겨들을 예정이라 사진으로 다시 올려요 대화상 서로 오해가 생겼을수 있지만 사장님의 대응방법 인상깊었습니다 네 그런데요 안하셨다고 하고 제가 기억을 잘못했다고 하더라도 응대하시는 태도에서 기분 안좋았다고 말씀드리는 건데 워딩이 그렇게 중요하신가봐요 좋았던 전주여행 추억을 엉망으로 망쳐주신거 감사해요,0,0
따뜻한 물이 안나와서 난감했어요 온수 점검 부탁드립니다,3,0
바닥에 먼지가 발바닥에 좀 느껴지는데 심한 건 아녜요,3,0
사장님 화장실 환기가 안되서 약간 쉰내가 나긴했습니다 이건 어쩔수없다고 생각이됩니다 하지만 스타일러 열자마자 정말 고약한 냄세가 나는건 알고계셔야할듯해요 방음은잘되있습니다 하지만 물내려가는소리가 꽤나 크게 납니다,2,0
시 체크인인데 사람이 너무 많아서 분 대기햇어요 가시는분들 참고하세요 수영장은 카바나 이용 시간 대여시 만원이였어요 조식은 맛잇엇어요,5,1
출장시 매번 방문하는 호텔로 신시가지 동 가격대 최고 모텔이라 생각함 입구에서 부터 고급진 방향제 향이 좋았고 방안에도 은은한 형기가 가드교어매니티도 스킨과 로션이 일회용으로 준비되어 있어서 너무 좋았고 티비는 방 크기에 비해서 조금 작은편이긴 하지만 넷플리스 시청하기에 딱 좋았고 티비 사이즈가 작은게 아니라 방 전체가 커서 그렇게 느껴질 수 있음 불 다끄고 시청하면 거부감이 없었음 매트리스도 일반 모텔보다 푹신해서 딱 좋았음 전체적으로 너무 청결하고 특히 욕조가 깨끗해서 매번 욕조에서 목욕을 즐기고 있음 방음이 잘 되어 있어서 밖이나 호실간의 소음없이 편안한 밤이 되었고 다음 출장에도 이용할 예정임,5,1
친절도 제로 룸에 충전기 없으면 입실할때 안내를 해주면 좋지 않음 말투 졸라 퉁명스러워서 똑같이 하니까 졸라 처다봄 시 입실 이라길래 알았다고 하고 대기 하니까 자기 게임 졸라하다 눈치보였는지 먼저 입실할꺼냐 물어봄 분전에 청결 제로 바닥에 왠 여자 머리카락이 글케 많은지 방도 엄청 습하고 맛이가는건 에어컨에 곰팡이가 눈에 보임 출장시 룸업그레이드 해준다는거 거짓임 그럴줄알앗음 윗단계 룸 예약했을꺼임 가본 브라운도트 중 최악중 최악 리뷰도 첨으로 길게써봄,1,0
커다란 방에 깔끔한 인테리어가 마음에 들어요 거울이 여러군데 달려 있어서 어디서나 거울을 볼 수 있어서 좋습니다 화장실마다 자쿠지가 있어서 물 받아놓고 놀기에도 좋아요 화장실 수압은 엄청 쎈편이고 겨울인데도 온수가 빵빵하게 나와서 따뜻하게 샤워할 수 있습니다 화장실과 샤워실이 분리 되있어서 청결을 더욱 유지할 수 있어요 세면대도 따로 있어서 간단히 세수나 양치하기에도 편리하고 방에 온도조절 할 수 있는 보일러 시스템이 가동되서 더 좋구요 여기 좋아서 이 곳만 이용하게 되더라구요 자주 오시는 거 알아봐주시고 특실로 룸 업그레이드 해주는 사장님 센스쟁이 자주 이용할게요,5,1
시입실이라고되어있으나조금일찍도착했는니입실시켜주어고마웠습니다 전주 출장을 길게 가게되어 가성비숙소찾던중이용했어요 깨끗해요시설도좋아요침구도푹신해요 기본적인용품이모두구비되어있따로챙길필요없어좋았어요 가성비좋아다음에또이용할것같아요 전주오게되면이용해보세요 전주 출장을 길게 가게되어 가성비숙소찾던중이용했어요 깨끗해요 시설도좋아요 침구도푹신해요 기본적인용품이모두구비되어있따로챙길필요없어좋았어요 가성비좋아다음에또이용할것같아요 전주오게되면이용해보세요 전주역과도가까워요,5,1
잘 묵고 갑니다 감사욘,5,1
난방은 따로 요청 해야한다고 해서 전화로 부탁드렸는데도 너무 추웠어요 객실 방향제 냄새가 좀 머리 아픈 느낌으로 심하고 청결 상태는 보통이에요,3,0
늦은밤 내려와서 편안하게 잘려고 리뷰 보고 선택했는데 완전 실패입니다 처음 키를 받고 담배 냄새 안나는 방을 달라고 했는데 막상 가보니 담배냄새에 냉장고에서 물이 새는 방이어서 프론트에 이야기해서 방을 바꿨습니다 다른 방에 들어가니 냉방이어서 프론트에 말씀 드렸더니 전기 장판 이용하시라하시길래 추우니 보일러좀 틀어달라고 했죠 틀어주신다고해서 일단 전기장판틀고 잠을 청했습니다 그런데 잠을 자면서도 추워서 계속 깨는거예요 프론트는 전화를 해도 안받고 아침에 다시 전화를 하니 전체를 다 틀어야 한다는 핑게를 대시면서 새벽에 틀었다가 지금은 꺼서 식었다고 하는겁니다 참나어처구니 없어서 이렇게 일 처리를 하시면 어떻게 합니까 하고 전화끝고 후기 남깁니다 아에 난방을 안해준다고 했으면 여기 취소하고 나갔을텐데말이죠 추위 많이 타는 저희 부부는 편히 잠도 못자고 오늘 하루 일정 보내야하는데 속상하네요 저희 와이프 추워서 저렇게 뒤집어 쓰고 있어요 여기어때에 전화해야 할것 같습니다,1,0
숙박하게 될 때 이곳이 이제 순위가 되었네요 너무 깨끗하고 좋았어요 일단 청소상태가 항상 잘되어 있어서 좋았고 주차장도 충분하고 로비에 있는 음료수도 좋았어요 그리고 친절했었어요,5,1
청소도 제대로 안되있고 화장실에 담뱃재도 그대로 있어요 벌레도 여기저기 게다가 살아있는 거미가 돌아다녀요,3,0
매번 잘 쉬다 갑니다,5,1
아중리에서 숙박하게 되면 여기에서만 하네요,5,1
다른건 몰라도 담배냄새 개 오져서 뭐 흡연실인 줄 담배냄새나면 침구를 갈든 페브리즈같은 냄새제거제라도 뿌려놔야 하는거 아닌가요,2,0
재방문 할껍니다 시설 청결 대만족합니다 친절해서 기분이 좋았어요,5,1
직원분 친절하셨습니다 더블로 예약해서 들어갔는데 침대가 더블이 아니라 싱글 두개를 붙여놓고 위에 시트를 하나로 덮은 것이었습니다 그래서 중간에 틈이 생깁니다 싱글 두개를 붙여놓고 더블이라고 해놓았으니 당연히 그 침대 가운데에 누우면 몸이 기울고 꺼지겠지요 매우 불편했습니다 난방은 굉장히 잘 되었는데 바닥이 뜨거울 정도였습니다 칫솔 등 세면도구 잘 구비되어 있구요 화장실은 청결했으나 온수를 틀면 따뜻한 물이 나오는 것이 아니라 차가운 물과 뜨거운 물이 섞이지 않고 각각 반복해서 나와 씻는데 불편했습니다 방은 좁았고 조명은 단일의 노란 빛이었습니다 창문은 있었으나 열어도 바로 앞 건물로 막혀있어 갑갑했습니다 일찍 들어간 탓에 주차는 바로 앞에 할 수 있었으나 솔직히 다시 가고싶진 않습니다,2,0
너무너무너무너무 만족합니다 잘쉬다가요 화장실만 빼고 가격대비 모두 최고입니다,5,1
화장실 더러웠어요 오래된 듯,3,0
전주 놀러갔다가 묵게 되었는데 생각보다 좋아서 편안하게 쉬었다가 갑니다 강추에요,5,1
