리뷰,예측,확률
보는순간 다음에 다시 이용해야지하고 생각했는데 욕조 구석에 치우지않은 면도기가 있더군요 그때부터 다 찜찜하더라구요물론 실수일수있지만 보이는곳뿐만 아니라 퇴실후에는 꼼꼼히 청소해주셨음 합니다,긍정,0.8934
대실로 이용했는데 객실 상태 가격 다 너무 좋았습니당,긍정,0.9219
정말 가격시설모두좋아 자주애용합니다최고에용,긍정,0.926
세상에나일주일에 한번은 전주에 내려솝니다 그럴때마다 모텔에서 숙박을 해결하는데 이건 좀 아니네요 입실시간 시로 예약인데 시에 도착했어요 방에 들어갔더니 바닦이 물바다네요 방금전에 청소를 했나봐요 수건으로 물기를 닦아내고보니 사진에서쳐럼 너무 더럽네요 얼마나 청소를 대충했으면 이정도일까요 왠만하면 그냥 넘어가는데 이건 좀 아니지않나요 가격이 저렴해서 선택하긴 했지만 방바닦을 걸어다닐때마다 방바닦이 발바닦에 쩍쩍 달라붙는것때문에 기분이 몹시 불편했어요,부정,0.0537
자주가는 나의 아지트같은 숙소,긍정,0.9314
청결했으나 시설이 조금은 아쉬웠어요 리모콘과 라이트 연동도 아쉽구요 조금 더 신경써야 할것 같아요,긍정,0.9124
깨끗하고 좋아용 깨끗하고 좋아용,긍정,0.9359
일단 비추 괜찮다는사람은 사람없을때 묵엇나 방음진짜 도 안됩니다 말소리웃음소리 다들리도 물뚝뚝 떨어지는 소리도 무슨 나무판자에떨어지는 소리나는데 글쎄 거슬리면 노래틀고 자래요 어이없쥬그리고 새벽 시에 화장실청소하시나 와물소리장난아니라 진짜 한숨도 못잤어요 숙박고객에 대한 배려가 없는듯사장님이 한번자보세요 청결은 나쁘지않운데 이불들추자마자 머리카락한올있었네요 예약도 해프닝이있었는데 주인바뀐지 얼마안되서 그런거라는데여기어때에서 좋게 잘 처리해줘서 묵긴했는데 정말 지금까지 다녓어도 이정도로 방음 안되는곳은 처음이네요,부정,0.0395
출장을 자주 다녀숙박을 자주 이용 하는데 금액대비 아주 좋습니다 가성비 아주 좋네요 다른 지역들도 자주 다니긴 하는데 이곳만큼 괜찮은 숙소는 없었던거 같네요 사업번창 하시고 다시 출장 계획이 잡히게 되면 이용하겠습니다 사업번창하세요 감사합니다 출장을 자주 다녀숙박을 자주 이용 하는데 금액대비 아주 좋습니다 가성비 아주 좋네요 다른 지역들도 자주 다니긴 하는데 이곳만큼 괜찮은 숙소는 없었던거 같네요 사업번창 하시고 다시 출장 계획이 잡히게 되면 이용하겠습니다 사업번창하세요 감사합니다,긍정,0.9077
습해서그런지 지하주차장 역한 냄새 때문에 헛구역질 나고 숨 을못쉬겠네요 그리고 방이 너무습해요 바닥도 이불도 빨래하고 덜마른 이불덮는거 같아요 저번에왔을때는 비가많이 왔어서 그러려니했는데 어제도 마찬가지네요 바닥청소가 아예안되있나봐요 바닥이 습기때문에 끈적이는데 발바닥이 시커매지고 작은 돌맹이 먼지 부스러기가 붙네요 슬리퍼라도 신을랫더니 누가뭘흘렸는지 슬리퍼 바닥이 끈적여요 화장실도 군데군데 다 곰팡이에 물때가 시컴해요 청소랑 객실 점검하셔야할듯해요 테라 객실청소도 화장실도 침구류도 청소잘되어있다고 생각하고 꽤 많이 왔는데 이렇게 청소안되고 불만족 스러운거 두번째예요 처음한번은 그럴수있다고 생각되는데 어제보니 실수가 아닌거같아서 글 남깁니다 건물습한것도 어쩔수없다 치지만 청소는 신경써주셨으면 하네요,부정,0.0396
직원모두친절했습니다객실에서 담배냄새나고화장실좁아 샤워물이 변기에 닿아찝찝 방충망없어 창문못열고 옆방출입문 열고닫을때 꽝꽝 내방이 흔들글쎄 옆방 새벽에 띵똥을 분동안 누르고있어 그소리에 잠깨 미쳐 조식라면 대기분뒤 팅팅불은면 나와 내가 직접 끓여주고싶다트윈가격비싸 너무했습니다,긍정,0.8026
지금까지 여행중 여곳의 호모텔에서 숙박해본 개인적인 리뷰입니다 평일 가격이 이면 싼가격은 아니라고 생각합니다 제가 지금까지 좋은곳만 다닌건지도 모르겠네요스탠다드룸이 아니고 디럭스룸 임에도 객실크기는 작고 작은 객실에 가전제품들이 불편한 동선으로 되어 있습니다 일단 스타일러 바로 앞에 공청기가 있어서 문열기가 불편했고 거울있는곳엔 냉장고가 자리잡아서 의자에 앉아서 머리말리고 화장하기 힘들었습니다 작은 객실엔 무소음 냉장고로 있어야는데 냉장고 소음도 꽤 커서 새벽에 몇번을 깼는지 모르겠어요 그리고 이곳은 우범지역인건지 경고문구가 참 많이 붙어있네요 발매트도 없고 구두주걱도 없습니다 커피포트는 다른 리뷰를 보니 위생상의 문제로 없는듯 한데 고객입장에서는 참많이불편했습니다,부정,0.0392
숙소에서 쾌쾌한 냄새가 심하네요,긍정,0.9278
최근들어 전주에 내려오늘 일이 많아져서 찾다보니 검색해서 예약했는데 너무너무 만족입니다 깨끗하고 스타일러 굿굿,긍정,0.908
티비도크고 영화볼만하네요 시설도좋고 주차장도넓어서 괜찮네요 간단히 스넥바도 이용할수있어서 좋아요,긍정,0.9192
음료수가 맥콜이라서 아쉽고 화장실이 비추어서 부담되며 가격이 저렴하며 시설도 깔끔하고 좋습니다,긍정,0.9177
담배냄새만 안나도 살것 같아요,긍정,0.9274
가격이 저렴한 장점이 있으나 아무래도 역사가 깊은 호텔답게 많이 낡았네요 그래도 다 정상 작동하구 티비는 꽤 좋아요 다만 창문에 방충망이 부실한지 입실 전에 창문이 열려있어 그런지 밤새 모기들과 사투를,긍정,0.8753
위생 신경을 조금 덜 쓰시는거 같아요 머리털들이 바닥에 보이네요,긍정,0.917
완전 헉헉헉 했네요,긍정,0.9315
정할깔끔해서 좋아요 벌써 두번째로 올정도로 괜찮아요 자주이용할게요,긍정,0.9236
담배냄새나고 시설은 그닥 발렛은 자리가없어서 해주셨어요 이상,긍정,0.9148
객실 실내온도 도 너무 더워 문의하니 에어컨 사용 불가 선풍기 제공된다하여 저녁에 올려달라하니 선풍기품절 각 객실 문 쾅쾅 닫는 소리 다 들림 좀 더 개선되면 좋겠네요,긍정,0.8813
담배 냄새 때문에 너무 힘들었어요,긍정,0.9269
벌써 번째 방문입니다 깔끔하고 좋아서 재방문하기 땃 좋아요 일찍 청소 마치시면 체크인도 빨리 할 수 있게 해주셔서 감사합니다,긍정,0.9122
감사합니다 잘 쉬다갑니다,긍정,0.9358
지은지 얼마되지 않은 건물입니다 객실은 깨끗하고 좋았습니다 객실이 추웠습니다 춥다고 이야기를 하니 온풍기를 최대로 틀어놨다고만 이야기 하시네요 더블 침대 치고는 작습니다 전체적으로 호텔의 편안함을 느끼기에는 부족한 숙소입니다 코로나로 인해 직원들도 상주하지 않고 좀 부족한 수준이였습니다,긍정,0.8659
잘쉬었어요 깨끗하고 깔끔하니 좋아요,긍정,0.9336
낡아서 키도 카드가 아니라 열쇠라 불편했고 방은 그저그랬어용,긍정,0.9146
호텔이라 깔끔하고 스타일러도 있어서 좋아요 주변에 먹을거리도 많아서 하루 놀기 너무 좋아요 주차장도 야외있어서 주차도 편하고 화장실도 깔끔해요 다음에도 자주 방문할거같아요,긍정,0.9132
그동안 숙박했던 모텔 호텔 중 가장 최악이었습니다 저는 태어나서 저렇게 생긴 샤워기는 처음 봤네요 디자인과 성능 둘 다 매우 당황스러웠습니다 화장실이 방에서 동떨어져 있는 듯이 미친듯이 추워서 같이 샤워하는 건 상상도 못하고요 혼자 샤워도 힘들어요 온수조절도 잘 안되고 일단 사용하기 불편하고요 수압도 굉장히 약합니다 이틀 숙박했는데 겨우 샤워만 하고 머리 한번 감았네요 찝찝해서 미치는 줄 알았습니다 머리끈까지 샘플로 주시면서 샤워타올을 안주셨을리가 없을거라고 생각하며 샤워타올 계속 찾아봤었는데 결국 못찾았네요 이것도 이상했던 부분 중 하나입니다 직원분들도 딱히 친절하지 않아요 카운터에 서 계실 때 눈 마주쳐도 인사 절대 안해주시고요 말 걸면 겨우 안녕하세요 한마디 해주시더라고요 원래 싸우는 걸 매우 싫어해서 민원 거는 걸 최대한 자제하는 성격인데다가 침대 매트리스가 굉장히 좋길래 온갖 불편사항을 다 잊어버린 척 넘기려고 했었습니다 다행히도 외출 일정이 빡빡해서 마지막날까지 꾹 눌러 참았었고요 그런데 마지막날 결국 터졌네요 일단 이불이 오리털인데 오리털 이불이 아니라 털갈이 중인 강아지 한마리 덮고 잔 줄 알았어요 오리털이 공기중에 떠 다니더라구요 무슨 먼지마냥 의자에 걸쳐 놨던 옷에도 오리털이 잔뜩 묻어서 털기 힘들었습니다 그리고 가장 중요한 건데요 박시에 사용했던 수건과 콘돔포장지를 바닥에 던져두고 외출했었는데 돌아와서 보니까 전부 사라져있더라고요 쓰레기만 치워져있었으면 우리가 치워놓고 착각했나보다 하고 넘길텐데 사용했던 수건이 전부 새 수건으로 바뀌어 있었던 걸 보니 누군가가 들어왔던 게 확실해서 못넘어가겠네요 우리가 박일 예약하면서 같은 방으로 배정해달라고 예약시에 전화 문의했었고 입실시에 확인하면서 청소 필요 없으니까 숙박기간동안 방에 들어오지 말라고 분명 말씀드렸는데 왜 허락도 없이 마음대로 들어오셨죠 들어오지 말라고 요구사항을 전달했는데도 왜 무시하고 외출시간대에 몰래 들어오시나요 시설도 최악이고 서비스도 최악이네요 지리적 위치 제외하곤 장점이 하나도 없는 숙박업소에요 샤워기도 매우 옛날식 기계 같고 커튼도 그을림 비슷한 자국이 곰팡이처럼 남아있던데 시설 정비도 안하면서 이름만 호텔로 달아두고 호텔가격 받고 장사해도 되나요 모텔이었어도 다시는 가고싶지 않았을텐데요 마지막날 퇴실할때 한바탕 따지고 나오려다가 따져봤자 변하는 것도 없을 거 같아서 차라리 다른 분들 보시고 거래 신중하게 다시 고민해 보셔서 피해자가 덜 생길 수 있도록 후기 남깁니다,부정,0.0407
시설 자체부터 가격 그대로 저렴한 상태이고 따뜻한 물이 계속 안 나오길래 전화해보니 불친절한 말투 죄송하다는 말 일절 없음 보일러 고치는 중이라고 한 시간 정도 소요된다고 해서 그냥 기다림 가운이라도 받으려고 프론트에 가보니 객실 점검 중이었고 적혀있는 번호로 전화해도 받지도 않아서 기다리다가 그냥 돌아오고 한 시간 뒤에 따뜻한 물 계속 안 나와서 전화해보니 또 안 받고 두 시간 지나도 안 나와서 전화해보니 또 안 받고 리뷰 읽어보니 하루 전부터 따뜻한 물 안 나온 것 같은데 사전에 알려라도 주던가 체크인 할 때까지 말 없고 전화하니까 그제서야 고치는 중이라고 하고 계속 안 고쳐지는 거보니 상황 피하려고 고치지도 않는데 한 소리 같고 그냥 무슨 배째라는 식으로 전화도 일부로 안 받는 것 같다는 생각이 듬 여행 망칠 것 같아서 그냥 나와서 다른 데로 다시 잡음 다른 리뷰 보니까 다음 날 아침까지도 따뜻한 물 안 나왔나보네요 그럼 며칠 동안 안 고치고 돈은 그대로 받고 있는 건지,부정,0.0396
전주에 출장 갈 때 마다 들리는 곳 입니다 직원분들친절하시고 깔끔합니다 주변에 맛집들도 있어서 좋습니다,긍정,0.9191
시설도 깔끔하고 이 시설에비해 가격이착해서 꾸준히 이용해오던 곳인데 이번에는 조금 당황스러운 이벤트가 있었습니다 숙박 이용하고나서 대실도 미리 예약해두고 방을옮긴 뒤 바람쐬고 점심먹을겸 두어시간정도 비워뒀었는데 점원분께서 오래 비어있길래 나간줄알았다며 청소하는 직원분들에게 방을 치우라고 얘기해뒀더라는겁니다 일단 객실내부에 중요한 짐들을 다 두고나온 상태여서 누가 들어왔다는 사실자체부터 이용객한테는 찝찝하고 불쾌할 일이라 사과부터 하셔야 할 일인데도 사과도없이 저희의 탓으로 돌리시려는 태도가 꽤 실망스러웠습니다 막 청소가들어가서 뭐 안건드렸을거다하는데 그것만으로 벌어진 일이 되돌려지는것도 아니고 일단은 더 일 키우기싫어 그쯤 그만뒀는데 자주 이용하던곳이라 안타깝지만 당분간은 다른곳을 이용할것같네요 같이 이용한 소중한 사람한테도 참 제가 다 미안하더라구요,부정,0.0424
항상 믿고가는 전주 솔호텔 다들 친절하시고 청결하고 넘 좋아용,긍정,0.928
주차 너무 불편하고 화장실에서 샤워하는데 방으로 물 뿌려짐 깜짝놀람 침대 다젖음 충전기도없고,긍정,0.9044
늘에서 주차가 힘들엇을때 여기다 주차를 해주셨어요 저희는같응곳인줄알고 햇더가 분도 안되서 연락오셔서 차빼달라고 하시길래 빼드렷더니 누슨 노이호텔에 묵으라더니 노이호텔사람은 배째라는식으로 내가 그랫냐 사장이그랫다 오면 얘기해랔어이가 없어서 잇다가 전 나왓네욬같이할거면 하든가 말거면 말든가 사럼 놀리나잠은 노이에서 주차는 늘에사하라고 노이 일하는사람쓸거면 제대로 써랔,긍정,0.8434
잔주 출장 일차 마지막날 가성비하며 이만한 숙소 없을 듯 청소상태 양호함 먼지없음 인테리어 깔끔한편 방이 넓어서 좋음 침구류 침대 베개 모두 아주 깨끗하네요 주차공간 지상 주차장이고 무난합니다 주변먹거리 바로 근처는 아니고 걸어서 분 정도 나가면 맛집 많은듯해요 조식 이용안함 직원 친절합니다 방음 주변소음 무난합니다 기타 욕조도 깨끗하고 전체적으로 만족합니다 요즘 화재 이슈로 완강기 설치상태도 확인했네요 전체적으로 아주 만족합니다,부정,0.2873
위치도 공간도 좋았어요,긍정,0.9336
방음이 너무 안됩니다,긍정,0.9321
프론트부터 진동하는 하수구 냄새는 방향제로 덮은듯 하고 문이 없는 욕실 낡은 시설은 그렇다치더라도 걸레보다 못한 수준의 다 떨어진 수건은 어떤 숙박업소에서도 볼수없는 것이었어요 아래층에 사람이 있는데도 계단쪽 수건 담는 포대옆으로 막 던지는 수건 등등떨어지는 소음도 무시 못합니다 싼게 이유가 있었나봅니다,긍정,0.8457
오랜만에 방문했는데 역시나 친절합니다 살짝 냉장고 문이 계속 걸려서 잘 안열리고 방음이 미흡하긴 했지만 이정도 가격에 이 시설 만족합니다,긍정,0.9067
프리미엄 예약후 숙소들어갔는데 아무리생각해도 프리미엄이 아닌거같은 방크기너무나도 작았어요프론트 문의 후 방 변경했습니다 프리미엄 사진에 나와있는 방욕조개방 문으로 구분되지않는 신박한화장실구조으로 재배정후 짐을 푸려고하는데 콘돔 포장지 비닐 쓰레기가 나왔고 침대에선 머리카락이 창틀은 물때 침대 머리카락은 저희께아닌걸 바로 알수있었는데요 남자친구머리카락 제머리는 탈색염색모발 이라 확연히 눈에 보이는 색과 길이라 찝찝함을 지울수가 없네요 전주 여행가서 가깝고 후기가 안나쁜거같아서 잡았는데 안타까운 선택이였습니다,부정,0.0405
오랜만에 전주에 왔는데요 숙박 할만한 곳을 찾아보니 전주 프린스모텔 에서 머물게 되었습니다 사장님도 친절하시고 무엇보다 저렴한 가격에 잘 이용하다 갑니다 다음에도 또 이용하도록 하겠습니다,긍정,0.9157
좀오래되긴 했어요세면도구도 그렇고요,긍정,0.9242
전북대 놀러 올때마다 여기 묵는데 근처 다른데보단 아주 시설면이나 방음도 잘되고 아주 조아요 재이용할게요 전북대 근처 올때마다 이용할게요,긍정,0.9165
방 자체도 깔끔하고 한옥마을과 몇몇 맛집들과의 접근성도 좋아서 만족했습니다,긍정,0.9166
여사장님은 친절하시고 시설 인테리어나 청결상태는 아주 좋았습니다 방도 한단계 업그레이드 해주셨습니다 담에 재방문하고 싶습니다,긍정,0.9168
나쁘지않게 잘 이용했습니다,긍정,0.9312
가격대비해서 대실시간은 다른 곳보다 넉넉하게 주는 거 같습니다 객실 상태도 눈에 띄게 더럽거나 하진 않았던 거 같습니다 화장실 같은 경우도 욕조도 있고 수압도 괜찮고 배수도 나쁘지 않았던 거 같네요 일단 마음에 들었던 거는 옷걸이가 있고 세면대가 화장실까지 가지 않아도 이용이 가능한 점은 만족스러웠습니다 그런데 사장님인지 아닌지는 모르겠지만 느낌상 사장님이실 거 같은데 갑자기 인터폰이 오더니 퇴실 예정시간보다 분 일찍 퇴실해줄 수 있냐고 연락이 오더군요 이유를 물으니 청소를 하고 다른 손님을 받아야 한다고요 결국에는 시간 다 채우고 퇴실하기는 했지만 중간에 저런 전화를 받으니 기분은 좋지 않더라고요 시설 자체는 만족했지만 저런 일이 있으니 저는 다음에는 이용하지 않을 거 같네요,부정,0.0396
많이 낡았고 방도 좁아요 조식은 이용 안 해서 모르겠고 샤워기 수압이 약합니다 물 온도 조절도 힘들구요 침대는 크고 푹신해서 괜찮았는데 옆방 소리가 다 들리고 방음 하나도 안 되더라구요 직원분 서비스는 그냥 그랬어요 친절하진 않았음 가격을 저렴하게 주고 가서 그나마 만족합니다 그래도 방은 개별 난방이라 좋았어요,긍정,0.8568
호텔 자체가 오래된 듯한 느낌은 있지만 위치 면에서 좋았습니다 다만 침대부근에서 다 쓴 위생용품 화장품 일회용품 같은 쓰레기가 몇개 떨어져있어서 깨끗이 청소한 객실 같진 않았네요,긍정,0.8918
가성비 완벽한 숙박숙소라고 생각해요 사장님도 친절하시고 조식 작은 컵라면 제공되는것도 좋네요 다만 늦은밤 지하 노래방이용객들의 노래소리가 은은하게 들리는게 조금 시끄러워요 그거빼면 완벽,긍정,0.886
한옥마을 구경하러 전주 갔는데 깔끔하고 한옥마을이랑도 가까워서 좋았어요 호텔 근처 골목에 식당도 좀 있고 편의점 풍년제과도 있어서 이동하기도 편하고 좋았어요 주차는 체크아웃 시반까지로 바로 나가야되는 점이 있으니 참고하세요 호텔에 주차하고 도보로 잘 다닐 수 있어서 좋았습니다 복도에 있었을 때 방음을 그렇게 잘 되진 않는 것 같은데 방 안에 있을 때는 괜찮았어요 체크인 체크아웃 빠르게 진행해 주시고 카운터직원분도 친절했습니다 주차는 지하와 야외주차가 닜는데 체크인 시간 넘어서 갔을 때 지하주차가 다 차서 야외에 했습니다,긍정,0.8817
편해하고좋아요,긍정,0.9379
매우 만족 박일 여행 성공,긍정,0.9302
깔끔하고 좋았어요 전에도 몇번 이용했는데 이 근처에서 제일 괜찮은 것 같아요,긍정,0.9279
화장실에 문이고장나서 조금불편했어요 베개에 시트가 더러웠는데 신경써서 세탁해주세요 나머지는다좋았습니다 사장님은 음료수더달라고하시니깐 인 개씩 챙겨주시고 친절했습니다,긍정,0.8965
시설이 깔끔하고 편안하게 잘 쉬었다 갑니다 전주에서 여기만큼 시설이 깔끔하고 편안한데가 없다고 생각합니다 다음에도 또 이용할 것 같아요 아주 편안하게 잘 쉬었다가 갑니다 밑에 얼음 제빙기도 있어서 너무 좋았어요,긍정,0.9204
제가 숙박업소 진짜 많이 다니거든요 왠만하면 후기 같은거 잘 안남기는데 건물이 노후되도 위생 깨끗하면 이용도 하기도 해요 방에 들어가는 입구부터 담배 냄새가 공간안에 냄새가 배어 있어서 참을수가 없었습니다 이야기해서 바꿔주시긴 했지만 침구안에 사람이 썻던 퀘퀘한 땀냄새가 나고 진짜 다른 곳으로 가야하나 알아보기까지 했어요 안마의자는 고장난걸 왜 놔두시는지 모르겠고 수압도 약해서 씻는데 한참 걸리고 괜찮은 후기들이 보여서 간거 였는데 저렴한 금액에 만족하셨던건지 이해가 안되네요 좀 더 신경 써주셨으면 합니다,부정,0.1631
방도 넓고 괜찬네요 욕실도괜찮았어요 연인과 좋은시간보내고갔습니당,긍정,0.918
편리한 위치 식당가나 편의점 마트도 있어서 식사하거나 하는데 불편함이 위로 조금만 가면 전주역이라 거리도 가깝고 그외 근처에 없습니다 컴퓨터 성능 그래픽카드나 사양 자체가 보통 방 컴퓨터 정도 이상이라 어지간한 고사양 게임도 무리없이 돌아갑니다 객실 공간 객실 공간 코어서 답답하지 않고 특히 화장실이 샤워공간 월풀 변기 세면대까지 다 따로 있어 정말 쾌적합니다 기타 전주 모텔이 비교적 오래된 곳이 많은 느낌인데 건물 자체도 깨끗하고 세련된 느낌이고 주변 천이나 도서관도 좋고 전반적으로 괜찮은거 같습니다,긍정,0.6586
시간도 안되었는데 인터폰 해대면서 준비하라고하고 불편해요침대도 불결하고 안갑니다,긍정,0.9143
방을 들어서자마자담배쩔은 냄새와 배게에서도 너무 냄새가 났습니다 자는 내내 몸도 근지럽고,긍정,0.9061
신규 건물은 아닙니다 모텔시설을 리모델링 한 숙소입니다 사진과 좀 다릅니다 기대를 하고 가기에는 실망할수 있습니다 호텔이라는 이름 변경으로 숙박비만 올려진 느낌 입니다 업체에 피해를 주려는건 아닙니다 너무 기대를 하고 가는 고객들에게 선택을 할수 있도록 최소한의 의견을 남겨봅니다,긍정,0.8896
덕진공원 바로 앞이라 위치적으로도 좋고 깨끗하고 안마의자에 스파까지 좋았어요,긍정,0.9185
여긴 언제와도 너무너무 깨끗하고 조아양,긍정,0.9277
사람들 시부터 시끄럽고 복도 초인종소리 왓다갓다 문 쌔게닫고 여는소리 방문 다닫아도 들리고 사장은 전화도 안받음 시부터 시 시까지 시끄러워서 잠못잠 다시는안감 최악,긍정,0.8795
시 입실이었는데 일찍가서 혹시 체크인을 빨리 할 수 있냐고 여쭤봤는데 갑자기 아까 전화드렸다면서 시쯤 입실 하실 수 있다고 했습니다 전화 안왔다고 하니까 자꾸 우기시면서 전화했다고 하시더라구요 거기서부터 기분이 상했습니다 일찍 입실이 안되는건 알겠다고 했는데 다음 일정을 준비하려면 시에 입실을 했어야 했는데 청소도 하고 다하면 넉넉하게 시에 입실을 하라는게 좀 어이가 없었네요 그럴거면 입실 시간을 왜 정해두는지 사용못하는 시간만큼 금액 환불해주실 것도 아니잖아요 밖에서 시간떼우다가 시 넘어서 입실했는데 방금 청소가 끝났는지 방바닥이랑 화장실은 물이 축축하고 이불에서도 머리카락 나왔어요 이전에 다른 지점 이용했을 때 너무 좋았고 여긴 다른 지점이지만 후기도 좋아서 고민도 안하고 선택했는데 다음부턴 이용안할 거 같아요,부정,0.0412
시원하고 깔끔해서 또 방문합니다,긍정,0.9356
사장님이 친절하시구 커플 피시방으로 업그레이드 해주셔서 너무 좋았어요 진짜 행복했어요 기분좋게 하루 보냈습니다 진짜 다른 분들 추천드려요 엄청 청결해서 진짜 기분좋게 이용 가능합니다 강추드랴요,긍정,0.9121
아침식사빼곤 보통이지만 그래도 전주에선 갈만한듯,긍정,0.9212
너무 편안하게 잘 쉬다가 갑니다,긍정,0.9356
가성비는 나쁘지않지만 방이 조금작아서 살짝 불편함은 있었네요,긍정,0.9167
