리뷰,실제,예측
온 제나 이용하는 곳이어서 예약했는데 사정으로 인해서 못 갔어요 너무 아쉽더군요 그래 더 쿠폰까지 해서 결제했던 거라 다행이네요 다음에 꼭 이용하겠습니다,긍정,중립
늘 한결같은 숙소입니다,부정,중립
오랜만에 이용했는데 자는데 침구류가 푹신해서 너무너무 편했어요 다만 샤워할 때 조금 물 온도 조절이 힘들어서 애먹었습니다 그래도 잘 될 땐 잘 됐어요 다음에 또 이용할게요,중립,부정
딱히 다시 갈 곳은 아닐 듯,부정,중립
주차장이 협소하고 엘리베이터가 없습니다 그리고 침대 방향과 텔레비전 방향이 일직선이 아니고 수직입니다 이 개를 제외한 나머지 거의 모든 부분들에서는 지금까지 가본 곳들 중에 가장 좋다고 생각합니다,중립,부정
컴퓨터가 매우 매우 느린 게 조금 아쉬웠어요 그 외에 시설이나 다른 것들은 매우 만족했어요,긍정,중립
아무리 랜덤 숙소로 방을 잡았다지만 너무 최악의 방이었습니다 장점이라고는 방이 넓은 것 그리고 티브이가 크고를 볼 수 있었다는 거 단점은 너무 많습니다 침대 위 천장에는 구멍이 뚫려있고 침대는 딱딱하며 수압은 안 좋고 드라이기도 약하며 변기 뚜껑은 부러져 있고 먼지에 거미줄까지 월풀스파는 고장이어도 상관없었지만 너무 못 파는 방 랜덤방으로 주신 것 같아 기분이 좋지 않았습니다,부정,중립
진짜 장난 아닙니다 엄청나게 현실적인 후기 씁니다용 전주 여러 곳 머물러봤지만 침구 엄청 좋구요 다른 곳은 엄청 가렵고 조금만 움직여도 바스락 거릴 때 있어서 잠 못자고 나온 적 많은데 여기는 절대 아니예요 남자친구가 불편하면 몸에 알레르기 올라오고 잘 못 자고 뜬 눈으로 새는데 새벽 시에 자서 시 반에 약속이라도 한 듯 깼는데 진짜 개쩔어욤 거의 기절했다 깬 수준으로 잘 자버렸습니다 위치도 덕진공원 쪽 아니고 북대 쪽에 있어서 밥 먹고 주변 빙수집 갔다가 다시 들어오기 너무 좋았어요 장미맨숀 건물이여서 처음엔 엥 뭐지 이런데에 숙박이 있나 하고 들어갔는데 엘레베이터 층 딱 내리자마자 무슨 엄청 잘 꾸며놓은 게스트하우스인 줄 키 받구 방 들어가는데 창이 커서 후끈하고 더웠는데 에어컨 켜니 너무 시원하고 지상낙원이 따로 없었습니다 진짜 그리고 술집가는 척 엘레베이터 타고 들어가는 거여서 남자친구랑 들어가는데 민망하지도 않더라구요 헤헤 다른 곳들은 거의 덕진광장 쪽에 있어서 여름에 조금만 걸어도 힘들고 오래되고 들어가자마자 담배냄새나고 그렇단 말이죵 저희는 비흡연자여서 진짜 스트레스 받아가면서 다닐 때마다 향수 들고다녔는데 여긴 냄새는 조차 안나고 그냥 청결 그 자체입니다 인스타에 동영상 올렸더니 친구들이 여기 대체 어디냐고 전주에 이런 곳이 있냐면서 완전 물어봐서 다 대답해줬어요 일단 체크인 시 체크아웃 시인 점에서 개꿀이고 창 개큰데 앞에 높은 건물 없어서 하늘이 내 세상같고 현장결제 시 학생증 할인 가능 번 하면 숙박 회 무료이고 왓차 티빙 넷플릭스 유튜브 다 되고 시원하고 침대 넓고 화장실 문으로 닫을 수 있고 개좋고 깔끔하고 제발 꼭 가라 라면서 대답했더니 전주에 이런 곳이 있냐고 남자친구랑 꼭 가겠다그러고 제발 오라고 막 설명하니까 무슨 그 모텔 사장님이냐면서 홍보대사냐고 그 만큼 제발 왔으면 좋겠더라구용 전주에 이런 곳은 제발 널리 알려져서 유명해졌으면 집에선 창문 밖 잘 내다보지도 않는데 여기선 햇빛쬐서 더운데도 커튼 계속 열고 남자친구는 탄다고 닫으라그러고 거의 창과 방패였습니다 그리고 사장님이신지 엄청 친절하셔용 엄청 배달 일회용품 부탁드렸는데 안와서 층 인포 가서 부탁드렸더니 바로 찾아서 주시더라구요 걱정했는데 그냥 감동받고 떡볶이 먹을 수 있어 다행이고 그랬습니답 진짜 굳이굳이 단점을 꼽자면 리모컨이 잘 안눌려요 정말 손톱이 너무 아플 정도로 눌러도 안먹었어요 제가 리모컨 조작 방법을 몰랐던 걸까용 외부입력은 정말 잘 안눌렸는데 에어컨은 처음에 안눌리는 줄 알고 더운 날 너무 화나서 도까지 올려두고있다가 너무너무 추워서 끄려고 하니깐 눌리질않더라구요 그렇게 오들오들 떨다가 그냥 코드를 뽑았습니당 그리고 더워서 다시 틀고 조작하려하니 리모컨에 있는 에어컨 전원 버튼을 누르고 하면 되게 잘 되더라구용 저랑 남자친구는 머무르는동안 정말 너무너무 좋았어요 시간 꽉 채워서 있다가 왔는데 처음엔 하룻밤인데 가격이 너무 쎈 거 아냐 하고 돈 아까울까봐 걱정했는데 막 서울에 엄청 좋은 창 큰 오피스텔 같아요 너무 청결하고 방음도 잘 되고 볼 것도 많고 저는 진짜 앞으로 계속 가서 번 채울 생각이예요 진짜 너무좋음 다들 기념일이나 기분 내고 싶을 때 꼭 스카이뷰 가세여 진짜 꼬오오옥 정말 너무너무 잘 놀다 갑니다,부정,중립
갑자기 전주여행을 가서 예약했는데 룸 컨디션 좋고 뜨거운 물 잘 나오고 주차불편한 거 없음 개인적으로 침대나 이불을 많이 보는 편인데 얇은 이불 인편이라 그것은 별로 그 외에는 괜찮았음,부정,중립
확실히 신설이라 모든 시설이 다 깨끗하고 꿉꿉한 냄새 담배 냄새 전혀 없습니다 여자 사장님 남자 사장님 두 분 다 엄청 친절하시고요 출장으로 와서 정장이 있었는데 숙소에 스타일러가 구비되어 있어서 옷 관리도 돼서 매우 좋았어요 공기청정기도 있어서 방안이 엄청 쾌적해요 진짜 그냥 집에서 쉬는 느낌 화장실도 곰팡이 없이 깨끗하고 바닥에 물도 금방 말라요 수건 침대 이불 모두 뽀송뽀송하고 깨끗하고요 엄청 큰 티브이로 넷플릭스 영화 보는데 영화관에서 보는 줄 알았어요 청결 친절 시설 모든 게 완벽한 숙소였어요 다음에 전주에 다시 오게 된다면 또 묵고 싶은 숙소에요,중립,부정
와우 사장님 너무 친절하시고 다른 것보다 방음 잘 돼요,중립,긍정
가을의 전주는 축제도 많고 행사도 많아서 호텔에 사람이 굉장히 많았습니다 조식 입장 시에 조금 기다리긴 했지만 음식도 바로바로 리필이 돼서 괜찮았습니다 조식 음식 가지 수가 그렇게 많은 편은 아닙니다 총 박 일 머물렀는데 이틀째에 룸 청소 부탁드리고 나왔는데 흰색 티셔츠가 사라진 걸 알고 로비에 연락드렸습니다 결국 체크아웃 때까지도 못 찾고 그다음 날 찾았네요 호텔에서 잃어버린 게 맞는데 찾을 수 없다고만 하셔서 조금 마음이 아팠지만 그래도 잘 찾아서 다행이라고 생각합니다 흰 침대 위에 흰 티는 두지 않아야 한다는 교훈과 함께 잘 쉬다 왔습니다,중립,부정
객실 상태는 청결했습니다 복도는 환기가 안돼서 그런지 이상한 냄새가 났지만 다행히도 객실은 괜찮았습니다 화장실도 깨끗했고 인터폰으로 퇴실 시간을 고지해 주신 것도 좋았습니다 앱에서는 시간으로 고지되어 있었는데 실 이용 시간은 주말은 시간이더군요 미리 알고 있었다면 좋았을 텐데 앞으로는 앱으로 예약 시 혼동이 없도록 수정해 주셨으면 좋겠습니다,중립,긍정
특가 이벤트 대실로 쿠폰 받아 호텔처럼 저렴하게 이용했습니다 들어가는 순간 침대도 개고 욕실도 너무너무 넓고 욕조가 명이 들어가서 씻을 정도로 넓고 북대에 이런 럭셔리하고 모던하고 호텔 분위기 나는 데다가 있다는 게 의아할 정도로 재방문 있머요단 샤워기가 물이 찢어지게 나와서 씻을 때 따가움 일회용품도 잘 구비돼있어서 너무 맘에 드네 요한 번 가보세요 신랑하고 좋은 시간 보냈습니다,중립,부정
여기 가성비 극강이었던 것 같습니다 출장으로 많이 피곤했는데 푹 쉬고 왔습니다 일단 사진처럼 깔끔합니다 방 안쪽으로 테라스도 있어 담배도 필수 있어요 물론 저는 비흡연자라 주인 어르신께서 친절하셨고요 제가 중요하게 생각하는 청결과 침대가 맘에 들었습니다 화장실에 고급은 아니지만 샴푸 린스 보디 샤워가 비치되어 있었습니다 그리고 호텔 건물 층의 피자집이 참 맛있었네요 참고로 층 카운터가 있고요 음료와 간식이 비치되어 있어 층 숙박이 걸리시면 미리 가져가시면 좋을 것 같네요 만족하며 다음에 또 드를 의향 있습니다 번창하세요,중립,부정
덕진공원에서 가깝고 청결상태도 양호하고 방이 생각보다 넓어서 맘이 들었어요 주변에 식당도 많고 좋아요 늘 채움 식당 점심은 추천합니다 취향 식당은 지저분하고 불친절해요 숙소는 전체적으로 만족합니다 재방문의 사 있습니다,중립,긍정
호텔 아닙니다 준호텔 아닙니다 모텔입니다 바닥에 머리카락이 어질러 있었고 화장실은 하수구가 안 뚫려 있어서 샤워하다 바닥에 물 차서 욕조에 들어가서 샤워했어요 사장님 불러서 말씀드리니 해결해 주시더라고요 사장님은 친절하셨어요 저는 조식이 있다고 해서 갔는데 코로나 때문에 조식 안 한다고 하시더라고요 그럼 앱에 조식 안 한다고 꼭 표기 부탁합니다 저는 조식 때문에 이곳을 선택한 거였거든요 장점은 침구가 정말 좋습니다 마약입니다 제가 화났던 것들을 잊을 정도로 좋습니다 그리고 난방이 엄청 잘됩니다 저는 이때까지 후기 숫자와 별점을 믿고 선택하였는데 이곳은 저의 고정 관념을 깨게 해주었습니다 비즈니스를 위해 잠만 잔다면 추천합니다 근데 그러실 거면 저는 이곳보다 더 저렴한 곳을 가겠습니다 사장님 깨끗하게 청소 좀 깔끔하게 부탁합니다 이 후기 보시고 많이 달라지셨으면 좋겠습니다,부정,중립
깔끔한 객실과 킹 욕조에서 피곤에 어든 몸을 담갔더니 너무 개운합니다 화장실도 별도로 있어서 너무 만족스러운 곳이네요 아주 굿입니다,중립,긍정
전반적으로 깔끔하고 청결한 곳인 듯 침대 깔끔 중간 정도 위치가 맘에 좀 문 입구 쪽으로 있어서 중수한 사이즈 넷플 사용 가능 만족 욕실 아담 수암 너무 약함 아쉬움 샤워 부스 좀된 느낌 망가져있는 부분 있음 청결상태 양호 괜찮습니다 깨끗이 청소함 느낌 주차장 별도 주차장 있어 좁지 않음 전반적으로 만족 이 정도 단가에 이 정도면 좋음 다음에 재방문 가능할 것 같음 나중에 출장 오면 재방문할게요,부정,중립
엘리베이터 없음 도보 특가 예약 시 주차장 이용하고 싶은 경우 추가요금 천원 발생 수건 기본 장 키오스크 옆에서 다 가져다 쓸 순 있음 방 크기는 침대 하나 책상 하나 끝 정말 좁긴 함 크게 불편하진 않음 방에 비해 욕실이 더 좋음 내 기준 사장님의 친절도가 별 게 물론 내 기준,부정,중립
한옥 뷰 조식 짱짱,부정,중립
잘 지어 놓고 방치한 모텔이네요 시설 자체는 깨끗하고 좋아요 근데 관리 상태는 꽝 이해요 베개 터버 누렇고요 군데군데 먼지가 쌓여서 여엉 화장실 불이 안 들어와서 전화했더니 바로 장 바꿔주네요 직원 응대는 좋아요,중립,긍정
우선 사진을 믿고 숙소에 방문한다면 후회하십니다 저는 출장을 자주 다녀서 지방 여러 곳의 모텔을 자주 이용하는데 비용이 저렴한 곳을 중점으로 찾아다니다가 이곳을 찾게 되었습니다 오래된 호텔을 개조하여 운영 중인 숙소로 여러 가지 문제점이 있으나 잠만 자고 온다면 크게 문제는 없습니다 장점 저렴하다 비흡연 객실 단점 시설이 부족하다 컴퓨터 넷플릭스 충전기 비흡연 객실 전 흡연자 주차공간 협소,부정,중립
시설도 깔끔하고 일용품도 많이 제공해 주셔서 편하게 푹 쉬다 다녀갑니다 굳이 아쉬운 덤을 하나 꼽자면 화장실 바닥이 너무 미끄러워서 자칫 실수하며 크게 다칠 것 같아요,중립,긍정
깨끗하고 좋았어요 다만 소파가 일인용 한 개이고 간이 의자가 개 있어서 둘이 마주 보고 앉아 있기에는 살짝 부족함이 있어 보였습니다 나름 디럭스룸인데,부정,중립
쉬기에 적당하고 위치도 적당해서 잘 쉬었다 갑니다 시설도 깨끗해서 이용에 불편함이 없었습니다 빠른 체크인과 간편한 체크아웃으로 정말 편리하게 이용했어요 다음에 또 방문할 의사가 있습니다,긍정,중립
숙소 규모는 큰 편이네요 로비도 넓은 편이고 인테리어나 기타 시설들 불편한 점도 딱히 없고 주차장도 주차하기 괜찮은 편이며 전체적으로 가성비 훌륭한 호텔이네요 주변에 먹거리 등 번화가 쪽이어서 걸어나가면 구경거리도 많고 먹거리도 많고 위치도 좋아요 방 크기는 크지도 너무 작지도 않지만 침대 사이즈는 커서 숙면하는 데 도움이 되네요 침구류도 포근하고 개별난방이라 따뜻하고요 한 가지 아쉬운 건 청결은 전체적으로 깨끗했으나 침대 위 먼지 제거 등 디테일하게는 청소가 안 된 것 같아요 그리고 방음이 살짝 아쉽네요 옆방인지 말소리가 들려요 그래도 가성비를 따지면 괜찮은 호텔입니다,중립,부정
시설 깨끗하고 아침 조식도 있어요 말이 필요 없습니다,부정,중립
주차 공간도 많고 무인 시스템도 같이 있어서 매우 편리하게 이용했어요,중립,부정
시설 청결 모두 매우 만족합니다,긍정,중립
빵 자체가 따뜻하다는 느낌은 없었어요 전기장판 있어서 따뜻하게 잤어요,중립,부정
여사장님 친절하시고 저녁에 계신 남자 사장님도 나이스하십니다 리노베이션 하고 새로 오픈해서 호텔 컨디션 좋아요 담배 냄새 엄청 민감한데 냄새도 안 나고 객실도 아주 깨끗합니다 전주에 다시 오면 재방문하겠습니다,긍정,부정
시설이 깨끗하고 객실도 깨끗해요 공기청정기가 있어요,긍정,중립
깔끔해서 잘 쉬다 갑니다 다만 간단한 작업의 피씨 사용은 괜찮지만 게임 돌리는 건 어렵긴 하더라고요 물론 게임하기 위해 고른 숙소가 아니기에 게임이 잘 안 돌아간다고 해서 불만인 것은 절대 아닙니다 남자친구가 굳이 굳이 게임을 돌리려다 실패해서 말씀드립니다 남자친구가 여기서까지 게임하는 게 싫으신 분은 이 숙소를 추천드랴욬 저는 좋았거든요,중립,긍정
대실 이용했는데 싸고 시간도 많이 주네요 괜찮네요 자주 이용할깨요,중립,긍정
걕실은 간판이 눈에 잘 띄지 않아 찾는데 잠깐 헤맸어요 객실은 깨끗했어요 다만 올라가는 입구가 좁아 좀 답답했어요 침구도 깨끗했어요 난방을 너무 잘해놔서 좀 더웠지만 겨울엔 따뜻할 것 같아요 객실이 좀 좁았지만 가격 대비 혼자 하룻밤 묵는다면 좋은 장소 같아요,중립,긍정
사진이랑 좀 다르기도 했고 에어컨이 빠른 시간 내에 시원해지지 않더라고요 역과 한옥마을 중간에 있어서 둘 다 거리 있어서 불편했어요 이런 점을 빼면 나름 만족했어요,부정,중립
전주에 오래 머물면서 주변에 있는 모텔들을 자주 이용하는데 주차시설도 괜찮고 객실 침대랑 화장실이 깨끗했어요 이용하기 너무 좋습니다 주변에도 시켜 먹을 곳이 많아 고르는데 애먹었네요 다음에도 이용하겠습니다,중립,긍정
객실이 깔끔하게 잘 관리되는 느낌이었습니다 편히 잘 자고 왔습니다 조식 라면도 맛있게 잘 먹었습니다 다른 테이블에서 드시는 토스트를 보고 혹시나 다음 기회가 생긴다면 그때는 토스트를 먹어봐야겠다는 생각이 들었습니다 조식으로 컵라면과 시리얼 식빵 정도만 제공하는 곳도 많은데 이곳에서는 직접 조리과정을 거쳐 성의 있는 식사를 제공하는 모습이 인상적이었습니다,중립,긍정
새벽에 서울에서 출발하고 너무 피곤해서 잠깐 들어갔는데 내 집처럼 편하고 포근함,중립,긍정
선풍기 틀면 방에 먼지 날아다니는 게 보일 정도로 먼지가 너무 많고 화장실은 세면대랑 목욕탕이랑 막혀서 물도 제대로 안 내려가고 청소 상태가 정말 최악이네요 샴푸린스 같은 것도 다 안 채워져있었어요 직원분 친절하신 것만 좋아요,부정,중립
전주 여행 때 숙소로 사용했습니다 일단 접근성도 좋고 전북대와 붙어 있어 상권이나 볼거리도 있고 좋았습니다 하지만 단독 건물이 아닌 점과 화장실에서 새벽에 올라오는 냄새는 조금 아쉬웠습니다 그 외 밤 컨디션은 만족합니다,중립,긍정
침대에 티 테이블 욕조가 갖추어져 있을 깔끔하고 한옥마을을 이용하기 편리해요 방에서 내려다보는 뷰가 좋아요 그러나 주차장 엘리베이터와 객실 엘리베이터가 분리되어 있어 좀 불편해요,중립,긍정
평범하고 나쁘지 않았어요,중립,부정
장점 위치 객사에 사도 매우 중심부에 위치해 있어서 주변 시설을 편히 관광할 수 있는 최고의 위치였습니다 침구 세탁이 잘 되어있고 뽀송뽀송한 침구여서 잠이 잘 왔습니다 수건 커다란 수건이 있어서 좋았습니다 없는 곳도 종종 있어서요 분위기 오래된 호텔인데도 불구하고 크게 낡은 느낌은 덜해요 세련된 건 아니지만 하룻밤 묶기에 나쁘지 않습니다 단점 크기 방이 좁아요 음료 냉장고에 물 밖에 없고 기본 차나 커피는 제공되지 않아요 직원 프런트에 잘 안 계세요 그래도 계실 땐 친절했습니다 각종 건물 시설 엘리베이터 점검 중 샤워가운 호텔에서 샤워 후에 가운 입고 있는 게 편한데 여긴 샤워가운이 제공되지 않습니다 전반적으로 만족입니다 워낙 위치가 좋아서요 기회가 된다면 재방문의 사 있어요,부정,중립
전주 뮤직 페스티벌을 보러 가서 급히 잡은 베스트웨스턴 플러스 전주 호텔 어린 아들과 같이 식구 가서 잘 쉬다 왔습니다 전주 한옥마을 멀지 않은 곳이라 다녀오기 괜찮고 위치는 괜찮았습니다 주차장도 지하 지상으로 있어서 넉넉해 보였고요 뷰도 괜찮았습니다 욕실도 수압도 세고 괜찮은데 욕실 등 을 켜고 문을 닫으면 환풍 되는 소리 압력이 좀 크게 나더라고요 바닥이 카펫 크라 먼지가 좀 많이 날리기도 하고 복도 소음도 조금 들리는듯합니다 전반적으로 만족합니다 재방문 의사 있습니다,중립,긍정
항상 만족스럽게 다녀갑니다,중립,긍정
번째 방문이에요 이번에는 아침 조식도 이용해 봤는데 매우 만족이었어요 아침시오 후 시까지 넉넉한 이용 시간과 두 가지 종류의 시리얼 우유주 스 삶은 달걀 토스트 쨈 이렇게 이용할 수 있는데 맛있게 먹었어요 올 때마다 만족도가 높아지네요 스킨로션 보디용품들도 좋은 제품으로 구비되어 있고 배그 룸 이용하는데 늘 게임도 잘 돌아가고 의자도 편하고요 공청기가 있어서 담배 냄새 연기도 금방 빠지고 스타일러 덕분에 냄새도 안 베서 좋아요 또 방문할게요,중립,긍정
배게 피는 곰팡이 쓸어있고 컴퓨터는 윈 더욱 가 안 깔려있고 총체적 난국입니다 다행히 벌레는 안나욌지만 수건 청결도 안 좋아요 각 겨 이 싸도라도 다시 가고 싶지는 않아요,중립,부정
처음 방문했는데 아주 만족스럽게 숙박합니다 숙소들 룸이 좀 작으면 답답한 느낌인데 여긴 화장실도 정말 넓고 뭐 시켜 먹기도 딱 좋았네요 평일엔 이벤트로 가격도 착해서 추천드려요 비품들도 잘 구비되어 있고요 번창하세요,중립,긍정
침대가 제일 맘에 들었던 거 같아요 아주 포근히 잘 쉬었다 갑니다,중립,부정
전주 오면 늘 이곳으로 오려고 합니다,중립,긍정
전주 여행을 계획하면서 한옥 마을 근처 숙소를 찾던 중 알게 된 호텔입니다 근처에 유명한 숙소 여러 곳 중에 가격이 합리적이라서 가장 마음에 들었습니다 스탠더드에서 디럭스 패밀리로 룸 업그레이드를 받으면서 더블 싱글 구조로 된 방을 배정받았고 캐리어 개를 펼쳐도 넉넉한 크기였습니다 침구는 습기 없이 뽀송했고 청결에서 문제 되는 포인트는 찾지 못했습니다 연 박이다 보니 중간에 룸 클리닝 서비스도 받을 수 있었는데 카드 키를 제거했을 때만 가능하다는 점이 좀 독특하기는 했습니다 여름이다 보니 카드 키를 제거해서 추후에 방에 들어왔을 때 덥지 않을까 걱정했는데 중앙제어로 쾌적한 상태라 만족스러웠습니다 전반적인 직원들의 서비스 한옥마을 도보 분의 거리 훌륭한 가성비가 더해진 호텔로 다음에 또 방문하고 싶습니다,중립,긍정
항상 한 달에 한 번씩 들르는 곳입니다 나쁘지 않아요,중립,긍정
우선 입실할 때 카운터에 계시는 사모님은 매우 친절하셨습니다 가운이 필요하시면 카운터에 요청하라는 문구도 입구에 적혀있어서 하나 부탁드렸더니 친절한 말투로 한 벌이면 되겠어요 하십니다 방에 입실했을 땐 전체적으로 정돈된 느낌에 나름 깔끔한 인상을 받았지만 걸으면서 실내화는 비치 안됨 바닥에 돌멩이 같은 게 몇 번이나 밟히고 쓰레기통에 전 고객이 버린 게 정리가 덜되어 있어서 좀 실망스러웠네요 욕실에 부분부분 보이는 물때 곰팡이는 노후돼서 그러려니 했네요 심하지는 않습니다만 유독 예민하신 분들에겐 거슬릴 수도 냉장고에는 생수 개와 음료수 개가 있고 입실할 때 주시는 어메니티는 잘 갖춰져 있었습니다 가격이 우선 착하고 주변에 식당도 많고 편의점도 바로 앞에 있어서 재방문 의사 충분합니다,중립,긍정
일단 주차장이 꽤나 크고 프런트도 널찍해서 처음 들어갈 때 좋은 인상을 받았습니다 객실 크기는 그다지 크진 않지만 그래도 있을 건 다 있고 비품도 정상 사용 가능했습니다 아쉬운 건 창문이 그다지 크진 않아서 좀 그런데 그래도 채광이나 통풍에는 문제없습니다 욕실은 그리 크진 않지만 욕조도 있고 깨끗하게 정돈된 편입니다 역시 아쉬운 건 세안용품의 퀄리티 그다지 저처럼 저주받은 피부를 가지신 분들에겐 개인이 휴대하시길 적극 권장 드립니다 전체적인 평을 하자면 적당한 가격대 빠른 체크인 이동 편리한 위치 적당한 시설이라고 말하고 싶네요,중립,부정
당일 방이 없어서 스위트 예약 가격 대비 쏘 쏘 디럭스 기준 만원 초반에 이용하면 위치 시설 등 만족할 수 있을 것 같음 추천함,중립,긍정
주차장 찾는 게 조금 힘들었네요 한번 스쳐가면 한참을 돌아서 다시 와야 해서 입지조건 좋습니다 호텔에서 나오면 바로 시내여서 저녁에 놀 곳 많아요,중립,긍정
안마의자 너무 좋습니다 일하고 쉴 때 이용해서 그런지 안마의자에만 시간 있었네요 넷플릭스도 바로바로 연결돼서 재밌게 봤습니다 숙박 가격도 적당해서 아주 만족스럽게 지내다가 왔네요 다음에도 오겠습니다,중립,긍정
침구가 깨끗해서 마음에 들었어요,중립,긍정
주차공간이 대 가능하고 저는 여유 있게 주차했고 데스크에 혹시나 해서 객실에 담배 냄새가 나는지 문의했는데 다 금연실이라고 설명 주셨습니다 객실 컨디션 좋아요 담배 냄새 없고 도 크고 시트 베개커버 다 좋았고 제 재방문 찜 리스트 상위에 있어요,중립,부정
건물도 깔끔하고 안내도 친절하시고 특히 전동 커튼이 편리해서 좋았습니다 다만 불편했던 점은 시 정도에 입실해서 샤워를 했는데 뜨거운 물이 나오지 않고 미지근한 살짝 차가운 온도 물이 나왔던 점입니다 프런트에 문의해 보니 현재 객실에 있는 사람의 거의 없어 물탱크에서 데워진 뜨거운 물이 빠지는 시간이 걸리기 때문에 물을 계속 틀고 있으면 나온다는 안내를 받았습니다 한 분 동안 틀었음에도 뜨거운 물이 나오지 않아 결국 어찌저찌 샤워는 했으나 이 부분은 조금 아쉬우면서도 평일이라 어쩔 수 없는 부분인 것 같기도 해서 이해가 되긴 했습니다,부정,중립
바로 옆에 모텔하고 같이 운영하고 있어 키를 받으러 옆에 모텔로 가야 합니다 가운은 비치되어 있지 않으니 참고하시고 문이나 외관은 좀 연식이 되어 보였는데 내부는 나름 깔끔합니다 바닥은 장판이 아니라 타일 같은 종류였는데 난방은 잘되어 오히려 더웠습니다 냄새는 별로 나지 않았고 스타일러와 대형은 좋았습니다 나름 가성비가 좋은 숙소라고 생각합니다,중립,긍정
처음 이용해 보고 난 소감 시설 티브이 침대는 쌔꺼가틈 가구는 약간 올드풍임 가격 예약하고 포인트 써서 입실해서 대만족 서비스 사장님은 친절하신 거가 틈,부정,중립
오랜만에 갔는데 카운터에 계신 사장님 직원분 엄청 친절하셔서 기분 좋았어요 방 업그레이드 시켜주셨눈데 감사합니다 딱 열자마자 바닥이 후끈후끈해서 아늑한 기분 들었고 컴퓨터 두 대 있어서 좋아했는데 둘 다 안 켜지더라고요 아쉽 옛날에 테라 한창 갔을 때 컴퓨터 두 대 있는 방은 게임하러 가는 맛으로 갔었는데 전기장판도 고장 났는지 코드 다시 꽂고 온도 아무리 높게 올려도 하나도 안 따뜻해졌어요 그래도 다음에 또 방문하겠지만 전기장판은 방마다 확인해 주셨으면 해요,긍정,중립
