name,text
전주 한옥마을비하녹,"정말 정말 만족합니다 
급하게 예약했는데 며칠 찾아보고 간 숙소보다 훨씬 더 만족스럽구요 복도,화장실,방,침대 컨디션이 정말 너무 좋았습니다
향기도 정말좋고 식탁 넓어서 뭐먹기도 너무 편했고
침대도 정말 좋았어요 여자친구한테 잘찾았다고 칭찬 많이
들었습니다
또 저희가 좀 늦잠 자서 체크아웃 시간이 좀 늦어졌는데 오히려 괜찮다고 물 챙겨가시라고 해주시고 정말 친절하셨어요(물론 추가금 냈습니다! 다른분들 오해마십쇼! 시간 늦으면 당연히 추가금 내야합니다)
아무튼 다음 여행에도 꼭 이용하겠습니다 주변에 숙소 많아 고민하다 이 리뷰 보시면 믿고 가세요 정말 많은 숙소 이용해봤지만 이런 리뷰는
처음 남겨봅니다"
전주 한옥마을비하녹,"사장님도 친절하시고 후기대로 깨끗해요
침대뒤에도 먼지없이 깨끗햇어요
한옥마을과 남부야시장 걸어서가기에도 좋아요
다음에 전주가게 되면 다시방문하자 생각했네요
하루 잘 쉬다왔네요"
전주 한옥마을비하녹,한옥마을이랑 야시장도 걸어서 가깝고 자쿠지도 엄청 넓고 좋아요 전주여행간다하면 비하녹 추천해줘야겠어요!!
전주 한옥마을비하녹,"정말 정말 만족합니다 
급하게 예약했는데 며칠 찾아보고 간 숙소보다 훨씬 더 만족스럽구요 복도,화장실,방,침대 컨디션이 정말 너무 좋았습니다
향기도 정말좋고 식탁 넓어서 뭐먹기도 너무 편했고
침대도 정말 좋았어요 여자친구한테 잘찾았다고 칭찬 많이
들었습니다
완주 호텔 아리아(HOTEL ARIA),"깨끗하고 주차공간도 괜찮습니다.
수압, 온수 잘 나오고 컴퓨터사양 좋습니다."
전주 별빛궁 한옥스테이,"사장님 넘 친절하시고 방도 이뿌고 문 열었을때 바깥풍경도 이뻤어요! 다음에 또 갈일 있으면 또 숙박할게요~♡♡ 조식 과일컵도 넘 잘 먹었습니다😊😊 저는 꽃잠방을 이용했는데 옆방분이 새벽 4시 넘어서까지 노래틀고 웃고 소리지르고 떠들어서 조금 힘들었어요ㅠ 조용히 해달라고 했는데 무시하시더라구요ㅠㅠ 그것 빼면 다 좋았습니다!! 꺄
+ 죄송해하실 필요 없습니다! 숙소가 너무 예뻐서 전주 여행이 너무 즐거웠어요 감사합니다💕"
전주 별빛궁 한옥스테이,사실 사진만보고 예전에 묵었던 숙소 생각하며 기대않했는데 저희 세가족이 묵기엔 딱 적당하고 평일날 묵었던 숙소여서 일지도 모르겠지만 너무 시끄럽지도않고 생각보다 침구도 깨끗했습니다! 옛날집이라 우풍은 있지만 바닥도 따뜻하고 무엇보다 화장실도 따뜻했어요ㅜㅜ 아침에 조식도 너무좋고 사장님 문자하나하나에 감동이었습니다!
전주 별빛궁 한옥스테이,과일컵까지 구비되어있는거보고 놀람.. 방이랑 화장실이 새로 리모델링한것같이 깨끗하고 좋았음. 주인분도 친절하시고 체크아웃후에도 짐보관까지해주셔서 너무 감사함.. 침구도 따뜻하고 폭신해서 너무 만족했음
전주 한옥마을비하녹,"정말 정말 만족합니다 
급하게 예약했는데 며칠 찾아보고 간 숙소보다 훨씬 더 만족스럽구요 복도,화장실,방,침대 컨디션이 정말 너무 좋았습니다
향기도 정말좋고 식탁 넓어서 뭐먹기도 너무 편했고
침대도 정말 좋았어요 여자친구한테 잘찾았다고 칭찬 많이
들었습니다
또 저희가 좀 늦잠 자서 체크아웃 시간이 좀 늦어졌는데 오히려 괜찮다고 물 챙겨가시라고 해주시고 정말 친절하셨어요(물론 추가금 냈습니다! 다른분들 오해마십쇼! 시간 늦으면 당연히 추가금 내야합니다)
아무튼 다음 여행에도 꼭 이용하겠습니다 주변에 숙소 많아 고민하다 이 리뷰 보시면 믿고 가세요 정말 많은 숙소 이용해봤지만 이런 리뷰는
처음 남겨봅니다"
전주 한옥마을비하녹,"사장님도 친절하시고 후기대로 깨끗해요
침대뒤에도 먼지없이 깨끗햇어요
한옥마을과 남부야시장 걸어서가기에도 좋아요
다음에 전주가게 되면 다시방문하자 생각했네요
하루 잘 쉬다왔네요"
전주 한옥마을비하녹,한옥마을이랑 야시장도 걸어서 가깝고 자쿠지도 엄청 넓고 좋아요 전주여행간다하면 비하녹 추천해줘야겠어요!!
완주 호텔 아리아(HOTEL ARIA),"삼례 가서 자고와야 하는 상황이 생기면 저는 무조건 여기로만 예약합니다 !! 
사장님의 서비스도 대박이구 객실 청결도 엄청 깨끗해요 ! 
제가 숙소 잡을 때 항상 우선순위로 생각하는 게 화장실인데 깨끗하고 넓고 비데는 진짜 사랑입니다 ! 
입실 시간보다 조금 일찍 도착했는데 사장님께서 방에 들어가두 된다고 하셨구 예정된 퇴실 시간보다 조금 늦게 퇴실했는데 (미리 프론트에 전화해서 허락맡았어요) 불편한 내색 하나없이 저희를 엄청 친절하게 맞이해주셨어요 
그래서 전 무조건 여기만 갑니다 ! 지인분들한테도 여기 추천하고 있어요 ! 
사장님 조만간 또 갈게요 ! 감사합니다 !",,2023.11.30
완주 호텔 아리아(HOTEL ARIA),깨끗하고 친절하셔서 좋았어요! 스타일러도 있어서 더 기분 좋았네요. 조명도 다양해서 분위기가 좋아요. 깔끔하고 조용하니 쾌적하고요. 다른 사람에게 추천해 주고 싶은 숙소였습니다!!!,,2023.10.31
완주 호텔 아리아(HOTEL ARIA),"깨끗하고 주차공간도 괜찮습니다.
수압, 온수 잘 나오고 컴퓨터사양 좋습니다.",,2023.11.13
전주 별빛궁 한옥스테이,"사장님 넘 친절하시고 방도 이뿌고 문 열었을때 바깥풍경도 이뻤어요! 다음에 또 갈일 있으면 또 숙박할게요~♡♡ 조식 과일컵도 넘 잘 먹었습니다😊😊 저는 꽃잠방을 이용했는데 옆방분이 새벽 4시 넘어서까지 노래틀고 웃고 소리지르고 떠들어서 조금 힘들었어요ㅠ 조용히 해달라고 했는데 무시하시더라구요ㅠㅠ 그것 빼면 다 좋았습니다!! 꺄
+ 죄송해하실 필요 없습니다! 숙소가 너무 예뻐서 전주 여행이 너무 즐거웠어요 감사합니다💕",,2021.08.25
전주 별빛궁 한옥스테이,사실 사진만보고 예전에 묵었던 숙소 생각하며 기대않했는데 저희 세가족이 묵기엔 딱 적당하고 평일날 묵었던 숙소여서 일지도 모르겠지만 너무 시끄럽지도않고 생각보다 침구도 깨끗했습니다! 옛날집이라 우풍은 있지만 바닥도 따뜻하고 무엇보다 화장실도 따뜻했어요ㅜㅜ 아침에 조식도 너무좋고 사장님 문자하나하나에 감동이었습니다!,,2021.11.06
전주 별빛궁 한옥스테이,과일컵까지 구비되어있는거보고 놀람.. 방이랑 화장실이 새로 리모델링한것같이 깨끗하고 좋았음. 주인분도 친절하시고 체크아웃후에도 짐보관까지해주셔서 너무 감사함.. 침구도 따뜻하고 폭신해서 너무 만족했음,,2021.04.30
전주 한옥마을비하녹,"정말 정말 만족합니다 
급하게 예약했는데 며칠 찾아보고 간 숙소보다 훨씬 더 만족스럽구요 복도,화장실,방,침대 컨디션이 정말 너무 좋았습니다
향기도 정말좋고 식탁 넓어서 뭐먹기도 너무 편했고
침대도 정말 좋았어요 여자친구한테 잘찾았다고 칭찬 많이
들었습니다
또 저희가 좀 늦잠 자서 체크아웃 시간이 좀 늦어졌는데 오히려 괜찮다고 물 챙겨가시라고 해주시고 정말 친절하셨어요(물론 추가금 냈습니다! 다른분들 오해마십쇼! 시간 늦으면 당연히 추가금 내야합니다)
아무튼 다음 여행에도 꼭 이용하겠습니다 주변에 숙소 많아 고민하다 이 리뷰 보시면 믿고 가세요 정말 많은 숙소 이용해봤지만 이런 리뷰는
처음 남겨봅니다",,6일 전
전주 한옥마을비하녹,"사장님도 친절하시고 후기대로 깨끗해요
침대뒤에도 먼지없이 깨끗햇어요
한옥마을과 남부야시장 걸어서가기에도 좋아요
다음에 전주가게 되면 다시방문하자 생각했네요
하루 잘 쉬다왔네요",,3일 전
전주 한옥마을비하녹,한옥마을이랑 야시장도 걸어서 가깝고 자쿠지도 엄청 넓고 좋아요 전주여행간다하면 비하녹 추천해줘야겠어요!!,,2일 전
완주 호텔 아리아(HOTEL ARIA),"삼례 가서 자고와야 하는 상황이 생기면 저는 무조건 여기로만 예약합니다 !! 
사장님의 서비스도 대박이구 객실 청결도 엄청 깨끗해요 ! 
제가 숙소 잡을 때 항상 우선순위로 생각하는 게 화장실인데 깨끗하고 넓고 비데는 진짜 사랑입니다 ! 
입실 시간보다 조금 일찍 도착했는데 사장님께서 방에 들어가두 된다고 하셨구 예정된 퇴실 시간보다 조금 늦게 퇴실했는데 (미리 프론트에 전화해서 허락맡았어요) 불편한 내색 하나없이 저희를 엄청 친절하게 맞이해주셨어요 
그래서 전 무조건 여기만 갑니다 ! 지인분들한테도 여기 추천하고 있어요 ! 
사장님 조만간 또 갈게요 ! 감사합니다 !","<div class=""css-rz7kwu""><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg></div>",2023.11.30
완주 호텔 아리아(HOTEL ARIA),깨끗하고 친절하셔서 좋았어요! 스타일러도 있어서 더 기분 좋았네요. 조명도 다양해서 분위기가 좋아요. 깔끔하고 조용하니 쾌적하고요. 다른 사람에게 추천해 주고 싶은 숙소였습니다!!!,"<div class=""css-rz7kwu""><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg><svg class=""css-1mj121y"" fill=""none"" height=""24"" viewbox=""0 0 24 24"" width=""24"" xmlns=""http://www.w3.org/2000/svg""><path d=""M12.638 2.471a1.465 1.465 0 0 0-1.945.652L8.44 7.69v.002a.36.36 0 0 1-.255.191h-.002l-5.026.73c-.289.04-.61.175-.85.446a1.462 1.462 0 0 0 .033 2.037l3.647 3.557.004.003c.07.068.112.174.09.305v.001l-.86 5.007-.001.013c-.043.28.005.53.064.724l.01.035.015.033c.096.23.256.457.491.628.233.17.488.252.744.271l.028.003h.03c.203 0 .458-.031.715-.16l.007-.003 4.507-2.374.002-.001a.33.33 0 0 1 .316 0l.003.001 4.507 2.374.007.003c.259.13.586.203.926.136a1.466 1.466 0 0 0 1.18-1.663l-.862-5.02a.38.38 0 0 1 .106-.317l3.629-3.54.007-.006c.224-.224.358-.502.415-.783l.003-.017.002-.016a1.45 1.45 0 0 0-1.2-1.651l-.029-.007-5.031-.748-.008-.001a.32.32 0 0 1-.248-.185l-2.252-4.564-.002-.004a1.46 1.46 0 0 0-.655-.655z"" fill=""currentColor""></path></svg></div>",2023.10.31
