id,name,nickname,review_content,rating,write_date,source,교정된 내용,맞춤법 오류수
y_8_091,전주 브라운도트 덕진점,땡그란사령장,주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안 되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안 되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안 되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안 되는 거 빼고는 너무 좋습니다 다음에 또 이용할 의사 입니다,5,2025-06,y,주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안되는 거 빼고는 너무 좋습니다 주변에 맛집도 많아서 이동성 좋아요 자주 가는 곳인데 방음이 잘 안되는 거 빼고는 너무 좋습니다 다음에 또 이용할 의사입니다,5
y_8_092,전주 브라운도트 덕진점,간드러진가냘픈작업복,깨끗하고 좋습니다,5,2025-06,y,깨끗하고 좋습니다,0
y_8_093,전주 브라운도트 덕진점,물병자리박가오나무,여러군데 비교하면서 여기로 잡았는데 이불에 누런자국이랑 소파에 얼룩 그리고 욕실에 비치되어있는 샴푸랑 바디워시 뚜껑 다 닫혀있지도않았고 애초에 저희가 챙겨간걸로 사용하려고했지만서도 뭔가 그랬네요 바삐 치운느낌 위생청결빼고는 괜찮았어요,3,2025-05,y,여러 군데 비교하면서 여기로 잡았는데 이불에 누런 자국이랑 소파에 얼룩 그리고 욕실에 비치되어 있는 샴푸랑 보디워시 뚜껑 다 닫혀있지도 않았고 애초에 저희가 챙겨간 걸로 사용하려고 했지만 뭔가 그랬네요 바삐 치운 느낌 위생청결 빼고는 괜찮았어요,9
y_8_094,전주 브라운도트 덕진점,알쏭달쏭하고긍정적인주소,믿고 가는 브라운도트 느낌,5,2025-05,y,믿고 가는 브라운 도트 느낌,1
y_8_095,전주 브라운도트 덕진점,홍시님이다,자주가는 숙소입니다 이번에는 청소가 별로였어요,1,2025-06,y,자주 가는 숙소입니다 이번에는 청소가 별로였어요,1
y_8_097,전주 브라운도트 덕진점,8869460,숙소 컨디션이 생각외로 좀 안좋아요 들어가니 침구는 눅눅 축축했고 욕조는 어디가 깨져있는지 물이 계속 샜어요 가운도 바꿀때 된 거 같은데,1,2025-04,y,숙소 컨디션이 생각 외로 좀 안 좋아요 들어가니 침구는 눅눅 축축했고 욕조는 어디가 깨져있는지 물이 계속 샜어요 가운도 바꿀 때 된 거 같은데,3
y_8_098,전주 브라운도트 덕진점,그린투어,추웠시요 너무 난방 적음,2,2025-05,y,추웠시오 너무 난방 적음,1
y_8_099,전주 브라운도트 덕진점,세상은언제나,생각중 입니다 로비앞에 담배꽁초가 지저분 화장실벽 곰팡이 가득 이거 짤리겠네요,1,2025-04,y,생각 중입니다 로비 앞에 담배꽁초가 지저분 화장실 벽 곰팡이 가득 이거 잘리겠네요,4
y_8_100,전주 브라운도트 덕진점,자유공원마스코트,좋아여 북대랑 가까워요,3,2025-05,y,좋아요 북대랑 가까워요,2
y_8_101,전주 브라운도트 덕진점,힝구라네,덕진공원에 있는곳들중 제일 깔끔하고 괜찮은것 같아요 넓고 깔끔합니다,4,2023-07,y,덕진공원에 있는 곳들 중 제일 깔끔하고 괜찮은 것 같아요 넓고 깔끔합니다,2
y_8_102,전주 브라운도트 덕진점,홍대건축가,너무 잘 쉬다가 갑니다 너무 마음에 드는 방이었고 행복한 하루였습니다 감사해요 번창하세요,5,2023-07,y,너무 잘 쉬다가 갑니다 너무 마음에 드는 방이었고 행복한 하루였습니다 감사해요 번창하세요,0
y_8_104,전주 브라운도트 덕진점,홍대건축가,너무 좋아요 매번 갈대마다 만족합니다,5,2023-07,y,너무 좋아요 매번 갈대마다 만족합니다,0
y_8_105,전주 브라운도트 덕진점,홍대건축가,너무 좋아요 매번 가는데 맘에 듭니다,5,2023-07,y,너무 좋아요 매번 가는데 맘에 듭니다,0
y_8_106,전주 브라운도트 덕진점,윤민아빠,장점 룸컨디션이 좋고 방이 넓다 가 두 대나 있어서 같이 오면 게임하기 좋다 주변에 먹을 곳이 많다 바로 옆에 공원이 있어 밥먹고 산책하기 좋다 전북대랑 가까워서 걸어서 갈 수 있다 단점 주차하기가 어렵다 정확히 얘기하면 주차대수는 좀 있는 편인데 주차장 입구가 좁은 골목에 있는데다 입구도 좁아서 한번에 들어가기가 어렵다 욕실 수건이 미장원처럼 얇고 많이 낡았다 그렇다고 세탁상태가 안좋거나 드럽지는 않음 중앙난방인지 개별 난방제어할 수가 없다,4,2024-07,y,장점 룸 컨디션이 좋고 방이 넓다 가 두 대나 있어서 같이 오면 게임하기 좋다 주변에 먹을 곳이 많다 바로 옆에 공원이 있어 밥 먹고 산책하기 좋다 전북대랑 가까워서 걸어서 갈 수 있다 단점 주차하기가 어렵다 정확히 얘기하면 주차 대수는 좀 있는 편인데 주차장 입구가 좁은 골목에 있는 데다 입구도 좁아서 한 번에 들어가기가 어렵다 욕실 수건이 미장원처럼 얇고 많이 낡았다 그렇다고 세탁 상태가 안 좋거나 더럽지는 않음 중앙난방인지 개별난방제어할 수가 없다,9
y_8_107,전주 브라운도트 덕진점,가득가득한우주보안관,내부 방 컨디션도 깨끗하고 가격도 적당한 가격 합리적이며 룸 디자인도 굉장히 세련되고 분위기 있는 편입니다 주변에 전북대가 있어서 먹을 것도 많구요 일층 직원분만 조금 웃으며 안내해주시면 좋을 것 같습니다,4,2023-07,y,내부 방 컨디션도 깨끗하고 가격도 적당한 가격 합리적이며 룸 디자인도 굉장히 세련되고 분위기 있는 편입니다 주변에 전북대가 있어서 먹을 것도 많고요 일층 직원 분만 조금 웃으며 안내해 주시면 좋을 것 같습니다,3
y_8_108,전주 브라운도트 덕진점,illllllllll,전주 출장으로 또 이용했습니다 룸 상태 및 욕실이 깔끔해서 불편한 사항이 없었습니다 주변에 덕진공원이 있어서 산책하기 좋고 일몰도 보기 좋았습니다 식당 이용은 숙소 주변에도 있고 분 정도 걸어가면 대학교 주변 먹거리가 있어서 저렴한 가격에 여러가지 먹을 수 있고 광장도 있어서 늦은 시간까지 이용하기 좋습니다 주차장도 숙소내에 있어서 편리하고 다음에도 이용할 예정입니다,5,2023-07,y,전주 출장으로 또 이용했습니다 룸 상태 및 욕실이 깔끔해서 불편한 사항이 없었습니다 주변에 덕진공원이 있어서 산책하기 좋고 일몰도 보기 좋았습니다 식당 이용은 숙소 주변에도 있고 분 정도 걸어가면 대학교 주변 먹거리가 있어서 저렴한 가격에 여러 가지 먹을 수 있고 광장도 있어서 늦은 시간까지 이용하기 좋습니다 주차장도 숙소 내에 있어서 편리하고 다음에도 이용할 예정입니다,2
y_8_109,전주 브라운도트 덕진점,벽돌색매니아,편히 잘 쉬다 갑니다 무인 시스템이라 나름 빠르고 편리하게 이용한 것 같아요 주 말인데도 착한 가격으로 한 번 더 좋았고요 시설도 꽤 깔끔하 고 좋았던 것 같습니다 담배 냄새도 안 나고 편히 잘 쉬다 갑니다 시청 요즘 넷플릭스 실행이 어려운 시설도 있는 반면 에 릴랙스 호텔은 빠른 실행이 가능하고 끊김 없어서 좋은 것 같아요 그리고 각 층마다 복도 맨 앞쪽에 생수와 전자레인지가 각 층 마다 구비돼있어서 매우 편리하고 좋은 것 같아요 자주 이용 하는 나그네가 남긴글 읽어주셔서 감사합니다 그나저나 백 자 너무 길다 포인트는 소중하니까,4,2024-07,y,편히 잘 쉬다 갑니다 무인 시스템이라 나름 빠르고 편리하게 이용한 것 같아요 주 말인데도 착한 가격으로 한 번 더 좋았고요 시설도 꽤 깔끔한 고 좋았던 것 같습니다 담배 냄새도 안 나고 편히 잘 쉬다 갑니다 시청 요즘 넷플릭스 실행이 어려운 시설도 있는 반면에 릴랙스 호텔은 빠른 실행이 가능하고 끊김 없어서 좋은 것 같아요 그리고 각 층마다 복도 맨 앞쪽에 생수와 전자레인지가 각 층마다 구비돼있어서 매우 편리하고 좋은 것 같아요 자주 이용하는 나그네가 남긴 글 읽어주셔서 감사합니다 그나저나 백 자 너무 길다 포인트는 소중하니까,5
y_8_111,전주 브라운도트 덕진점,아리호,일단 외관자체가 조금 고급스러워요 다른 근처 모텔과는 다르게 그냥 정말 호텔 느낌 스러운 모텔 같다고 해야 할까요 입지조건도 정말 좋았던게 덕진광장 근처인데 바로 길가 옆이라 바로 찾기도 굉장히 쉽구요 주차장이 조금 아쉽긴 했어요 프론트 계신분께서 약간 퉁명스럽게 늦게 가니까 자리 없으니 밖에다 대라구그러면서 이제들어오시는 분들은 편의점 근처에 다 대고 오시라고 할거라고 하면서 뭐라하셨어여 암튼 그래도 뭐 객실은 전체적으로 뭔가 깔끔해 보이긴 했어요 욕실도 굉장히 넓고 제가 배정 받은 방은 피씨도 두개고 근데 이불에 그 음식물인지 뭔지 빨아도 안지워지는 그런 자국들 있죠 그게있는데 그냥 찝찝했어요 빨아도 안지워졌겠그나싶어서그냥 그냥저냥 가격대비 만한 방이였다고할 수 있아요 주변에 비해좋아요,5,2023-07,y,일단 외관 자체가 조금 고급스러워요 다른 근처 모텔과는 다르게 그냥 정말 호텔 느낌스러운 모텔 같다고 해야 할까요 입지조건도 정말 좋았던 게 덕지는 광장 근처인데 바로 길가 옆이라 바로 찾기도 굉장히 쉽고요 주차장이 조금 아쉽긴 했어요 프런트 계신 분께서 약간 퉁명스럽게 늦게 가니까 자리 없으니 밖에다 대라구 그러면서 이제 들어오시는 분들은 편의점 근처에 다 대고 오시라고 할 거라고 하면서 뭐라 하셨어요 암튼 그래도 뭐 객실은 전체적으로 뭔가 깔끔해 보이긴 했어요 욕실도 굉장히 넓고 제가 배정받은 방은 피씨도 두 개고 근데 이불에 그 음식물인지 뭔지 빨아도 안 지워지는 그런 자국들 있죠 그게 있는데 그냥 찝찝했어요 빨아도 안 지워졌겠구나 싶어서 그냥 그냥저냥 가격 대비만 한 방이였다고 할 수 있아요 주변에 비해좋아요,17
y_8_112,전주 브라운도트 덕진점,정땡구리,친구랑 일 때문에 예약한 숙소 차를 끌고 주차장으로 들어갔을 때 나름 넓은 공간이 나왔습니다 그날 일정을 마치고 간거라 늦은 밤이었는데 자리가 두자리 정도 남아있더라구요 넉넉하게 주차하고 체크인을 했습니다 늦은 시간이었는데도 프론트 직원분이 친절하게 대해주셔서 좋았어요 친구랑 함께다보니 좀 넓게 쓰고 싶어서 트윈을 예약했는데요 방도 크고 화장실도 커서 넘 좋앗습니다 기본 어메니티도 다 있었고 로션정도만 챙겨갔는데 숙박하는데 문제 없었어요 침대도 폭신하고 에어컨도 잘 나와서 쾌적하게 잘 잤어요 저녁을 못 먹어서 근처 편의점에 다녀왔는데요 도보로 분 정도면 큰 편의점이 있어서 야식 사오기 좋았습니다 근데 숙소 앞 편의점 가는 길이 너무 어둡고 길이 좁아서 좀 무섭더라구요 이 점만 빼면 넘 잘 쉬고와서 다음에 전주 일이 있을 때 방문할 것 같습니다,5,2024-07,y,친구랑 일 때문에 예약한 숙소 차를 끌고 주차장으로 들어갔을 때 나름 넓은 공간이 나왔습니다 그날 일정을 마치고 간 거라 늦은 밤이었는데 자리가 두 자리 정도 남아있더라고요 넉넉하게 주차하고 체크인을 했습니다 늦은 시간이었는데도 프런트 직원분이 친절하게 대해주셔서 좋았어요 친구랑 함께 다 보니 좀 넓게 쓰고 싶어서 트윈을 예약했는데요 방도 크고 화장실도 커서 너무 좋았습니다 기본 어메니티도 다 있었고 로션 정도만 챙겨갔는데 숙박하는데 문제없었어요 침대도 폭신하고 에어컨도 잘 나와서 쾌적하게 잘 잤어요 저녁을 못 먹어서 근처 편의점에 다녀왔는데요 도보로 분 정도면 큰 편의점이 있어서 야식 사 오기 좋았습니다 근데 숙소 앞 편의점 가는 길이 너무 어둡고 길이 좁아서 좀 무섭더라고요 이 점만 빼면 너무 잘 쉬고 와서 다음에 전주 일이 있을 때 방문할 것 같습니다,12
y_8_113,전주 브라운도트 덕진점,땡그란사령장,내부 사진은 찍어놓은 게 없어서 이용할 때 시켜먹었던 음식 사진 올려용 여기 자주 이용하는데 항상 깔끔해서 넘 좋은 것 같아요 화장실이 진짜 깨끗하고 좋아요 한 번 씩 방음 안 될 때가 있긴한데 그거 말고는 다 만족합니당 그리고 숙박 가격도 다른 곳보다 저렴한 것 같아용 프론트 쪽에 음료수 냉장고도 따로 있는 것도 넘 좋아요 항상 만족해서 앞으로도 자주 이용할 예정입니당,5,2024-07,y,내부 사진은 찍어놓은 게 없어서 이용할 때 시켜 먹었던 음식 사진 올려요 여기 자주 이용하는데 항상 깔끔해서 너무 좋은 것 같아요 화장실이 진짜 깨끗하고 좋아요 한 번씩 방음 안 될 때가 있긴 한데 그거 말고는 다 만족합니다 그리고 숙박 가격도 다른 곳보다 저렴한 것 같아요 프런트 쪽에 음료수 냉장고도 따로 있는 것도 너무 좋아요 항상 만족해서 앞으로도 자주 이용할 예정입니다,10
y_8_114,전주 브라운도트 덕진점,용왕당첨제발,프론트 직원분 친절하셨구 주차장 넓은편이구 수압 괜찮구 에어컨이랑 티비 잘나오고 침대 편안했어요 층에서는 음료수랑 가져다가 먹을 수 있었고 환기가 잘되는편입니다 객실상태는 좋았어요,5,2024-07,y,프런트 직원분 친절하셨고 주차장 넓은 편이고 수압 괜찮고 에어컨이랑 티브이 잘 나오고 침대 편안했어요 층에서는 음료수랑 가져다가 먹을 수 있었고 환기가 잘 되는 편입니다 객실 상태는 좋았어요,8
y_8_115,전주 브라운도트 덕진점,1235,한옥마을 놀러와서 친구들과 쉬다가려고 들렸습니다 객실 괜찮고 나쁘지않았어요 계속 비가내려 택시도 없고 대중교통 이용했어야 했는데 차편이 괜찮아서 이용하기 좋았네요 무엇보다 주변에 맛집이랑 놀이시설 술집 많아서 좋았습니다 한옥마을 놀러와서 친구들과 쉬다가려고 들렸습니다 객실 괜찮고 나쁘지않았어요 계속 비가내려 택시도 없고 대중교통 이용했어야 했는데 차편이 괜찮아서 이용하기 좋았네요 무엇보다 주변에 맛집이랑 놀이시설 술집 많아서 좋았습니다 다음에 또 들릴게요,4,2024-07,y,한옥마을 놀러 와서 친구들과 쉬다 가려고 들렸습니다 객실 괜찮고 나쁘지 않았어요 계속 비가 내려 택시도 없고 대중교통 이용했어야 했는데 차편이 괜찮아서 이용하기 좋았네요 무엇보다 주변에 맛집이랑 놀이시설 술집 많아서 좋았습니다 한옥마을 놀러 와서 친구들과 쉬다 가려고 들렸습니다 객실 괜찮고 나쁘지 않았어요 계속 비가 내려 택시도 없고 대중교통 이용했어야 했는데 차편이 괜찮아서 이용하기 좋았네요 무엇보다 주변에 맛집이랑 놀이시설 술집 많아서 좋았습니다 다음에 또 들릴게요,8
y_8_116,전주 브라운도트 덕진점,용추계곡앰버,잘 쉬다 갑니다 방이 넓고 좋아요 베개 푹신하고 편안합니다 따뜻한 물 잘 나오고 욕조가 이용하기 편했습니다 스타일러 있고 넷플릭스웨이브 등 있습니다 사업 번창하시고 행복하세요 감사합니다,5,2023-07,y,잘 쉬다 갑니다 방이 넓고 좋아요 베개 푹신하고 편안합니다 따뜻한 물 잘 나오고 욕조가 이용하기 편했습니다 스타일러 있고 넷플릭스 웨이브 등 있습니다 사업 번창하시고 행복하세요 감사합니다,1
y_8_117,전주 브라운도트 덕진점,알쏭달쏭굴,일단 전객실 금연룸인지 카운터 복도 객실 등등에서 담배 냄새 전혀 안납니다 엘레베이터에서도 담배냄새 안나요 주차장도 널널해서 주차걱정 없습니다 객실은 넷플릭스 시청가능해요 따로 로그인 안해도 됨 빗 롤빗 드라이기 다 있고 화장실도 깔끔해요 방음도 잘됩니다 전주 여행 오시는 분 전주 출장 잡힌 분들 잠시 쉬다 가는 분들 전부 추천드립니다 이용할 때마다 만족스러워서 리뷰 남깁니다 카운터에 커피머신도 있어섲좋네요,5,2024-07,y,일단 전 객실 금연 룸인지 카운터 복도 객실 등등에서 담배 냄새 전혀 안 납니다 엘리베이터에서도 담배 냄새 안 나요 주차장도 널찍해서 주차 걱정 없습니다 객실은 넷플릭스 시청 가능해요 따로 로그인 안 해도 됨 빗 롤 빗 드라이기 다 있고 화장실도 깔끔해요 방음도 잘됩니다 전주 여행 오시는 분 전주 출장 잡힌 분들 잠시 쉬다 가는 분들 전부 추천드립니다 이용할 때마다 만족스러워서 리뷰 남깁니다 카운터에 커피 머신도 있어섲좋네요,13
y_8_118,전주 브라운도트 덕진점,더워죽겐네,주년 기념으로 남자친구랑 여행 와서 묵은 숙소인데 가격대비 정말 너무 편하게 쉬다 왔어용 화장실도 깨끗하고 방의 청결 상태도 넘 좋았던 것 같아요 넷플릭스도 볼 수 있어서 더 좋았습니다,5,2023-07,y,주년 기념으로 남자친구랑 여행 와서 묵은 숙소인데 가격 대비 정말 너무 편하게 쉬다 왔어요 화장실도 깨끗하고 방의 청결 상태도 너무 좋았던 것 같아요 넷플릭스도 볼 수 있어서 더 좋았습니다,3
y_8_119,전주 브라운도트 덕진점,bbitoo,냉장고 속에 머리카락 먼지가 있고 화장실 하수구는 막혀서 배수가 안 되고 에어컨에 수북한 먼지 숙박 내내 찝찝했어요 처음에 청소도 되지 않은 방을 주셔서 다시 다른 방을 받았는데 청결 상태가 너무 안 좋아서 최악이였어요,3,2022-07,y,냉장고 속에 머리카락 먼지가 있고 화장실 하수구는 막혀서 배수가 안 되고 에어컨에 수북한 먼지 숙박 내내 찝찝했어요 처음에 청소도 되지 않은 방을 주셔서 다시 다른 방을 받았는데 청결 상태가 너무 안 좋아서 최악이었어요,1
y_8_120,전주 브라운도트 덕진점,변강추,전북대학교 덕진공원 근처에서 가장 깔끔하고 분위기 좋은곳 같아요 욕실도 매우 청결하고 용품들도 잘 구비되어 있었어요 도 넷플릭스 웨이브 유튜브등 있을건 다 있어서 좋아요 재방문 의사 있습니다,4,2023-07,y,전북대학교 덕진공원 근처에서 가장 깔끔하고 분위기 좋은 곳 같아요 욕실도 매우 청결하고 용품들도 잘 구비되어 있었어요 도 넷플릭스 웨이브 유튜브 등 있을 건 다 있어서 좋아요 재방문 의사 있습니다,3
y_8_121,전주 브라운도트 덕진점,강*****,넓고 전체적으로 좋아서 재이용하고 싶지만 쇼파 위와 쇼파를 이동하니 아래에는 머리카락과 먼지들이 쌓여있네요 보이는 곳만 청소하는 티가 났었어요 청소에 조금 더 신경써줬으면 좋겠습니다,4,2024-07,y,넓고 전체적으로 좋아서 재이용하고 싶지만 소파 위와 소파를 이동하니 아래에는 머리카락과 먼지들이 쌓여있네요 보이는 곳만 청소하는 티가 났었어요 청소에 조금 더 신경 써줬으면 좋겠습니다,3
y_8_122,전주 브라운도트 덕진점,여기어때어떻니,좋습니다 출장 시 이용한건데 위치도 나쁘지 않고 주변에 먹을 곳도 구경할 곳도 많습니다 청결 또한 나쁘지 않습니다 사장님들도 매우 친절하시고 다음에 또 방문 할 의사 만땅입니다,5,2022-07,y,좋습니다 출장 시 이용한 건데 위치도 나쁘지 않고 주변에 먹을 곳도 구경할 곳도 많습니다 청결 또한 나쁘지 않습니다 사장님들도 매우 친절하시고 다음에 또 방문할 의사 가득입니다,3
y_8_123,전주 브라운도트 덕진점,아이유0516,진짜 실내외 깨끗하고 담배냄새 도 안나서 좋았어요 직원분들 친절하시고 주차공간도 있고 무엇보다 침구류 배개가 폭신해서 꿀잠가능했어요 넷플웨이브 골라보는 재미도 있었구요 냉장고 성능 최고점수 드려요 이렇게 시원해도 되나 싶을정도로 물이 시원해졌거든요 화장실마저 깔끔해서 대만족했어요 진짜 배개 어디껀지 물어보고 싶어요 재방문 의사 퍼센트 입니다,5,2022-07,y,진짜 실내외 깨끗하고 담배 냄새 도 안 나서 좋았어요 직원분들 친절하시고 주차공간도 있고 무엇보다 침구류 베개가 폭신해서 꿀잠 가능했어요 넷플 웨이브 골라보는 재미도 있었고요 냉장고 성능 최고 점수 드려요 이렇게 시원해도 되나 싶을 정도로 물이 시원해졌거든요 화장실마저 깔끔해서 대만족했어요 진짜 베개 어디 건지 물어보고 싶어요 재방문 의사 퍼센트입니다,11
y_8_124,전주 브라운도트 덕진점,숙박감별사1,오랜만에 여행을 가서 숙박하네요 정말 사진과 같이 이쁘고 방도 넓고 신축이여서 그런지 모든게 깨끗하고 고급스러웠어요 이정도 가격에 이렇게 좋은곳에서 쉬엇다니 너무 좋네요 여자친구도 매우 만족했어요 너무 좋습니다,5,2022-07,y,오랜만에 여행을 가서 숙박하네요 정말 사진과 같이 이쁘고 방도 넓고 신축이어서 그런지 모든 게 깨끗하고 고급스러웠어요 이 정도 가격에 이렇게 좋은 곳에서 쉬었다니 너무 좋네요 여자친구도 매우 만족했어요 너무 좋습니다,5
y_8_125,전주 브라운도트 덕진점,대한민국컵라면,특가이벤트 대실로 쿠폰받아 호텔 처럼 저렴하게 이용했습니다 들어가는순간 침대도 개고 욕실도 너무너무 넓고 욕조가 명이 들어가서 씻을정도로 넓고 북대에 이런 럭셔리하고 모던하고 호텔 분위기 나는데다가 있다는게 의아할정도로 재방문 있머요단 샤워기가 물이 찢어지게 나와서 씻을때 따가움 일회용품도 잘구비되있어서 너무맘에 드네요한번 가보세요신랑하고 좋은시간 보냈습니당,5,2022-07,y,특가 이벤트 대실로 쿠폰 받아 호텔처럼 저렴하게 이용했습니다 들어가는 순간 침대도 개고 욕실도 너무너무 넓고 욕조가 명이 들어가서 씻을 정도로 넓고 북대에 이런 럭셔리하고 모던하고 호텔 분위기 나는 데다가 있다는 게 의아할 정도로 재방문 있머요단 샤워기가 물이 찢어지게 나와서 씻을 때 따가움 일회용품도 잘 구비돼있어서 너무 맘에 드네 요한 번 가보세요 신랑하고 좋은 시간 보냈습니다,16
y_8_126,전주 브라운도트 덕진점,아무렇지않은폭스하운드,전북대는항상여기서만자요 제일깨끗하고 사장님너무친절하시고음료수랑 마음대로가져가실수있어요 그리고비품잘되어있고화장실도깨끗하고 수압도넘좋아요 덕진동가면 여기가제일좋고제일깨끗합니다 이용해보세요,5,2024-07,y,전북대는 항상 여기서만 자요 제일 깨끗하고 사장님 너무 친절하시고 음료수랑 마음대로 가져가실 수 있어요 그리고 비품 잘 되어있고 화장실도 깨끗하고 수압도 너무 좋아요 덕진동 가면 여기가 제일 좋고 제일 깨끗합니다 이용해 보세요,9
y_8_127,전주 브라운도트 덕진점,토트넘이글스,주차하러 가기 힘든 점은 있지만 호텔 내부가 정말 깔끔하며 호텔 만석이었음에도 옆방 소리는 전혀 들리지 않았습니다 욕조가 아주 커서 피로 회복하는데 좋은 숙소이며 넷플릭스 접속이 바로되어 원하는 프로 시청하기에 제격임,5,2022-07,y,주차하러 가기 힘든 점은 있지만 호텔 내부가 정말 깔끔하며 호텔 만석이었음에도 옆방 소리는 전혀 들리지 않았습니다 욕조가 아주 커서 피로 회복하는데 좋은 숙소이며 넷플릭스 접속이 바로 되어 원하는 프로 시청하기에 제격임,1
